Programme music	Music
Maritime, Fluvial and Harbor Museum of Rouen	Museums in France, Rouen
Echternach	Communes in Luxembourg
Breast cancer	Breast cancer
Cue sports	Cue sports
Cher	Academy Award winning actors, Actors from California, American movie actors, American pop singers, American rock singers, American television actors, Emmy Award winners, Golden Globe Award winning actors, Grammy Award winners, Singers from California, 1946 births, Living people, Warner Bros. Records artists
Frunzik Mkrtchyan	Armenian actors, Soviet actors, 1930 births, 1993 deaths
Yuzu (band)	J-pop bands, Folk music groups
Pestilence	Infectious diseases
List of historical plagues	Infectious diseases, Disease-related lists
Pandemic	Infectious diseases
Training	Training, Learning
Demi Moore	Actors from Idaho, Actors from New Mexico, American movie actors, American movie producers, American television actors, 1962 births, Living people
Fergie	The Black Eyed Peas, Actors from Los Angeles County, California, American movie actors, American R&B singers, American rap musicians from California, Singer-songwriters from California, American television actors, American voice actors, Bisexual Christians, LGBT musicians, 1975 births, Living people, People from Whittier, California, Bisexual people
Zuleyka Rivera Mendoza	1987 births, Living people, Puerto Rican people, Miss Universe winners
Amanda Peet	American movie actors, American television actors, Actors from New York City, 1972 births, Living people
Rupert Everett	1959 births, Living people, Actors from Norfolk, Gay men, English LGBT people, English movie actors, English stage actors, English television actors, English voice actors, LGBT actors
Shiri Maymon	1981 births, Living people, Eurovision Song Contest entrants, Israeli pop singers, Israeli singers, Jewish Israeli musicians, People from Haifa
Tom Selleck	Actors from Detroit, Michigan, American movie actors, American television actors, American television producers, American television writers, Emmy Award winning actors, Golden Globe Award winning actors, Writers from Detroit, Michigan, 1945 births, Living people
Rob Schneider	1963 births, Living people, Actors from San Francisco, American movie actors, American television actors, American television producers, American television writers, Movie directors from California, Movie producers from California, Screenwriters from California, Writers from San Francisco
Växjö	Växjö
Carolina Klüft	1983 births, Living people, 2008 Summer Olympics, Competitors in athletics, Medalists at the 2004 Summer Olympics, Olympic gold medalists, Swedish Olympians
Jonas Björkman	Swedish sportspeople, 1972 births, Living people, Tennis players
Do As Infinity	Japanese rock bands, J-pop bands
Myleene Klass	Classical musicians, English pianists, English pop musicians, English singers, English television presenters, I'm a Celebrity...Get Me Out of Here! contestants, Television personalities from Norfolk, 1978 births, Living people
Kym Marsh	1976 births, Living people, English pop singers, English television actors, Musicians from Merseyside, Reality television participants
Mackenzie Rosman	American television actors, American child actors, Actors from South Carolina, 1989 births, Living people
David Gallagher	1985 births, Living people, American television actors, Actors from New York City
Jessica Biel	1982 births, Living people, American movie actors, American television actors, Actors from Minnesota
7th Heaven	1996 American television series debuts, 2007 American television series endings, 1990s American television series, 2000s American television series, American drama television series, Television series about families, Television series set in California, WB network shows, English-language television programs, The WB original programming
Beverley Mitchell	American movie actors, American television actors, Actors from Los Angeles County, California, 1981 births, Living people
Nanne Grönvall	1962 births, Living people, Swedish singers, Songwriters, Writers from Stockholm, Singers from Stockholm
Human biology	Biology, Humans, Anthropology, Physical anthropology
Flavor Flav	African-American rappers, American rap musicians from New York, American robbers, Singers from New York, 1959 births, Living people
Schapelle Corby	1977 births, Living people, Australian criminals, Australian prisoners, Drug dealers, People convicted of drug offenses, People from Queensland
Autogenic training	Psychology
Mathematical notation	Mathematical notation
Ian Craig Marsh	1956 births, Living people, English musicians
Laboratory equipment	Laboratory equipment
Sarah Palin	1964 births, Living people, American Evangelicals, Writers from Alaska, Writers from Idaho, American journalists, American mayors, Businesspeople from Alaska, Governors of Alaska, Politicians from Idaho, United States vice-presidential candidates, 2008, US Republican Party politicians
Samvel Babayan	Living people, 1957 births, Armenian military people
Nagorno-Karabakh Defense Army	Military of Armenia
Republic of Artsakh	Nagorno-Karabakh Republic
Brandon Lee	Accidental deaths in the United States, Actors from Oakland, California, American movie actors, American television actors, 1965 births, 1992 deaths, Bruce Lee
Matt Dillon	American movie actors, Actors from New York, 1964 births, Living people
Matt Damon	Academy Award winning writers, Actors from Boston, Massachusetts, Actors from Cambridge, Massachusetts, American movie actors, American movie producers, American screenwriters, American television actors, American voice actors, Golden Globe Award winning writers, Golden Globe Award winning actors, Writers from Boston, Massachusetts, 1970 births, Living people
Robert Urich	Actors from Ohio, American movie actors, American television actors, American television producers, Cancer deaths in the United States, Emmy Award winning actors, Deaths from sarcoma, 1946 births, 2002 deaths
Vic Morrow	Accidental deaths in California, Actors from the Bronx, American movie actors, American television actors, American television directors, Aviation deaths in the United States, Movie directors from New York City, Screenwriters from New York City, 1929 births, 1982 deaths
Lal Masjid siege	2000s in Pakistan, Islamabad, 2007 in Asia
Mourning dove	Doves, Birds of North America, Birds of Pakistan
Mai Kuraki	Japanese singers, 1982 births, Living people, Musicians from Chiba Prefecture
Saint Mesrob	360 births, 440 deaths, Armenian people, Armenian language, Christian saints
Ashlee Simpson	Singers from Texas, American television actors, Actors from Texas, 1984 births, Living people, People from Waco, Texas
Airbus A340	Airbus aircraft
Autonomic nervous system	Nervous system
Peripheral nervous system	Nervous system
IKEA	Companies of Sweden, Shops, 1943 establishments in Sweden
Central nervous system	Nervous system
Spinal cord	Anatomy of the nervous system
Who Wants to Be a Millionaire?	1998 British television series debuts, 1990s television series, 2000s television series, 2010s television series, British television game shows
Danny Saucedo	1986 births, Living people, Swedish singers
Agnes Carlsson	1988 births, Living people, Swedish singers
Daniel Lindström	Swedish singers, 1978 births, Living people
Destiny's Child	1997 establishments in the United States, 2006 disestablishments in the United States, 1990s American music groups, 2000s American music groups, African-American musical groups, American girl groups, Beyoncé, Destiny's Child, Grammy Award winners, Musical groups disestablished in 2006, Musical groups established in 1997, Musical groups from Texas, Musical trios
Kelly Rowland	1981 births, Living people, Actors from Atlanta, Georgia, Actors from Houston, Texas, African American actors, African American musicians, American dancers, American movie actors, American R&B singers, American songwriters, American television actors, Destiny's Child, Grammy Award winners, Musicians from Houston, Texas, Singers from Atlanta, Georgia
Pop Idol	2001 television series debuts, 2000s British television series, ITV reality television programmes, 2001 establishments in the United Kingdom, English-language television programs
Rachel Smith	1985 births, Living people, Beauty pageant winners, People from Tennessee
Natalie Glebova	Miss Universe winners, Living people, People from Toronto, Russian models, 1981 births
Michelle Williams (singer)	1980 births, Living people, African American musicians, American R&B singers, Singers from Illinois, Strictly Come Dancing participants, Destiny's Child, People from Rockford, Illinois
Simon Cowell	American Idol, Businesspeople from London, Television personalities from Hertfordshire, Television personalities from London, 1959 births, Living people
Reality television	Reality television series
Tengwar	Middle-earth
Petros Duryan	1851 births, 1872 deaths, Armenian poets, Armenian actors
Adriana Lima	1981 births, Living people, Brazilian models, People from Salvador, Bahia
Cuban Missile Crisis	1962, 1960s in the United States, Cold War, Fidel Castro, History of the Soviet Union, John F. Kennedy, Nuclear weapons
Berber people	Berber people
Prosencephalon	Anatomy of the brain
Gag	Human sexuality
Meänkieli dialects	Uralic languages, Languages of Europe
Toni Braxton	1967 births, Living people, Actors from Maryland, African American musicians, Grammy Award winners, Musicians from Maryland, Actors from Atlanta, Georgia, Musicians from Atlanta, Georgia, Singers from Atlanta, Georgia, Singers from Maryland, Atlantic Records artists, American contemporary R&B singers
Joan Rivers	Emmy Award winners, 1933 births, 2014 deaths, Deaths from heart failure, Deaths from cardiac arrest, Deaths from respiratory arrest, Deaths from surgical complications, Actors from New York City, American Jews, Stage names, American movie actors, American stand-up comedians, American television actors, American television talk show hosts, American voice actors, Businesspeople from New York City, Comedians from New York City, Writers from New York City
Melissa Rivers	1968 births, Living people, American television presenters, Television personalities from New York City
Teri Hatcher	1964 births, Living people, American movie actors, Golden Globe Award winning actors, American television actors, Actors from Santa Clara County, California, Actresses who played Bond girls
Felicity Huffman	1962 births, Living people, American movie actors, Criminals from New York, Golden Globe Award winning actors, American television actors, Emmy Award winning actors, Actors from New York
Marcia Cross	American movie actors, Actors from Massachusetts, American television actors, Cancer survivors, 1962 births, Living people
Eva Longoria	1975 births, Living people, American movie actors, American television actors, Democrats (United States), Actors from Corpus Christi, Texas, Restaurateurs
Nicollette Sheridan	1963 births, Living people, Actors from Sussex, English movie actors, English television actors, People from West Sussex
Contiki	Operating systems
Princess Madeleine of Sweden	1982 births, Living people, Swedish royalty
Queen Silvia of Sweden	1943 births, Living people, Kings and Queens of Sweden, People from Munich, Order of Merit of the Federal Republic of Germany, Kings and Queens consort
Princess Victoria of Sweden	1977 births, Living people, Swedish royalty
Prince Carl Philip, Duke of Värmland	1979 births, Living people, Swedish royalty
Hermeskeil	Trier-Saarburg
Reinsfeld	Villages in Rhineland-Palatinate, Municipalities in Rhineland-Palatinate, Trier-Saarburg
Hunsrück	Geography of Rhineland-Palatinate, Mountain ranges of Germany
International Space Station	Space stations
Kentwood, Louisiana	Towns in Louisiana
I'm with You	Avril Lavigne songs, 2002 songs
Somersault	Gymnastics
Lisa Donovan	1980 births, Living people, Writers from New York City, Actors from New York City, Writers from Los Angeles, California, American television actors, Internet celebrities, Comedians from New York City
Augite	Minerals
Onyx	Minerals
Opal	Gemstones, Birthstones
Amethyst	Gemstones, Birthstones
Emerald	Gemstones, Birthstones
Garnet	Gemstones, Birthstones
Ralph Macchio	1961 births, Living people, American movie actors, American television actors, American voice actors, Actors from New York
French Armenian Legion	20th century in Armenia, 1916 in France
Vahan Kurkjian	Armenian historians, Armenian writers, 1863 births, 1961 deaths, Aleppo
North India	Regions of India
Yalta Conference	World War II
Potsdam Conference	1945 in Germany, Potsdam, World War II
Nahe	Geography of Rhineland-Palatinate, Rivers of Germany
Palatinate (region)	Geography of Rhineland-Palatinate, Regions of Germany
Taunus	Geography of Hesse, Mountain ranges of Germany
Antonov An-225	Civil aircraft, Soviet & Russian aircraft
Edmund Burke	1729 births, 1797 deaths, Irish philosophers, Irish politicians, British politicians, People from Dublin
Muslim occasions	Religious holidays, Islam
Guys and Dolls	Broadway musicals, 1950s musicals
Ichiro Mizuki	Actors from Tokyo, Singers from Tokyo, Japanese songwriters, Japanese voice actors, 1948 births, Living people
Saalburg	Buildings and structures in Hesse, History of Germany
Kesha Wizzart	1988 births, 2007 crimes, 2007 deaths, Black English musicians, British child singers, English murder victims, Musicians from Manchester, People murdered in England
Names for small numbers	Numbers
Military of ancient Rome	Ancient Rome
Roman legion	Ancient Rome
Alpha helix	Biochemistry
Allied-occupied Germany	1949 disestablishments, 1945 establishments in Germany, 1940s disestablishments in Germany
Topaz	Gemstones, Birthstones
Beautiful (song)	2002 songs, Christina Aguilera songs
Fundamental theorem of algebra	Mathematics
R.E.M. (band)	1980s American music groups, 1980 establishments in the United States, 1990s American music groups, 2000s American music groups, 2010s American music groups, 2011 disestablishments in the United States, American rock bands, Brit Award winners, Grammy Award winners, Musical groups disestablished in 2011, Musical groups established in 1980, Musical groups from Georgia (U.S. state), Warner Bros. Records artists
Israel	Israel, 1948 establishments
Lake Champlain	Lakes of the United States, Lakes of Canada, Geography of Vermont, Geography of New York, Geography of Quebec, Biosphere reserves
Fumie Suguri	Japanese figure skaters, 1980 births, Living people, People from Kanagawa Prefecture
Occupational Safety and Health Administration	United States government agencies, United States Department of Labor, Medical and health organizations in the United States, 1970 establishments in the United States
Arsenio Hall	Actors from Cleveland, Ohio, African American actors, African American comedians, African American television personalities, American movie actors, American television actors, Comedians from Ohio, Television personalities from Ohio, 1956 births, Living people
Bezenye	Villages in Hungary
Royal Proclamation of 1763	1760s in the Thirteen Colonies, 1763, Resistance to the British Empire, 1760s in the Kingdom of Great Britain
Inkscape	Free software, Graphics software

