Appomattox Court House	American Civil War
John Smith (explorer)	1580 births, 1631 deaths, British military people, English explorers, Governors of Virginia, Writers from Lincolnshire
Entoprocta	Minor phyla
5000 metres	Running
Sportcity (sports ground)	Sports buildings in the United Kingdom, Manchester
Oakwell	Football stadiums in England, 1888 establishments in England
Cortisol	Steroid hormones
Ryszard Kaczorowski	1919 births, 2010 deaths, Aviation deaths, Knights Grand Cross of the Order of St Michael and St George, Presidents of Poland
Periodic function	Mathematics
List of series	Mathematics lists
Manchester City Council	Manchester
Lord Don't Slow Me Down	Oasis (band), 2007 movies, Documentary movies
Kea	Birds of New Zealand, Parrots
Billabong (lake)	Bodies of water of Australia
Antonio Di Natale	1977 births, Living people, Italian footballers
Yuya Chiba	1986 births, Living people, Footballers from Iwate Prefecture
Ryo Okawara	1987 births, Living people, Footballers from Gunma Prefecture
Matteo Paro	1983 births, Living people, Italian footballers
Atsushi Yamaguchi	1980 births, Living people, Footballers from Kanagawa Prefecture
Noriaki Tsutsui	1976 births, Living people, Footballers from Kanagawa Prefecture
Ryunosuke Okamoto	1984 births, Living people, Footballers from Okayama Prefecture
Atsushi Matsuura	1981 births, Living people, Footballers from Aichi Prefecture
Takuto Koyama	1982 births, Living people, Footballers from Hyōgo Prefecture
Pablo Zabaleta	1985 births, Living people, Argentine footballers, Manchester City F.C. players, Sportspeople from Buenos Aires
Daniel Bilos	1980 births, Living people, Argentine footballers
Yohei Taniike	1977 births, Living people, Footballers from Hyōgo Prefecture
Mohamed Abdelwahab	1983 births, 2006 deaths, Egyptian footballers
Jérémy Toulalan	1983 births, Living people, French footballers, People from Nantes
Chris Eagles	1985 births, Living people, English footballers, Sportspeople from Hertfordshire, Premier League players
Velvet	Cloth
Carlos Tenorio	1979 births, Living people, Ecuadorian footballers
Niko Kovač	1971 births, Living people, Croatian footballers, Croatian football managers
Eric Djemba-Djemba	1981 births, Living people, Cameroonian footballers
Nemertea	Minor phyla
WebKit	Web browsers, Free software
Choi Jin-sil	1968 births, 2008 deaths, South Korean movie actors, South Korean television actors, People who committed suicide
Cristal Racecourse	Horse racing, Porto Alegre
Speed reading	Literature
Abu Dhabi United Group	Companies of Asia, United Arab Emirates
Maine Road	1923 establishments in England, 2003 disestablishments in England, Football stadiums in England, Sport in Manchester
List of English football stadiums by capacity	Football stadiums in England, Lists about England, Sports lists
John D. Rockefeller	American billionaires, Businesspeople from New York, Rockefeller family, Cardiovascular disease deaths in Florida, 1839 births, 1937 deaths, Deaths from arteriosclerosis
2008 UEFA Cup Final	2008 in association football, 2008 in England, Sport in Manchester, UEFA, 2000s in Manchester
UEFA stadium categories	UEFA, Football stadiums in Europe
Biricodar	Drugs, Cancer treatment
The Futureheads	English punk bands
Dicynodont	Therapsids
Lassana Diarra	1985 births, Living people, French footballers, Sportspeople from Paris
Jiří Jarošík	1977 births, Living people, Czech footballers
Besian Idrizaj	Austrian footballers, 1987 births, 2010 deaths, Crystal Palace F.C. players
Kim Wi-Man	1979 births, Living people, North Korean footballers
Ryota Arimitsu	1981 births, Living people, Footballers from Fukuoka Prefecture
Zak Whitbread	1984 births, Living people, American footballers, Sportspeople from Houston, Texas
Giuseppe Favalli	1972 births, Living people, Italian footballers
Paul McShane	1986 births, Living people, Irish footballers, People from County Wicklow
Rio Mavuba	1984 births, Living people, French footballers
Didier Agathe	1975 births, Living people, French footballers, French football managers, People from Réunion
Yuki Hamano	1978 births, Living people, Footballers from Kagoshima Prefecture
Oscar Ruggeri	1962 births, Living people, Argentine footballers, Argentine football managers
South Park Mexican	1971 births, Living people, American Christians, American prisoners, American rap musicians from Texas, American sex offenders, Child sexual abusers, Criminals from Texas, Drug dealers, Singers from Houston, Texas
2004 Rugby League Tri-Nations	Rugby
Delray, Detroit	Cities in Michigan
Gneiss	Metamorphic rocks
Hiroki Kishida	1981 births, Living people, Footballers from Hyōgo Prefecture
Yoshiyuki Shinoda	1971 births, Living people, Footballers from Yamanashi Prefecture
David Sommeil	1974 births, Living people, French footballers, Guadeloupe
Yakubu Aiyegbeni	1982 births, Living people, Nigerian footballers
Colin Bell	1946 births, 2021 deaths, People with cancer, English footballers, Sportspeople from County Durham
Malir District	Districts of Sindh, Karachi
Carl Levin	Politicians from Detroit, Michigan, US Democratic Party politicians, United States senators from Michigan, 1934 births, 2021 deaths, Deaths from lung cancer, 20th-century American politicians, 21st-century American politicians
Lights Out	Rick Astley songs, 2010 songs
John Engler	Living people, Governors of Michigan, 1948 births
Mount Pleasant, Michigan	Cities in Michigan
Román Fresnedo Siri	Architects, 1975 deaths, 1903 births, Uruguayan people
Photomask	Technology, Electronic components
Gastrotrich	Minor phyla
Liam Ridgewell	1984 births, Living people, English footballers, Actors from London, Premier League players
Fábio Rochemback	1981 births, Living people, Brazilian footballers
Yasuomi Kugisaki	1982 births, Living people, Footballers from Miyazaki Prefecture
Shingo Honda	1987 births, Living people, Footballers from Kumamoto Prefecture
Kengo Takushima	1987 births, Living people, Footballers from Fukuoka Prefecture, Avispa Fukuoka players
Tadaomi Yasuda	1987 births, Living people, Footballers from Fukuoka Prefecture, Avispa Fukuoka players
Mitsunori Izutani	1983 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Shingo Hoshino	1978 births, Living people, Footballers from Fukuoka Prefecture
Koichi Kawai	1979 births, Living people, Footballers from Ehime Prefecture
Kazuhisa Hamaoka	1981 births, Living people, Footballers from Nagasaki Prefecture
Kenta Kawai	1981 births, Living people, Footballers from Ehime Prefecture, Japanese football managers
François Clerc	1983 births, Living people, French footballers
Shigeru Sakurai	1979 births, Living people, Footballers from Ibaraki Prefecture
Masayuki Ota	1973 births, Living people, Footballers from Tokyo Prefecture
Ralf Edström	1952 births, Living people, Swedish footballers
Yuta Suzuki	1987 births, Living people, Footballers from Kanagawa Prefecture
Hand axe	Anthropology, Cutting tools, Stone Age
Key 103	Radio stations in the United Kingdom, 1988 establishments in England
Brian McBride	1972 births, Living people, American footballers, People from Arlington Heights, Illinois, Sportspeople from Illinois
Ognjen Koroman	1978 births, Living people, Serbian footballers
2002–03 UEFA Cup	UEFA, 2002 in association football, 2002 in Europe, 2003 in association football, 2003 in Europe
Yaya Touré	1983 births, Living people, Ivorian footballers, Manchester City F.C. players
Roger Lemerre	1941 births, Living people, French footballers, French football managers
Rochdale	Rochdale
C2 Green Tea	Tea, Filipino culture, Asian foods
Ashton-under-Lyne	Towns in Greater Manchester
Universal Robina	Companies of the Philippines, Food companies
Tameside	Towns in Greater Manchester
Sun Cellular	Mobile phone companies, Companies of the Philippines, Quezon City
Joey Scarbury	1955 births, Living people, Singers from Los Angeles, California
Kenny Rankin	1940 births, 2009 deaths, American jazz musicians, Singer-songwriters from New York, Deaths from lung cancer, Singers from New York City
Sarah Geronimo	1988 births, Living people, Filipino movie actors, Filipino actors, Filipino singers, People from Manila
Bolton	Towns in Greater Manchester
Jonathan Edwards (athlete)	1966 births, Living people, BBC television presenters, British male athletes, British Olympic gold medalists, British Olympic silver medalists, Triple jumpers, Commanders of the Order of the British Empire, Commonwealth Games medallists, English atheists, English television presenters, Former Christians, Sportspeople from London, Television personalities from London, World record holders
Explosion protection	Explosives, Buildings and structures, Terrorism
2007–08 UEFA Cup	UEFA, 2007 in association football, 2008 in association football, 2007 in Europe, 2008 in Europe
Žydrūnas Ilgauskas	1975 births, Living people, Lithuanian basketball players, Cleveland Cavaliers players, Miami Heat players, People from Kaunas
David L. Paterson	1966 births, Living people, American screenwriters, writers from Washington, D.C.
Horst Köppel	1948 births, Living people, German footballers, Sportspeople from Stuttgart
Henrique Hilário	1975 births, Living people, Portuguese footballers, Association football goalkeepers, People from Porto
Gavin McCann	1978 births, Living people, English footballers, People from Lancashire, Premier League players
Evander Sno	1987 births, Living people, Dutch footballers, People from Dordrecht, Sportspeople from South Holland
Andreas Ivanschitz	1983 births, Living people, Austrian footballers, Players of the Austrian national football team, FC Red Bull Salzburg players, UEFA Euro 2008 players
Andrew Johnson (footballer)	1981 births, Living people, English footballers, People from Bedford, Sportspeople from Bedfordshire, Crystal Palace F.C. players
Alessandro Pistone	1975 births, Living people, Italian footballers
Dedê	1978 births, Living people, Brazilian footballers, People from Belo Horizonte
Élber Giovane	1972 births, Living people, Brazilian footballers
Tsukasa Hosaka	1937 births, 2018 deaths, Footballers from Yamanashi Prefecture, Japan international footballers, Japan Soccer League players, JEF United Chiba players, Footballers at the 1964 Summer Olympics, Deaths from pneumonia
Chung Yong-dae	1978 births, Living people, South Korean footballers
Kerlon	1988 births, Living people, Brazilian footballers
Reto Ziegler	1986 births, Living people, Swiss footballers, People from Geneva
Yukinori Shigeta	1976 births, Living people, Footballers from Kanagawa Prefecture
Josh Hutcherson	1992 births, Living people, Actors from Kentucky, American child actors, American movie actors, American television actors, American voice actors
Walden Media	Companies based in Los Angeles, Publishing companies of the United States, Movie studios
Buxaceae	Plant families
The Washington Post	Newspapers in the United States, 1877 establishments in the United States, Washington, D.C.
Chicago Sun-Times	Newspapers in Chicago, Illinois, 1948 establishments in the United States
B of the Bang	Sculptures, Manchester, 2005 establishments in England, 2009 disestablishments in England
Ron Brand	Montreal Expos players, Houston Astros players, Pittsburgh Pirates players
Ewing's sarcoma	Cancer, Diseases and disorders of bones
Bone tumor	Cancer, Diseases and disorders of bones
Sticky keys	Computing
Unincorporated area	Local government, Local government in the United States
Chapters and verses of the Bible	Bible
Glioma	Brain tumors
Subset sum problem	Computer science
Istanbul Technical University	Colleges and universities in Turkey, 1773 establishments, Establishments in Turkey, 1770s establishments in Asia, 1770s establishments in Europe, Istanbul
Saxifragaceae	Saxifragales
Lolol	Cities in Chile, Settlements in the Region of O'Higgins
Yun Chi-ho	1865 births, 1945 deaths, Korean educators, South Korean politicians, Anti-Communists, Korean politicians, Murder victims, Autobiographers, Korean activists
Squat	Fitness
John Lubbock, 1st Baron Avebury	1834 births, 1913 deaths, English biologists, English politicians, English Barons, Baronets, English archaeologists, Privy Councillors (UK)
Georges Seurat	1859 births, 1891 deaths, French painters
Eugène Boudin	1824 births, 1898 deaths, French painters
Boolean satisfiability problem	Theoretical computer science, Boolean algebra
Denny Lemaster	1939 births, Atlanta Braves players, Baseball players from California, Houston Astros players, Living people, Milwaukee Braves players, Montreal Expos players, People from Riverside County, California
NP-complete	Theoretical computer science
Cook–Levin theorem	Theoretical computer science
Bill France, Sr.	American racecar drivers, NASCAR, Sportspeople from Washington, D.C., 1909 births, 1992 deaths
Denis Menke	1940 births, 2020 deaths, Milwaukee Braves players, National League All-Stars, Houston Astros players, Cincinnati Reds players, Sportspeople from Iowa
Huaso	Chilean culture
Purchase	Trade
Stargate (movie)	1994 movies, 1990s science fiction movies, Stargate, Movies set in Egypt, Movies set in Colorado, Movies set on fictional planets, Movies directed by Roland Emmerich
Super Junior	South Korean boy bands, K-pop music groups, Hip hop bands, R&B bands, 2005 establishments in Asia, 2000s establishments in South Korea
Pandanaceae	Malpighiales
Gilmar Silva Santos	1984 births, Living people, Brazilian footballers
José Luís Santos da Visitação	1979 births, Living people, Brazilian footballers, People from Salvador, Bahia
Juan Pedro Benali	1969 births, Living people, Spanish football managers
Manuel dos Santos Fernandes	1974 births, Living people, French footballers
Alberto Aquilani	1984 births, Living people, Italian footballers, Sportspeople from Rome
Flavio Roma	1974 births, Living people, Italian footballers, Sportspeople from Rome
Bernard Allou	1975 births, Living people, French footballers
Éric Carrière	1973 births, Living people, French footballers
Eliézio Santos Santana	1987 births, Living people, Brazilian footballers, People from Salvador, Bahia
Ben Thatcher	1975 births, Living people, Welsh footballers
Gnathostomulida	Minor phyla
Alexandre Lopes	1974 births, Living people, Footballers from Rio de Janeiro
Leandro Montera da Silva	1985 births, Living people, Brazilian footballers
Junya Nitta	1978 births, Living people, Footballers from Shizuoka Prefecture
Yosuke Kobayashi	1983 births, Living people, Footballers from Tokyo Prefecture
Anoxia	Biology
Epidermis	Integumentary system
Eddie Pope	1973 births, Living people, American footballers, Sportspeople from North Carolina, People from Greensboro, North Carolina
Double check	Chess
Sindh Institute of Urology and Transplantation	Hospitals, Buildings and structures in Karachi
Tuck Everlasting (2002 movie)	2002 movies, Disney movies, Movies based on books, English-language movies
2010 Pacific hurricane season	2010 in weather, Pacific hurricane seasons, 2010 in North America
William Jennings Bryan	1860 births, 1925 deaths, American lawyers, American Presbyterians, Burials at Arlington National Cemetery, Creationists, United States representatives from Nebraska, United States Secretaries of State, US Democratic Party politicians
Regeneration	Developmental biology
Lowell, Massachusetts	Cities in Massachusetts, County seats in Massachusetts
Haifa	Haifa, Ports and harbours of Israel
National University of San Marcos	Colleges and universities in South America, 1551 establishments, Lima, 16th-century establishments in the Viceroyalty of Peru, 1550s establishments in South America
Princes Street	Edinburgh, Roads in the United Kingdom
Social anxiety disorder	Anxiety disorders, Phobias
ASP.NET	Programming languages, Microsoft Visual Studio
Digital Economy Act 2010	Acts of the Parliament of the United Kingdom, Software, 2010 in the United Kingdom
Android (operating system)	Android (operating system)
Carlos Boozer	1981 births, Living people, African-American basketball players, Chicago Bulls players, Cleveland Cavaliers players, Los Angeles Lakers players, Utah Jazz players, Sportspeople from Alaska, 2008 Summer Olympics, American basketball players
Mark Schwarzer	1972 births, Living people, Australian footballers, Sportspeople from Sydney
Rocky Colavito	1933 births, Living people, American baseball players, Cleveland Indians players, Sportspeople from New York City
Escitalopram	Drugs used in psychiatry
Leeds Cathedral	Leeds, Roman Catholic Cathedrals, Grade II* listed buildings
Leeds Town Hall	Leeds, Concert halls in England, Administrative buildings, 1858 establishments in the United Kingdom, 1850s establishments in England
LittleBigPlanet	2008 video games, LittleBigPlanet, PlayStation 3 games, Sony Interactive Entertainment games
Nexus One	Nexus mobile phones, Android smartphones, Mobile phones released in 2010
Nellie McKay	American pop musicians, American jazz musicians, Singers from New York City, American movie actors, American stage actors, Actors from New York City, Comedians from New York City, 1982 births, Living people
Mo Williams	1982 births, American basketball players, Living people, Cleveland Cavaliers players, Los Angeles Clippers players, Milwaukee Bucks players, Utah Jazz players, Sportspeople from Mississippi
Hummus	Middle Eastern foods
Sean Combs	African American actors, African American musicians, American movie actors, American television actors, Actors from New York City, Grammy Award winners, Singers from New York City, American rap musicians from New York, 1969 births, Living people
Context (computing)	Computer science
Ryohei Suzuki (footballer, born 1983)	1983 births, Living people, Footballers from Fukui Prefecture
Shogo Sakai	1988 births, Living people, Footballers from Mie Prefecture
Kenta Kifuji	1981 births, Living people, Footballers from Nagasaki Prefecture
Douglas Pires de Souza	1987 births, Living people, Brazilian footballers
Osama Elsamni	1988 births, Living people, Footballers from Okinawa Prefecture, YSCC Yokohama players
Nedum Onuoha	1986 births, Living people, English footballers, Manchester City F.C. players, Nigerian footballers, Sportspeople from Manchester, Premier League players
Jean Makoun	1983 births, Living people, Cameroonian footballers
Zé Castro	1983 births, Living people, Portuguese footballers
Iván Cuéllar	1984 births, Living people, Spanish association football goalkeepers
Ismael Falcón	1984 births, Living people, Spanish association football goalkeepers, People from Cádiz
Junya Kimura	1987 births, Living people, Footballers from Ibaraki Prefecture
Marcos Aurélio Galeano	1972 births, Living people, Brazilian footballers
Axel Cédric Konan	1983 births, Living people, Ivorian footballers
Hideo Yoshizawa	1972 births, Living people, Footballers from Gunma Prefecture
Sho Gokyu	1983 births, Living people, Footballers from Mie Prefecture
Oswaldo López Arellano	1921 births, 2010 deaths, North American politicians, Presidents of Honduras
Bosnian language	Slavic languages, Bosnia and Herzegovina, Languages of Europe
Kotka	Towns in Finland, Municipalities of Kymenlaakso, 1879 establishments in Europe, 1870s establishments in Finland
Volkswagen Touareg	Volkswagen automobiles, 2000s automobiles, 2010s automobiles, Sport utility vehicles
Volkswagen Golf Cabriolet	Volkswagen Golf, 1970s automobiles, 1980s automobiles, 1990s automobiles, 2000s automobiles
Google I/O	Internet
Ecchi	Anime, Anime and manga terms
National Polytechnic Institute	Colleges and universities in Mexico, 1936 establishments in North America, Mexico City, 1930s establishments in Mexico
Oxalidaceae	Oxalidales
Ganglion	Anatomy of the nervous system
Obsessive-compulsive personality disorder	Personality disorders
Craig Moore	1975 births, Living people, Australian footballers, Sportspeople from Sydney, Crystal Palace F.C. players
Tsuyoshi Kawaguchi	1978 births, Living people, Footballers from Shizuoka Prefecture
Masayuki Ishii	1978 births, Living people, Footballers from Kanagawa Prefecture
Ryosuke Horikiri	1983 births, Living people, Footballers from Chiba Prefecture
Mitsuru Mukojima	1976 births, Living people, Footballers from Shizuoka Prefecture
Masahiko Kumagai	1975 births, Living people, Footballers from Kanagawa Prefecture
Taiki Maekawa	Footballers from Shizuoka Prefecture, 1979 births, Living people
Shuhei Hanabuchi	1978 births, Living people, Footballers from Miyagi Prefecture
Hirokazu Otsubo	1979 births, Living people, Footballers from Fukuoka Prefecture
Takeshi Ushibana	1977 births, Living people, Footballers from Kagoshima Prefecture
Datsakorn Thonglao	1983 births, Living people, Thai footballers
Juande Ramos	1954 births, Living people, Spanish footballers, Spanish football managers
Tatsuhiro Nishimoto	1980 births, Living people, Footballers from Yamaguchi Prefecture
Marc Crosas	1988 births, Living people, Spanish footballers
Jeffrén Suárez	1988 births, Living people, Spanish footballers
Takuya Tomiyama	1980 births, Living people, Footballers from Kanagawa Prefecture
Shōgo Shimada	1979 births, Living people, Footballers from Hyōgo Prefecture
Raimundo Orsi	1901 births, 1986 deaths, Argentine footballers, Italian footballers
Hao Haidong	1970 births, Living people, Chinese footballers
Emanuel Pogatetz	1983 births, Living people, Austrian footballers, Players of the Austrian national football team, People from Graz
Carlos Bocanegra	1979 births, Living people, American footballers
Park Chu-young	1985 births, Living people, South Korean footballers
Mario Regueiro	1978 births, Living people, Uruguayan footballers, Sportspeople from Montevideo
Daniel Andersson	1977 births, Living people, Swedish footballers
Niclas Jensen	1974 births, Living people, Danish footballers
Red Dead Redemption	2010 video games, PlayStation 3 games, Xbox 360 games
Hypertrophy	Health, Fitness
Spiritual successor	Writing
William Gibson	1948 births, Living people, American science fiction writers, Writers from South Carolina, Nebula Award winning writers, Hugo Award winning writers
Dadyal	Tehsils of Azad Kashmir
Thymelaeaceae	Malvales
Samahni	Tehsils of Azad Kashmir
Dhirkot	Tehsils of Azad Kashmir
Palandri Tehsil	Tehsils of Azad Kashmir
2010 Formula One World Championship	Formula One seasons, 2010 in sports
Heart urchin	Echinoderms
Nobumitsu Yamane	1979 births, Living people, Footballers from Chiba Prefecture
Shohei Kamada	1980 births, Living people, Footballers from Hyōgo Prefecture
Takayuki Odajima	1977 births, Living people, Footballers from Kanagawa Prefecture
Tomoyuki Kajino	1960 births, Living people, Footballers from Aichi Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Cerezo Osaka players, Gamba Osaka players, Kashiwa Reysol players
Lee Cattermole	1988 births, Living people, English footballers, Sportspeople from County Durham, Premier League players
Takeshi Takama	1956 births, Living people, Footballers from Kyoto
Toshiaki Hotta	1975 births, Living people, Footballers from Tochigi Prefecture
Kim Yong-Jun	1983 births, Living people, North Korean footballers
Francesco Tavano	1979 births, Living people, Italian footballers
Kodai Suzuki	1981 births, Living people, Footballers from Tokyo Prefecture
Shinji Honda	1978 births, Living people, Footballers from Aomori Prefecture
Kohei Masumoto	1982 births, Living people, Footballers from Kanagawa Prefecture
Yoshihide Ogushi	1975 births, Living people, Footballers from Miyazaki Prefecture
Shoma Mizunaga	1985 births, Living people, Footballers from Miyazaki Prefecture
Masahiro Hamazaki	1940 births, 2011 deaths, Footballers from Osaka Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Ryozo Suzuki	1939 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players, Footballers at the 1964 Summer Olympics, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Kiyoshi Tomizawa	1943 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players, Footballers at the 1964 Summer Olympics, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Eizo Yuguchi	1945 births, 2003 deaths, Footballers from Osaka Prefecture, Japan international footballers, Japan Soccer League players, Cerezo Osaka players, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Hisao Kami	1941 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players, Footballers at the 1964 Summer Olympics
Shozo Tsugitani	1940 births, 1978 deaths, Footballers from Hyōgo Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players, Footballers at the 1964 Summer Olympics
Yoshio Furukawa	1934 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, Footballers at the 1956 Summer Olympics
Takashi Takabayashi	1931 births, 2009 deaths, Footballers from Saitama Prefecture, Japan international footballers, Tanabe Mitsubishi Pharma SC players, Footballers at the 1956 Summer Olympics
Waichiro Omura	1933 births, Year of death missing, Footballers from Shizuoka Prefecture, Japan international footballers, Tanabe Mitsubishi Pharma SC players, Footballers at the 1956 Summer Olympics
Tadao Kobayashi	1930 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, Footballers at the 1956 Summer Olympics
Akira Kitaguchi	1935 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players, Footballers at the 1956 Summer Olympics
Sault Ste. Marie, Ontario	Cities in Ontario
Easter Island	World Heritage Sites in South America, Islands of Chile, Easter Island, Provinces of Chile
Appin, New South Wales	Towns in New South Wales
Rihei Sano	1912 births, 1992 deaths, Footballers from Shizuoka Prefecture, Japan international footballers, Footballers at the 1936 Summer Olympics
Sei Fuwa	Year of birth missing, Year of death missing, Footballers from Tokyo Prefecture, Footballers at the 1936 Summer Olympics
Teizo Takeuchi	1908 births, 1946 deaths, Footballers from Tokyo Prefecture, Japan international footballers, Footballers at the 1936 Summer Olympics
Constable	Law enforcement occupations
Ever Palacios	1969 births, Living people, Colombian footballers
Monaro (New South Wales)	Regions of New South Wales
Kei Omoto	1984 births, Living people, Footballers from Chiba Prefecture
Kazuma Kita	1981 births, Living people, Footballers from Ishikawa Prefecture
Tomonobu Hiroi	1985 births, Living people, Footballers from Tokyo Prefecture
Peter Løvenkrands	1980 births, Living people, Danish footballers
Hiroki Iikura	1986 births, Living people, Footballers from Aomori Prefecture
Halifax (bank)	Banks of the United Kingdom, 1853 establishments, 1850s establishments in the United Kingdom
Peavy Wagner	1964 births, Living people, Bassists
Leeds Kirkgate Market	Leeds, Retail markets, Buildings and structures in England, 1822 establishments, 1820s establishments in England
Kosei Shibasaki	1984 births, Living people, Footballers from Nagasaki Prefecture
Landlord	Occupations
Debbie Stabenow	1950 births, Living people, United States senators from Michigan, United States representatives from Michigan, US Democratic Party politicians, 20th-century American politicians, 21st-century American politicians
Grand Valley State University	Colleges and universities in Michigan, 1960 establishments in the United States, 1960s establishments in Michigan
Neith	Egyptian gods and goddesses
Force India	Formula One constructors, Formula One current
Yasuo Suzuki	1913 births, Year of death missing, Footballers from Kanagawa Prefecture, Japan international footballers, Footballers at the 1936 Summer Olympics
Motoo Tatsuhara	1913 births, Year of death missing, Footballers from Tokyo Prefecture, Japan international footballers, Footballers at the 1936 Summer Olympics
Shoichi Nishimura	1912 births, 1998 deaths, Footballers from Hyōgo Prefecture, Japan international footballers, Footballers at the 1936 Summer Olympics
Tokutaro Ukon	1913 births, 1944 deaths, Footballers from Hyōgo Prefecture, Japan international footballers, Footballers at the 1936 Summer Olympics
Akira Matsunaga (footballer, born 1914)	1914 births, 1943 deaths, Footballers from Shizuoka Prefecture, Japan international footballers, Footballers at the 1936 Summer Olympics
Takeshi Kamo	1915 births, 2004 deaths, Footballers from Shizuoka Prefecture, Japan international footballers, Footballers at the 1936 Summer Olympics
Toyoji Takahashi	1915 births, 1940 deaths, Footballers from Tokyo Prefecture, Footballers at the 1936 Summer Olympics
Shogo Kamo	1915 births, 1977 deaths, Footballers from Shizuoka Prefecture, Japan international footballers, Footballers at the 1936 Summer Olympics
Narita Takaki	1977 births, Living people, Footballers from Nagasaki Prefecture
Yoshiki Nakai	1983 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Jaime Gavilán	1985 births, Living people, Spanish footballers, People from Valencia
Dario Dainelli	1979 births, Living people, Italian footballers
José Manuel Jurado	1986 births, Living people, Spanish footballers
Ali Al-Habsi	1981 births, Living people, Omani people, Association football goalkeepers
Air India Express Flight 812	2010 aviation disasters, 2010 in India, 2010s disasters in Asia, Disasters in India, Karnataka, May events, Transport in India
Otto Hahn	1879 births, 1968 deaths, German academics, German chemists, German Nobel Prize winners, People from Frankfurt
Air India	1932 establishments in India, Star Alliance, Airlines of Asia, Companies of India, Transport in India, National symbols of India, IATA members
Gonzalo Sorondo	1979 births, Living people, Uruguayan footballers, Sportspeople from Montevideo, Crystal Palace F.C. players
Powerwolf	German heavy metal bands, Musical groups established in 2003, 2000s German music groups, 2010s German music groups, Power metal
Matt Holland	1974 births, Living people, English footballers, Irish footballers, People from Bury, Sportspeople from Greater Manchester, Premier League players
Captain (association football)	Association football
Maarten Stekelenburg	1982 births, Living people, 2006 FIFA World Cup players, 2010 FIFA World Cup players, Dutch footballers, Association football goalkeepers, People from Haarlem, Sportspeople from North Holland
Rik van den Boog	1959 births, Living people, Dutch football managers, Sportspeople from Amsterdam
Taira Inoue	1983 births, Living people, Footballers from Tokyo Prefecture
Kensuke Fukuda	1984 births, Living people, Footballers from Shizuoka Prefecture
Kenzo Taniguchi	1988 births, Living people, Footballers from Kagoshima Prefecture
Kenichi Kaga	1983 births, Living people, Footballers from Akita Prefecture
Yasuhiro Nomoto	1983 births, Living people, Footballers from Niigata Prefecture
Yuki Okada	1983 births, Living people, Footballers from Shizuoka Prefecture
Machida Station	Railway stations in Tokyo
Demigod	Gods and goddesses
Maicon Douglas Sisenando	1981 births, Living people, Brazilian footballers, Manchester City F.C. players
Masaharu Nishi	1977 births, Living people, Footballers from Fukuoka Prefecture
Michiyasu Osada	1978 births, Living people, Footballers from Saitama Prefecture
Toru Sano	1963 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Yokohama F. Marinos players
Atsushi Natori	1961 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Urawa Red Diamonds players
Masaaki Mori	1961 births, Living people, Footballers from Nagasaki Prefecture, Japan international footballers, Japan Soccer League players, Shonan Bellmare players
Alexandre Pato	1989 births, Living people, Brazilian footballers
Shunta Takahashi	1989 births, Living people, Footballers from Toyama Prefecture
Kazuyuki Kyoya	1971 births, Living people, Footballers from Hokkaidō Prefecture
Roman Weidenfeller	1980 births, Living people, German association football goalkeepers, Sportspeople from Rhineland-Palatinate
Max Tonetto	1974 births, Living people, Italian footballers, People from Trieste
Jean-Marc Bosman	1964 births, Living people, Belgian footballers
Rodrigo Taddei	1980 births, Living people, Brazilian footballers
Takeshi Kuwahara	1985 births, Living people, Footballers from Fukuoka Prefecture
Jorge Burruchaga	1962 births, Living people, Argentine footballers, Argentine football managers
Artur Boruc	1980 births, Living people, Polish footballers, Association football goalkeepers
Liberal Party (Philippines)	Politics of the Philippines, Liberal parties
Aleksandr Mostovoi	1968 births, Living people, Russian footballers
Gregory van der Wiel	1988 births, Living people, Dutch footballers, Sportspeople from Amsterdam
Luis Suárez	1987 births, Living people, 2010 FIFA World Cup players, 2014 FIFA World Cup players, 2018 FIFA World Cup players, Uruguayan footballers
Arup	1946 establishments in Europe, Engineering companies of the United Kingdom, 1940s establishments in the United Kingdom
