Book of Enoch	Books of the Bible
Quilmes A.C.	Argentine football clubs, 1887 establishments, 1880s establishments in Argentina
C.A. Lanús	Argentine football clubs, 1915 establishments, 1910s establishments in Argentina
MTN Elite One	Football leagues, Sport in Cameroon
Daisuke Saito (born in 1974)	1974 births, Living people, Footballers from Aichi Prefecture
Ryuji Fujiyama	1973 births, Living people, Footballers from Kagoshima Prefecture
Norio Suzuki	1984 births, Living people, Footballers from Chiba Prefecture
Tarik Oulida	1974 births, Living people, Dutch footballers, Sportspeople from Amsterdam
Hayuma Tanaka	1982 births, Living people, Footballers from Nagano Prefecture, Japan international footballers, J1 League players, J2 League players, Yokohama F. Marinos players, Tokyo Verdy players, Nagoya Grampus players, Matsumoto Yamaga FC players
Manabu Wakabayashi	1979 births, Living people, Footballers from Tochigi Prefecture
Tomi Shimomura	1980 births, Living people, Footballers from Hokkaidō Prefecture
Robin van Persie	1983 births, Living people, 2006 FIFA World Cup players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, Arsenal F.C. players, Dutch footballers, Manchester United F.C. players, Sportspeople from Rotterdam
Albert Jorquera	1979 births, Living people, Spanish association football goalkeepers
Korkeasaari	Islands of Europe, Geography of Finland, Helsinki
Swadlincote	Towns in Derbyshire
Aqua (skyscraper)	2009 establishments in Illinois, Skyscrapers in Chicago
The Legacy at Millennium Park	Skyscrapers in Chicago, 2009 establishments in Illinois
Gresham's law	Money
Benjamin Netanyahu	Benjamin Netanyahu, 1949 births, Living people, Ambassadors of Israel, Ambassadors to the United Nations, Deputy government ministers of Israel, Government ministers of Israel, Israeli military people, Israeli opposition leaders, Israeli political leaders, Jewish Israeli politicians, Jewish Israeli writers, Jewish military people, Likud politicians, Massachusetts Institute of Technology alumni, Members of Knesset, People from Tel Aviv, Israeli political scientists, Prime Ministers of Israel
Nagqu Prefecture	Tibet
Bobby Bonilla	1963 births, Atlanta Braves players, Baltimore Orioles players, Chicago White Sox players, Florida Marlins players, Living people, Los Angeles Dodgers players, National League All-Stars, New York Mets players, Pittsburgh Pirates players, St. Louis Cardinals players
Charing Cross	Areas of London, Buildings and structures in London
Kappa, Illinois	Villages in Illinois
Colitis	Diseases
Dearborn, Michigan	Cities in Michigan, 1886 establishments in the United States, 1880s establishments in Michigan
Cameron, Wood County, Wisconsin	Towns in Wisconsin, Wood County, Wisconsin
Iacobeni, Suceava	Communes in Suceava County
Marginea	Communes in Suceava County
Maglavit	Communes in Dolj County
Malu Mare	Communes in Dolj County
Brașov County	Counties of Romania, Transylvania
Berchişeşti	Communes in Suceava County
Vâlcea County	Counties of Romania
Olt County	Counties of Romania
Maramureș County	Counties of Romania
Sibiu County	Counties of Romania, Transylvania
Quickie (sex)	Sexual acts
Deep-throating	Sexual acts
Fisting	Sexual acts
Andreas Isaksson	1981 births, Living people, Swedish footballers, Association football goalkeepers
Olof Mellberg	1977 births, Living people, Swedish footballers
Michael Essien	1982 births, Living people, Ghanaian footballers, People from Accra
Invincible Eleven & Majestic S.A.	Football clubs in Monrovia
Mighty Barolle S.A.	Liberian football clubs
Oryx Douala	Cameroonian football clubs
Caïman de Douala	Cameroonian football clubs
Samuel Kuffour	1976 births, Living people, Ghanaian footballers
Thiago Motta	1982 births, Living people, Brazilian footballers
Diamant Yaoundé	Cameroonian football clubs
Rafael Márquez	1979 births, Living people, Mexican footballers
Sylvinho	1974 births, Living people, Brazilian footballers
Park Kang-Jo	1980 births, Living people, South Korean footballers
Dudu Cearense	1983 births, Living people, Brazilian footballers, People from Fortaleza
Yukio Tsuchiya	1974 births, Living people, Footballers from Tokyo Prefecture
Rosario Central	Argentine football clubs, 1889 establishments, 1880s establishments in Argentina
Saint Joseph Warriors	Liberian football clubs
Chalcedonian Creed	Ancient Christianity, Christian creeds
Mount Fraser	Volcanoes of Australia, Volcanic craters, Mountains of Victoria (Australia)
Lucario	Fictional characters introduced in 2005, Pokémon monsters
Cacabelos	Municipalities in Castile and León, Settlements in León
Cabrillanes	Municipalities in Castile and León, Settlements in León
Camponaraya	Municipalities in Castile and León, Settlements in León
Villamañán	Municipalities in Castile and León, Settlements in León
La Bañeza	Municipalities in Castile and León, Settlements in León
Cármenes	Settlements in León, Municipalities in Castile and León
Villablino	Municipalities in Castile and León, Settlements in León
Castrotierra de Valmadrigal	Municipalities in Castile and León, Settlements in León
El Burgo Ranero	Municipalities in Castile and León, Settlements in León
Villamanín	Municipalities in Castile and León, Settlements in León
Carucedo	Municipalities in Castile and León, Settlements in León
Luyego	Municipalities in Castile and León, Settlements in León
Destriana	Municipalities in Castile and León, Settlements in León
Igüeña	Municipalities in Castile and León, Settlements in León
Hertzsprung–Russell diagram	Astrophysics, Diagrams
Seabird	Seabirds
Tropical Depression One (2009)	Tropical depressions, Hurricanes in the United States, May events, 2009 Atlantic hurricane season, 2000s in North Carolina, 2009 in the United States
Orange, Wisconsin	Juneau County, Wisconsin, Towns in Wisconsin
Hatteras, North Carolina	Unincorporated communities in North Carolina
Rolex	Companies of Switzerland
Cecil Fielder	1963 births, African-American baseball players, American League All-Stars, Baseball players from California, California Angels players, Cleveland Indians players, Detroit Tigers players, Living people, New York Yankees players, Sportspeople from Los Angeles, California, Toronto Blue Jays players
Makoto Tanaka	1975 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, Júbilo Iwata players, Avispa Fukuoka players, 2005 FIFA Confederations Cup players, Footballers at the 1996 Summer Olympics
Oleguer Presas	1980 births, Living people, Spanish footballers
Union Sportive Douala	Cameroonian football clubs
Ludovic Giuly	1976 births, Living people, French footballers, Sportspeople from Lyon
Maxi López	1984 births, Living people, Argentine footballers, Sportspeople from Buenos Aires
Gabri García	1979 births, Living people, Spanish footballers
Canon Sportif de Yaoundé	Cameroonian football clubs
Santiago Ezquerro	1976 births, Living people, Spanish footballers
Rubén Iván Martínez	1984 births, Living people, Spanish association football goalkeepers
Damià Abella	1982 births, Living people, Spanish footballers
Aigle Nkongsamba	Cameroonian football clubs
Jo Kanazawa	1976 births, Living people, Footballers from Saitama Prefecture
Shigeri Sada	1954 births, Living people, Footballers from Nagasaki Prefecture
Yasunobu Matsuoka	1986 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Léopards Douala	Cameroonian football clubs
Nikola Žigić	1980 births, Living people, Serbian footballers
Santiago Salcedo	1981 births, Living people, Paraguayan footballers, People from Asunción
Jean Carlo Witte	1977 births, Living people, Brazilian footballers
Yuzuru Nozu	1899 births, 1983 deaths, Footballers from Hiroshima Prefecture, People from Hiroshima
Yoshiro Abe	1980 births, Living people, Footballers from Ehime Prefecture
Lucas Severino	1979 births, Living people, Brazilian footballers
Yuta Baba	1984 births, Living people, Footballers from Tokyo Prefecture
Kazuya Maeda	1982 births, Living people, Footballers from Wakayama Prefecture
Takashi Kitano	1982 births, Living people, Footballers from Hokkaidō Prefecture
Yasuhiro Kamata	1980 births, Living people, Footballers from Shizuoka Prefecture
Koichi Kidera	1972 births, Living people, Footballers from Saitama Prefecture
Kenji Honnami	1964 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Gamba Osaka players, Tokyo Verdy players
Hugo Maradona	1969 births, Living people, Argentine footballers, Argentine football managers
Ryoichi Kurisawa	1982 births, Living people, Footballers from Chiba Prefecture
Masashi Miyazawa	1978 births, Living people, Footballers from Yamanashi Prefecture
L.P.R.C. Oilers	Football clubs in Monrovia
N.P.A. Anchors	Football clubs in Monrovia
Monrovia Black Star F.C.	Football clubs in Monrovia
Hitoshi Shiota	1981 births, Living people, Footballers from Ibaraki Prefecture
Mitsuhiro Toda	1977 births, Living people, Footballers from Miyazaki Prefecture
Satoru Asari	1974 births, Living people, Footballers from Saitama Prefecture
Masamitsu Kobayashi	1978 births, Living people, Footballers from Tochigi Prefecture
Taisei Fujita	1982 births, Living people, Footballers from Kōchi Prefecture
Niko Kranjčar	1984 births, Living people, Croatian footballers, Sportspeople from Zagreb
Hiroyuki Omata	1983 births, Living people, Footballers from Tokyo Prefecture
Luís Fabiano	1980 births, Living people, Brazilian footballers
Jader Volnei Spindler	1982 births, Living people, Brazilian footballers
Takaji Mori	1943 births, 2011 deaths, Footballers from Hiroshima Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Urawa Red Diamonds players, Japan national football team managers, Footballers at the 1964 Summer Olympics, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Naoki Soma	1971 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, J1 League players, J2 League players, Kashima Antlers players, Tokyo Verdy players, Kawasaki Frontale players, 1998 FIFA World Cup players, 1995 King Fahd Cup players, 1996 AFC Asian Cup players
Tonnerre Kalara Club de Yaoundé	Cameroonian football clubs
Kenzo Yokoyama	1943 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Urawa Red Diamonds players, Japan national football team managers, Footballers at the 1964 Summer Olympics, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Tetsuya Totsuka	1961 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Tokyo Verdy players, Kashiwa Reysol players
Pavel Řehák	1963 births, Living people, Czech footballers, Czech football managers
Holger Osieck	1948 births, Living people, German football managers, German footballers, People from Duisburg, Sportspeople from North Rhine-Westphalia
Fabão	1976 births, Living people, Brazilian footballers
Unisport de Bafang	Cameroonian football clubs
Kazuo Saito	1951 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Urawa Red Diamonds players
Toshimi Kikuchi	1973 births, Living people, Footballers from Iwate Prefecture
Absolute temperature	Temperature
King of Saudi Arabia	Kings of Saudi Arabia
Monas	Jakarta, Monuments and memorials, 1975 establishments in Asia, 20th century establishments in Indonesia, Buildings and structures in Indonesia
Rush hour	Traffic
Pita (footballer)	1958 births, Living people, Footballers from Rio de Janeiro, Brazilian football managers
Takashi Sekizuka	1960 births, Living people, Footballers from Chiba Prefecture, Japanese football managers, Japan Soccer League players, Honda FC players
Yusuke Kondo	1984 births, Living people, Footballers from Tokyo Prefecture
Shinji Kobayashi	1960 births, Living people, Footballers from Nagasaki Prefecture
Hidemi Kotani	1963 births, Living people, Footballers from Okayama Prefecture, Japanese football managers
Racing F.C. Bafoussam	Cameroonian football clubs
Shigeo Yaegashi	1933 births, 2011 deaths, Footballers from Iwate Prefecture, Japan international footballers, Japan Soccer League players, JEF United Chiba players, Footballers at the 1956 Summer Olympics, Footballers at the 1964 Summer Olympics, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Naoto Nakamura	1979 births, Living people, Footballers from Chiba Prefecture
Yasushi Yoshida	1960 births, Living people, Footballers from Tokyo Prefecture
Yoshiharu Horii	1953 births, Living people, Footballers from Shizuoka Prefecture, Japanese football managers
Hiroshi Kobayashi	1959 births, Living people, Footballers from Ibaraki Prefecture
Kelly	1975 births, Living people, Brazilian footballers
Yoshika Matsubara	1974 births, Living people, Footballers from Shizuoka Prefecture, Japanese football managers, J1 League players, J2 League players, Júbilo Iwata players, Shimizu S-Pulse players, JEF United Chiba players, Shonan Bellmare players, Avispa Fukuoka players, Footballers at the 1996 Summer Olympics
Yuta Minami	1979 births, Living people, Footballers from Kanagawa Prefecture
Shinji Otsuka	1975 births, Living people, Footballers from Chiba Prefecture
Daiki Takamatsu	1981 births, Living people, Footballers from Yamaguchi Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Oita Trinita players, FC Tokyo players, Footballers at the 2004 Summer Olympics
Gert Engels	1957 births, Living people, German football managers, German footballers, Sportspeople from North Rhine-Westphalia
Wesley Sneijder	1984 births, Living people, Dutch footballers, Sportspeople from Utrecht (city)
Kenichi Kondo	1983 births, Living people, Footballers from Nagasaki Prefecture
Kazuya Maeda (born in 1984)	1984 births, Living people, Footballers from Tochigi Prefecture
Darlington	Towns in County Durham
Kirby & the Amazing Mirror	2004 video games, Game Boy Advance games, Platform games, Kirby
Juan Donoso Cortés	1809 births, 1853 deaths, Philosophers, Spanish politicians, Spanish writers, People from Extremadura
Trust (social science)	Virtues
Agrippa I	10 BC births, 44 deaths, New Testament people, Kings of ancient Judah
Hinche	Cities in Haiti, 1700s establishments in North America, 18th-century establishments in the Spanish Empire, 1704 establishments
Cloverleaf quasar	Galaxies
Juneau County, Wisconsin	Juneau County, Wisconsin, 1858 establishments in Wisconsin
Diponegoro	Indonesian people
Bam Margera	1979 births, Living people, American television personalities, Skateboarders, Actors from Pennsylvania, American comedians, American movie actors, American skateboarders, American television actors, American television presenters, Reality television participants, Sportspeople from Pennsylvania
Video game content rating system	Video game ratings
Union territory	Government of India, Territories of India
Nestor Omar Piccoli	1965 births, Living people, Argentine footballers, Argentine football managers, Sportspeople from Buenos Aires
Masaaki Kanno	1960 births, Living people, Footballers from Kanagawa Prefecture
Ľubomír Moravčík	1965 births, Living people, Slovak footballers
Tiko United F.C.	Cameroonian football clubs
Masakazu Suzuki	1955 births, Living people, Footballers from Yamanashi Prefecture
Takashi Kuwahara	1948 births, Living people, Footballers from Shizuoka Prefecture
Yoshikazu Goto	1964 births, Living people, Footballers from Shizuoka Prefecture
Cotonsport F.C. Garoua	Cameroonian football clubs
Fovu Baham	Cameroonian football clubs
Lancaster Barnstormers	Sports in Pennsylvania, Baseball teams
Yasuhiro Higuchi	1961 births, Living people, Footballers from Mie Prefecture
Francisco Javier Peral	1983 births, Living people, Spanish footballers
UAE Pro League	Football leagues
Stephen Tataw	1963 births, 2020 deaths, Cameroonian footballers
Carlos González Peña	1983 births, Living people, Spanish footballers, People from Salamanca
Hideya Okamoto	1987 births, Living people, Footballers from Osaka Prefecture, People from Osaka, Avispa Fukuoka players
Philadelphia Union	American soccer teams, Major League Soccer teams, 2008 establishments in the United States, 2000s establishments in Pennsylvania
Sammy Adjei	1980 births, Living people, Ghanaian footballers, Association football goalkeepers, People from Accra
Sulley Muntari	1984 births, Living people, Ghanaian footballers
Emmanuel Pappoe	1981 births, Living people, Ghanaian footballers, People from Accra
Projectile	Mechanics, Ballistics
Mathematical physics	Mathematics
2003 Atlantic hurricane season	2003 Atlantic hurricane season
Hurricane Paloma	2008 Atlantic hurricane season, Category 4 Atlantic hurricanes, November 2008 events, 2008 in the United States, 2000s in Florida, History of the Cayman Islands, 2000s in Jamaica, 2000s in Cuba, 2000s in Honduras, 2000s in Nicaragua, 2000s in the Bahamas
The Craig Machine	2005 albums
John Paintsil	1981 births, Living people, Ghanaian footballers
Sable F.C.	Cameroonian football clubs
Sharjah FC	United Arab Emirati football clubs
Al-Ahli Dubai	United Arab Emirati football clubs, Sport in Dubai
Ryan Babel	1986 births, Living people, Dutch footballers, Sportspeople from Amsterdam
Al-Nasr SC (Dubai)	United Arab Emirati football clubs, Sport in Dubai
Al Wasl F.C.	United Arab Emirati football clubs, Sport in Dubai
Al-Wahda Abu Dhabi	United Arab Emirati football clubs
Djimi Traoré	1980 births, Living people, Malian footballers
Josemi	1979 births, Living people, Spanish footballers
Robert Cullen	1985 births, Living people, Footballers from Ibaraki Prefecture
Superhero (Stephen Lynch album)	2003 albums, Comedy
A Little Bit Special	2000 albums
Melbourne, Derbyshire	Towns in Derbyshire, Market towns in England
Pokémon Adventures	Pokémon
Pragmatics	Linguistics
Inattentional blindness	Cognition, Perception
Melky Cabrera	1984 births, Living people, Dominican Republic sportspeople, Atlanta Braves players, Chicago White Sox players, Kansas City Royals players, New York Yankees players, San Francisco Giants players, Toronto Blue Jays players
Ludacris	1977 births, Living people, African American musicians, Singers from Illinois, American movie actors, American television actors, American rap musicians from Illinois, Actors from Illinois, Grammy Award winners, People from Champaign, Illinois
Millionaires (group)	Musical groups from Huntington Beach, California, 2007 establishments in California, Musical groups established in 2007
Heckler & Koch MP series	Submachine guns
Meishi Street	2006 movies, Documentary movies, Chinese movies
Brentwood College School	Schools in Canada, 1923 establishments in North America, 1920s establishments in Canada
Cutscene	Video game design
Thirteenth Amendment to the United States Constitution	Amendments to the United States Constitution, 1865 in the United States
Hurricane Jeanne	2004 Atlantic hurricane season, 2004 in Florida, Deadly storms, Disasters in the 2000s, Hurricanes in the United States, 2000s in Haiti, 2000s in Puerto Rico, 2000s in the Bahamas, September events
Jun Muramatsu	1982 births, Living people, Footballers from Shizuoka Prefecture
Mohamed Sissoko	1985 births, Living people, Malian footballers
Al-Ain FC	United Arab Emirati football clubs
Stephen Warnock	1981 births, Living people, English footballers, Liverpool F.C. players, People from Lancashire, Premier League players
Redevelopment	Urban planning
Articulated vehicle	Vehicles
Balloon loop	Railway track layouts
Lund University	Colleges and universities in Sweden, Lund, 17th century establishments in Europe
Lope de Rueda	1510s births, 1565 deaths, People from Seville, Spanish writers
Guillén de Castro	Spanish writers
Sic	Latin phrases
Warm front	Meteorology
Groundwater	Water
Palm Beach County, Florida	Florida counties, Palm Beach County, Florida, 1900s establishments in Florida, 1909 establishments in the United States
Lake Okeechobee	Geography of Florida, Lakes of the United States, Palm Beach County, Florida
All I Ever Wanted (album)	2009 albums, Kelly Clarkson albums
Bernard Herrmann	1911 births, 1975 deaths, Academy Award winning composers, American movie score composers, Deaths from heart failure, Entertainers from New York City
Félix María Samaniego	1745 births, 1801 deaths, Spanish writers
Vermilion (song)	Slipknot songs, 2004 songs
Before I Forget (song)	Slipknot songs, 2004 songs
Mate. Feed. Kill. Repeat.	1997 albums, Debut albums, Slipknot albums, Heavy metal albums
Turntablism	Hip hop
Nadezhda von Meck	Russian people, 1831 births, 1894 deaths
Clapper (musical instrument)	Percussion instruments
Giza Necropolis	Buildings and structures in Ancient Egypt, Seven Wonders of the World, Pyramids, Archaeological sites in Egypt, World Heritage Sites in Egypt
Yury Luzhkov	1936 births, 2019 deaths, Deaths from surgical complications, Mayors of Moscow
Gary Twigg	Living people, 1984 births, Scottish footballers
University of Delaware	Colleges and universities in Delaware, Newark, Delaware, 1740s establishments in the Thirteen Colonies
Halifax, West Yorkshire	Towns in West Yorkshire
Power Rangers	American television series
Sophoreae	Faboideae
Calzone	Italian food
Bisexual pornography	Pornography, Human sexuality
Soap made from human corpses	The Holocaust
Adiel de Oliveira Amorim	1980 births, Living people, Brazilian footballers
Darren Potter	1984 births, Living people, Irish footballers, People from Liverpool
Johann Vogel	1977 births, Living people, Swiss footballers, People from Geneva
Željko Kalac	1972 births, Living people, Australian footballers, Association football goalkeepers, Sportspeople from Sydney
Quincy Owusu-Abeyie	1986 births, Living people, Ghanaian footballers
Monroe Doctrine	1823, 1820s in the United States, James Monroe
Cynthia Wade	American cinematographers, American movie directors, American movie producers, Entertainers from New York City, Living people, Year of birth missing (living people)
Ángel de Saavedra, Duke of Rivas	1791 births, 1865 deaths, Dukes and duchesses, People from Córdoba, Andalusia, Playwrights, Spanish poets, Spanish politicians
Eastern religion	Religions, East Asian religions, Indian religions
Les Paul	1915 births, 2009 deaths, American guitarists, Deaths from pneumonia, Musicians from Wisconsin
WarGames	1983 thriller movies, 1983 science fiction movies, 1980s teen movies, American science fiction movies, American teen movies, American thriller movies, Cult movies, English-language movies, Movies directed by John Badham
Disquisitiones Arithmeticae	Mathematics books
IMSAI 8080	Computers
2009 Romanian bus-train collision	2009 in Europe, 21st century in Romania, Road transport, Transport disasters in Europe
Tropical Storm Claudette (2009)	2009 Atlantic hurricane season, Atlantic tropical storms, Hurricanes in the United States, August events, 2009 in Florida, 2000s in Georgia (U.S. state), 2000s in Alabama, 2000s in North Carolina
Suwannee River	Rivers of Florida
Virtua Fighter (arcade game)	Fighting games, Sega arcade games, Sega Saturn games, Windows games, 1993 video games, Sega 32X games, Sega video games, 1994 video games, 1995 video games
Florida State Road A1A	Roads in Florida
Emmett Till	1941 births, 1955 deaths, African-American people, American murder victims, Murders by firearm in the United States, People from Chicago, Murdered African-American people
Enjoy the Silence	1990 songs
Drew Bledsoe	1972 births, Living people, American football quarterbacks, Buffalo Bills players, Dallas Cowboys players, New England Patriots players, Sportspeople from Washington
Takeo Spikes	1976 births, Living people, American football linebackers, Buffalo Bills players, Cincinnati Bengals players, Philadelphia Eagles players, San Diego Chargers players, San Francisco 49ers players, Sportspeople from Georgia (U.S. state)
Silent Hill	Horror video games, Video game series
Penrith	Towns in Cumbria
Vijay Singh	1963 births, Living people, Golfers
Little Miss Sunshine	2006 comedy-drama movies, 2000s LGBT movies, 2000s road movies, Academy Award winning movies, American comedy-drama movies, American LGBT movies, American road movies, BAFTA Award winning movies, English-language movies, LGBT comedy-drama movies, Movies set in Arizona, Movies set in California, Movies set in New Mexico, Screen Actors Guild Award winners, American independent movies
Chris Crocker	Gay men, Internet celebrities, LGBT people from Tennessee, LGBT singers, Singers from Tennessee, 1987 births, Living people, American bloggers
Andrea Fortunato	1971 births, 1995 deaths, Italian footballers
Neil Mellor	1982 births, Living people, English footballers, People from South Yorkshire, Premier League players
Sebastian Deisler	1980 births, German footballers, Living people, Sportspeople from Baden-Württemberg, UEFA Euro 2000 players
Adriano Correia Claro	1984 births, Living people, Brazilian footballers, People from Curitiba, Coritiba Foot Ball Club players
Yoshinori Sembiki	1964 births, Living people, Footballers from Fukuoka Prefecture
Hiroshi Soejima	1959 births, Living people, Footballers from Saga Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Cerezo Osaka players, Kashima Antlers players
Lactic acid	Acids
Asylum seeker	International relations
Convention Relating to the Status of Refugees	1950s treaties, Human rights, History of the United Nations, Migration laws, 20th century in Geneva, 1951, 1967, 1960s treaties
List of Mexican flags	Lists of flags, Mexico-related lists, Flags of North America
Hurricane Iwa	Hurricanes in the United States, Retired tropical cyclone names, East Pacific hurricanes, 20th century in Hawaii, 1982 in the United States
Vinalhaven, Maine	Towns in Maine
Vassalboro, Maine	Towns in Maine
Jay, Maine	Towns in Maine, 1785 establishments in the United States, 18th-century establishments in Maine
Diablada	Ritual dances
Kazuhiro Koso	1959 births, Living people, Footballers from Saga Prefecture
Hideki Matsunaga	1963 births, Living people, Footballers from Shizuoka Prefecture
Al-Shabab Dubai	United Arab Emirati football clubs, Sport in Dubai
Qatar Stars League	Football leagues, Football in Qatar
Shinichi Morishita	1960 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Júbilo Iwata players, Kyoto Sanga FC players
Yasuyuki Kishino	1958 births, Living people, Footballers from Wakayama Prefecture
Hiroshi Matsuda	1960 births, Living people, Footballers from Nagasaki Prefecture
Joaquín Costa	1846 births, 1911 deaths, Spanish politicians
Mug shot	Photography, Law enforcement techniques
Antonio de Ulloa	Spanish writers, 1716 births, 1795 deaths
Derwent Valley Mills	Buildings and structures in England, World Heritage Sites in the United Kingdom, Derbyshire, 1721 establishments, 1720s establishments in Europe, 18th century establishments in England
Très Riches Heures du duc de Berry	French culture, Illuminated manuscripts
Human Development Index	Development
Shigekazu Nakamura	1958 births, Living people, Footballers from Nagasaki Prefecture
Grégory Coupet	1972 births, Living people, French footballers, Association football goalkeepers
Tatsuya Mochizuki	1963 births, Living people, Footballers from Shizuoka Prefecture
Caligula (movie)	1979 drama movies, American biographical movies, American drama movies, American epic movies, English-language movies, Historical movies, Italian movies, Movies set in Ancient Rome, American independent movies, Political movies
Anton Ferdinand	1985 births, Living people, English footballers, Sportspeople from London, Premier League players
Masataka Imai	1959 births, Living people, Footballers from Shizuoka Prefecture
Musashi Mizushima	1964 births, Living people, Footballers from Tokyo Prefecture
Raúl Bravo	1981 births, Living people, Spanish footballers
Tomoo Kudaka	1963 births, 1999 deaths, Footballers from Osaka Prefecture, People from Osaka
Al-Maref	Qatari football clubs
USL First Division	Football leagues, 2005 establishments in North America, 2010 disestablishments in North America
Jacques Santini	1952 births, Living people, French footballers, French football managers
Pablo Gabriel García	1977 births, Living people, Uruguayan footballers
Bradley Wright-Phillips	1985 births, Living people, Sportspeople from London, Black British sportspeople, English footballers, Premier League players
Iwao Yamane	1976 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima, Zweigen Kanazawa players
Takumi Watanabe	1982 births, Living people, Footballers from Fukushima Prefecture
Makoto Kimura	1982 births, Living people, Footballers from Fukui Prefecture
Keisuke Hada	1978 births, Living people, Footballers from Ehime Prefecture
Kiyotaka Ishimaru	1973 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Qatar S.C.	Qatari football clubs
California Jaguars	American soccer teams, 1995 establishments in California, 1999 disestablishments, 1990s disestablishments in California
Masakazu Koda	1969 births, Living people, Footballers from Ehime Prefecture
Ryosuke Okuno	1968 births, Living people, Footballers from Kyoto
Milwaukee Rampage	American soccer teams, Sports in Milwaukee, Wisconsin, 1994 establishments in the United States, 2002 disestablishments in the United States, 20th-century establishments in Wisconsin
Shigeharu Ueki	1954 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Shonan Bellmare players
Takamichi Seki	1981 births, Living people, Footballers from Chiba Prefecture
Rochester Rhinos	American soccer teams, Rochester, New York, 1996 establishments in New York (state)
Montreal Impact F.C.	American soccer teams, Canadian soccer teams, 1992 establishments in Canada, 2011 disestablishments in Canada
Charleston Battery	American soccer teams, Charleston, South Carolina, 1993 establishments in the United States
Minnesota Thunder	American soccer teams, 1990 establishments in the United States
Seattle Sounders (1994)	American soccer teams, 1994 establishments in Washington (state), 2008 disestablishments in the United States
Vancouver Whitecaps FC	2000s establishments in Canada, 2009 establishments, Canadian soccer teams, Major League Soccer teams, Sport in Vancouver
Koji Homma	1977 births, Living people, Footballers from Ibaraki Prefecture
Kosuke Suda	1980 births, Living people, Footballers from Ibaraki Prefecture
Yuji Tsukada	1957 births, Living people, Footballers from Yamanashi Prefecture
Enzo Francescoli	1961 births, Living people, Uruguayan footballers, Sportspeople from Montevideo
Yohei Nishibe	1980 births, Living people, Footballers from Hyōgo Prefecture
Naoya Umeda	1978 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima
Women's voting rights in the United States	History of the United States, Women's suffrage
Minot, North Dakota	Cities in North Dakota, County seats in North Dakota
Ed Schafer	1947 births, Living people, Governors of North Dakota, United States Secretaries of Agriculture, US Republican Party politicians
Azua, Dominican Republic	Settlements in Dominican Republic, 1504 establishments in the Spanish Empire
Imogen Heap	1977 births, Living people, English singer-songwriters, Singers from London
John Stockton	1962 births, Living people, American basketball players, Utah Jazz players, Sportspeople from Washington, National Basketball Association players with retired numbers
Tropical Storm Ana (2009)	2009 Atlantic hurricane season, Atlantic tropical storms, August events, 2000s in Puerto Rico, 2000s in the Dominican Republic, 2000s in Haiti, 2000s in Cuba, 2000s in the Bahamas
Whelk	Gastropods
Luke Young	1979 births, Living people, English footballers, Sportspeople from Essex
Al-Sadd S.C.	Qatari football clubs
Ueslei	1972 births, Living people, Brazilian footballers, People from Salvador, Bahia
Taku Harada	1982 births, Living people, Footballers from Kumamoto Prefecture
Yusuke Igawa	1982 births, Living people, Footballers from Chiba Prefecture
Daisuke Tonoike	1975 births, Living people, Footballers from Kanagawa Prefecture
Kenji Hada	1981 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima
Shōhei Ogura	1985 births, Living people, Footballers from Chiba Prefecture
Consecration	Sacraments, Roman Catholicism
Ginza Station	Railway stations in Tokyo
Ōtemachi Station (Tokyo)	Railway stations in Tokyo
Kokkai-gijidō-mae Station	Railway stations in Tokyo
Roppongi Station	Railway stations in Tokyo
Hurricane Stan	Category 1 Atlantic hurricanes, 2005 Atlantic hurricane season
Rachel Bilson	1981 births, Living people, American television actors, Actors from Los Angeles, California
Johnny Chan	Living people, 1957 births, Poker players, Guangzhou
Naf River	Rivers of Myanmar, Rivers of Bangladesh
Suppressor	Firearms, Sound
