Taman Negara	Geography of Malaysia, National parks in Asia
Stanley Schumacher	1933 births, 2020 deaths, Canadian lawyers, Politicians from Alberta
Raimundo Garcia	1936 births, 2020 deaths, Chess players, Sportspeople from Buenos Aires
Oscar Panno	1935 births, Living people, Chess grandmasters, Sportspeople from Buenos Aires
Ab Krook	Deaths from cerebral infarction, Dutch sportspeople, 1944 births, 2020 deaths
William Keir Carr	1923 births, 2020 deaths, Canadian military people, Canadian military personnel of World War II, People from Newfoundland and Labrador
Lance Carson	1945 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, State legislators of the United States, Politicians from South Dakota, US Republican Party politicians
James Jungius	1923 births, 2020 deaths, British military people
Carlos Mesa	1953 births, Living people, Presidents of Bolivia, Vice Presidents of Bolivia, Journalists
Jorge Quiroga	1960 births, Living people, Presidents of Bolivia, Vice Presidents of Bolivia
Eduardo Rodríguez Veltzé	Presidents of Bolivia, 1956 births, Living people
Danil Khalimov	1978 births, 2020 deaths, Deaths from the COVID-19 pandemic, Wrestlers, Olympians, Kazakhstani sportspeople
Mauricio Mata	1939 births, 2020 deaths, Mexican sportspeople, Cyclists, Olympians
Warren Mitchell (basketball)	1933 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Deaths from dementia, College basketball coaches, American basketball players, Sportspeople from Virginia
SYRIZA	Political parties in Greece
Midlothian, Virginia	Unincorporated communities in the United States
Murder of Samuel Paty	2020 crimes in Europe, 2020s in France, 2020s murders in Europe, Île-de-France, Islamic terrorist incidents in France, Murder in 2020, Murder in France, October 2020 events, Terrorist incidents in 2020
Johnny Bush	1935 births, 2020 deaths, Deaths from pneumonia, American singer-songwriters, American country singers, American country guitarists, Musicians from San Antonio, Texas, Singers from San Antonio, Texas, Writers from San Antonio, Texas, Musicians from Houston, Texas, Writers from Houston, Texas, Singers from Houston, Texas, American drummers
Anthony Chisholm	1943 births, 2020 deaths, American movie actors, American television actors, American stage actors, Actors from Cleveland, Ohio, Actors from New Jersey
Odore Joseph Gendron	1921 births, 2020 deaths, American Roman Catholics, Roman Catholic bishops, People from Manchester, New Hampshire
Gordon Haskell	1946 births, 2020 deaths, English rock singers, English rock guitarists, English singer-songwriters, Musicians from Dorset, Writers from Dorset
Joaquín Pardo	1946 births, 2020 deaths, Olympians, Colombian footballers
Andrzej Pogorzelski	1938 births, 2020 deaths, Polish sportspeople
Abdul Aziz Shamsuddin	1938 births, 2020 deaths, Malaysian politicians
Palestinian Legislative Council	Palestine
Frederick Azzopardi	1949 births, 2020 deaths, Maltese politicians
Aurora Chamorro	1954 births, 2020 deaths, Spanish swimmers, Spanish Olympians
Lucien De Brauwere	1951 births, 2020 deaths, Belgian cyclists, Belgian Olympians, People from East Flanders
Yusop Jikiri	Filipino politicians, 1954 births, 2020 deaths
Toshinori Kondo	1948 births, 2020 deaths, Japanese musicians, Trumpeters, Jazz musicians
Peter Brötzmann	1941 births, Living people, German musicians, Jazz musicians, Saxophonists, Clarinetists, Bandleaders
Takna Jigme Sangpo	1926 births, 2020 deaths, Tibetan people
Michael Strauss	1934 births, 2020 deaths, German businesspeople, Israeli businesspeople, Naturalized citizens of Israel
Matt Drudge	American journalists, American Internet celebrities, American political commentators, 1966 births, Living people, American political writers, American political activists, Writers from Maryland
John Archibald Wheeler	1911 births, 2008 deaths, Deaths from pneumonia, American physicists, American inventors, Scientists from Jacksonville, Florida
Hightstown, New Jersey	Boroughs in New Jersey
John P. Wheeler III	1944 births, 2010 deaths, Unexplained deaths, American murder victims, American military personnel of the Vietnam War, American political commentators, Businesspeople from Texas, Businesspeople from Delaware, People from Laredo, Texas
Michael Wynne	1944 births, Living people, United States Secretaries of the Air Force, American military people, Politicians from Florida, Businesspeople from Florida, US Republican Party politicians
Jeffrey Toobin	1960 births, Living people, American lawyers, American novelists, American political writers, American political commentators, Businesspeople from New York City, Writers from New York City
The Killers Are Our Guests	1974 crime movies, 1974 thriller movies, Italian thriller movies
Serpent of the Nile	1953 movies, 1950s adventure movies, American adventure movies, Movies directed by William Castle
David Bale	1941 births, 2003 deaths, Animal rights activists, Cancer deaths in California, Deaths from lymphoma, English businesspeople
Zee Thirai	Tamil-language television, Indian television, 2020 establishments
Winter Light	1963 drama movies, Swedish movies, Movies directed by Ingmar Bergman
Tomás Herrera Martínez	1950 births, 2020 deaths, Olympians, Cuban sportspeople, Basketball players
Fannie Mae	1938 establishments in the United States
Stanisław Kogut	1953 births, 2020 deaths, Polish politicians, Deaths from the COVID-19 pandemic in Poland
Beki İkala Erikli	2016 deaths, People from Istanbul, 1968 births, Turkish writers
Gamut	Color model
Prime Minister of Bhutan	Prime Ministers of Bhutan
Carbon–hydrogen bond	Organic chemistry, Chemical bonding
Alevism	Islamic denominations
Ilana Rovina	1934 births, 2020 deaths, Deaths from the COVID-19 pandemic in Israel, Israeli movie actors, Israeli singers, Jewish Israeli actors, Jewish Israeli musicians, People from Jerusalem
David Kushnir	1931 births, 2020 deaths, Israeli sportspeople, Long jumpers, Olympians
Joseph Mar Thoma	1931 births, 2020 deaths, Deaths from pancreatic cancer, Indian people
Naâma (singer)	1934 births, 2020 deaths, Tunisian singers, People from Tunis
José Padilla (DJ)	1955 births, 2020 deaths, Deaths from colorectal cancer, Spanish musicians, Record producers, DJs
Arvin Reingold	1930 births, 2020 deaths, State legislators of the United States, Politicians from Tennessee, People from Chattanooga, Tennessee, Politicians from New York City, US Democratic Party politicians
Gérard Sulon	1938 births, 2020 deaths, Belgian footballers
Saeb Erekat	1955 births, 2020 deaths, Deaths from the COVID-19 pandemic in Israel, Palestinian politicians, Palestinian nationalists
Hiroh Kikai	1945 births, 2020 deaths, Japanese photographers, Deaths from lymphoma
Enzo Mari	1932 births, 2020 deaths, Deaths from the COVID-19 pandemic in Italy, Italian artists, Designers, Italian educators, People from Novara
Joan Mesquida	1962 births, 2020 deaths, Cancer deaths in Spain, Spanish politicians
Jill Paton Walsh	1937 births, 2020 deaths, English novelists, English children's writers, Writers from London
Iqbal F. Qadir	Year of birth missing, 2020 deaths, Pakistani politicians, Military people, Ambassadors
Aribinda	Burkina Faso
2020 Thai protests	February 2020 events, July 2020 events, August 2020 events, September 2020 events, October 2020 events, 21st century in Thailand, 2020 protests in Asia, November 2020 events, December 2020 events
Maurice Houdayer	1931 births, 2020 deaths, French Olympians, Rowers
Jana Andresíková	1941 births, 2020 deaths, Deaths from the COVID-19 pandemic in the Czech Republic, Czech movie actors, Czech television actors, Czech stage actors
Luigi Franza	1939 births, 2020 deaths, Italian politicians, Italian lawyers
Theodosius (Lazor)	1933 births, 2020 deaths, Deaths from stroke, People from Pennsylvania
Canonsburg, Pennsylvania	Boroughs in Pennsylvania
Bruno Martini	1962 births, 2020 deaths, French footballers, Deaths from cardiac arrest, Deaths from heart failure
Challuy	Communes in Nièvre
Paul Murphy (Massachusetts politician)	1932 births, 2020 deaths, State legislators of the United States, American judges, Politicians from Massachusetts, US Democratic Party politicians
Mangalya Dosham	Tamil-language television series, Indian television series
Paul Murphy (Australian journalist)	1940 births, 2020 deaths, Australian journalists, Australian television presenters, Television news anchors, Cancer deaths in Australia
Irina Skobtseva	1927 births, 2020 deaths, Soviet movie actors, Soviet television actors, Russian movie actors, Russian television actors, Russian stage actors
Gran Torino	2008 drama movies, American drama movies, Movies directed by Clint Eastwood
Johann Arfvedson	1792 births, 1841 deaths, Swedish scientists, Chemists
Million Dollar Baby	2004 drama movies, 2000s sports drama movies, Academy Award winning movies, Movies directed by Clint Eastwood, American sports drama movies, Movies based on books
Sergei Bondarchuk	1920 births, 1994 deaths, Deaths from myocardial infarction, Soviet movie actors, Soviet writers, Russian movie actors, Russian stage actors, Russian screenwriters, Russian movie directors
The Devil All the Time (movie)	2020 movies, 2020s thriller movies, Netflix movies, American psychological movies, American thriller movies, Movies based on books
Donald Ray Pollock	1954 births, Living people, American novelists, Writers from Ohio
Greta Gerwig	1983 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Sacramento, California, Writers from Sacramento, California, Screenwriters from California, Movie directors from California, Movie producers from California
Noah Baumbach	Satellite Award winners, 1969 births, Living people, Movie directors from New York City, Movie producers from New York City, Screenwriters from New York City
William Kunstler	1919 births, 1995 deaths, Deaths from heart failure, American lawyers, American civil rights activists, Writers from New York City, Businesspeople from New York City
St. Johns, Michigan	Cities in Michigan, County seats in Michigan
Monee, Illinois	Villages in Illinois
Christian Gmelin	1792 births, 1860 deaths, German chemists
Gold digger	Slang, Prostitution
Tin foil	Metals
EDF	1940s establishments in France, 1946 establishments in Europe, Companies of France, Electric power companies
Foil (metal)	Metals
Aluminium foil	Aluminium, Food utensils, Metals
Geometry Dash	2013 video games, IOS games, Android (operating system) games, Windows games, MacOS games, Platform games
