Hammered dulcimer	Early musical instruments
2017 FIFA U-20 World Cup Final	FIFA U-20 World Cup, 2017 in association football, 2017 in Asia, 2010s in South Korea, Football in South Korea, June 2017 events
Azerbaijan National Conservatory Music College	Music schools, Buildings and structures in Baku, Azerbaijani culture, 1916 establishments
2013 FIFA U-20 World Cup	FIFA U-20 World Cup, 2013 in association football, 2010s in Turkey, 2013 in Asia, 2013 in Europe, Football in Turkey, June 2013 events, July 2013 events
Junior Eurovision Song Contest 2017	2017 in Europe, 2017 in music, Junior Eurovision Song Contest
2011 FIFA U-20 World Cup	FIFA U-20 World Cup, 2011 in association football, Football in Colombia, July 2011 events, August 2011 events, 2010s in South America
Myron Floren	1919 births, 2013 deaths
2009 FIFA U-20 World Cup	FIFA U-20 World Cup, 2009 in association football, 21st century in Egypt, 2000s in Africa, Sport in Egypt, September 2009 events, October 2009 events
Phaethontiformes	Seabirds
Underdogs (2013 Argentine movie)	2013 comedy movies, 2010s adventure movies, Argentine movies, Spanish movies, British adventure movies, British comedy movies, French comedy movies, American adventure movies, American comedy movies, Movies directed by Juan José Campanella
Dendropsophus mapinguari	Frogs, Animals of South America
The Red Violin	1998 drama movies, Canadian drama movies, Italian drama movies, American drama movies, British drama movies, Austrian movies, Movies directed by François Girard
Tetete's tree frog	Frogs, Animals of South America
P-pop Idol	P-pop
Thirst (1961 movie)	1961 drama movies, Romanian movies, Movies directed by Mircea Drăgan, Movies directed by Mihai Iacob
Love In, Love Out	Books
Ahmad al-Khatib	Syrian politicians
Nureddin al-Atassi	1929 births, 1992 deaths, Presidents of Syria, Prime Ministers of Syria
Duncan Pegg	1980 births, 2021 deaths, Australian Labor Party politicians, Cancer deaths in Queensland, Politicians from Queensland
I Always Wanted to Be a Saint	2003 drama movies, Luxembourgian movies, Belgian movies
Live It Up (Tulisa song)	2012 songs, Tulisa songs, Hip hop songs, Dancehall songs, R&B songs
Invasion (2014 movie)	2014 movies, Documentary movies, Panamanian movies, Argentine movies
Afro-Spaniards	African people, Spanish people, Ethnic groups in Europe
Mascogos	African-American people, Immigration, Mexican people
Afro-Germans	African people, German people, Ethnic groups in Europe
Black Indians in the United States	African-American people
Creoles of Color	Ethnic groups in the United States, African-American people
Black Seminoles	Ethnic groups in the United States, African-American people, Native American
International Times	1966 establishments in the United Kingdom, English-language newspapers
Kbye	2021 songs, Alamat (band)
BNK48	2017 establishments in Asia, Girl groups
Himesh Reshammiya	Indian singers, Indian composers
Oksana Voevodina	1992 births, Living people, Russian models
Deep Water (2004 video game)	PlayStation 2 games, PlayStation 2-only games, 2004 video games, 2005 video games, Action video games
Antz World Sportz	2001 video games, Game Boy Color games, Game Boy Color-only games, Sports video games, Simulator video games
Antz Racing	2001 video games, Game Boy Color games, Game Boy Color-only games, Racing video games, Electronic Arts video games
Murder of Shauna Howe	1992 deaths, 1981 births, Murder in 1992
SN 1006	Supernovae
The Jet Age of Tomorrow	African-American musical groups, Musical groups established in 2008
Gundi Busch	1935 births, 2021 deaths, German Olympians, Figure skaters, Sportspeople from Milan
Paula Sémer	1925 births, 2021 deaths, Belgian movie actors, Belgian politicians, People from Antwerp
Ernie Lively	1947 births, 2021 deaths, Deaths from heart failure, American educators, American movie actors, American television actors, American stage actors, Actors from Baltimore, Maryland
Verín	Towns in Spain, Municipalities in Galicia
Addo Bonetti	1926 births, 2021 deaths, State legislators of the United States, Politicians from Connecticut, US Democratic Party politicians
James B. Brennan	1926 births, 2021 deaths, State legislators of the United States, American lawyers, Politicians from Milwaukee, Wisconsin, US Democratic Party politicians
Gérard Vergnaud	1933 births, 2021 deaths, French mathematicians, French philosophers, French educators, Psychologists
Saint-Jean-de-Sixt	Communes in Haute-Savoie
Vera Zelinskaya	1944 births, 2021 deaths, Designers, People from Saint Petersburg
Villaroger	Communes in Savoie
Ben Roberts (actor)	Welsh television actors, 1950 births, 2021 deaths
Édith Moskovic	Holocaust survivors, 1931 births, 2021 deaths, Activists
Landry, Savoie	Communes in Savoie
Peisey-Nancroix	Communes in Savoie
Dale Danks	1939 births, 2021 deaths, Deaths from stroke, American lawyers, American mayors, US Democratic Party politicians, US Republican Party politicians, Politicians from Mississippi, Businesspeople from Mississippi, People from Jackson, Mississippi
Robert Katzmann	1953 births, 2021 deaths, American judges, American lawyers, Deaths from pancreatic cancer, Politicians from New York City, US Democratic Party politicians
Diogo Correa de Oliveira	1983 births, 2021 deaths, Brazilian footballers, Road accident deaths
Valentina Sidorova	1954 births, 2021 deaths, Soviet Olympic gold medalists, Soviet Olympic silver medalists, Fencers, Sportspeople from Moscow
Geoffrey Edelsten	1943 births, 2021 deaths, Australian businesspeople, People from Melbourne
Douglas Cagas	1944 births, 2021 deaths, Filipino politicians, Deaths from the COVID-19 pandemic in the Philippines
Digos	Cities in the Philippines
Buddhadeb Dasgupta	1944 births, 2021 deaths, Deaths from kidney disease, Indian movie directors, Indian movie producers, Indian screenwriters, Indian poets, People from Kolkata
Neno (footballer)	1962 births, 2021 deaths, Portuguese footballers, Association football goalkeepers
Haico Scharn	1945 births, 2021 deaths, Competitors in athletics, Dutch Olympians, Sportspeople from North Brabant
Dingko Singh	1979 births, 2021 deaths, Deaths from liver cancer, Indian sportspeople, Olympians, Boxers
Larisa Shoygu	1953 births, 2021 deaths, Russian politicians, Deaths from stroke, Deaths from the COVID-19 pandemic in Russia
Sanyika Shakur	1963 births, 2021 deaths, Gangsters, American people convicted of attempted murder, Criminals from California, American autobiographers, Writers from Los Angeles, California
Paola Pigni	1945 births, 2021 deaths, Italian Olympians, Olympic bronze medalists, Italian athletes, Sportspeople from Milan
Lucinda Riley	1965 births, 2021 deaths, British movie actors, British writers, British television actors, People from County Down, Cancer deaths in the United Kingdom
Lisburn	Cities in Northern Ireland, County Down, Settlements in County Antrim
2020–21 North American drought	Droughts, 2020 in the United States, 2021 in the United States
Patrick McGoohan	1928 births, 2009 deaths, Emmy Award winning actors, BAFTA Award winning actors, British movie actors, British television actors, British stage actors, Irish movie actors, Irish television actors, Irish stage actors, American movie actors, American television actors, American stage actors, Actors from New York City, Writers from New York City, Movie directors from New York City, Movie producers from New York City
David Heyman	1961 births, Living people, Movie producers from London
Warwick Davis	1970 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, English television presenters, English comedians, Actors from Surrey
David Yates	1963 births, Living people, English movie directors, English movie producers, Writers from Lancashire, English screenwriters
Bini (group)	2021 establishments, Girl groups
Darnella Frazier	Living people, People from Saint Paul, Minnesota, Pulitzer Prize winners
Douglas Ley	1958 births, 2021 deaths, Deaths from esophageal cancer, State legislators of the United States, American academics, Politicians from New Hampshire, US Democratic Party politicians, Writers from New Hampshire
Jaffrey, New Hampshire	Towns in New Hampshire
Risuke Otake	1926 births, 2021 deaths, Japanese martial artists, Japanese writers
Martin D. Ginsburg	1932 births, 2010 deaths, American academics, American lawyers, Businesspeople from Washington, D.C., Writers from Washington, D.C., Cancer deaths in Washington, D.C., Businesspeople from New York City, Writers from New York City
Rambo III	1988 action movies, Rambo movies, Movies set in Afghanistan, Movies directed by Peter MacDonald
Bonneval-sur-Arc	Communes in Savoie
Bourg-Saint-Maurice	Communes in Savoie
Novel, Haute-Savoie	Communes in Haute-Savoie
Miannay	Communes in Somme
The Man Who Loved Women (1977 movie)	1977 drama movies, 1970s romantic drama movies, French romance movies, French drama movies, Movie remakes, Movies directed by François Truffaut
Dubno	Cities in Ukraine
Kremenchuk	Cities in Ukraine
Sloviansk	Cities in Ukraine
Derailment	Railway accidents
Boana ventrimaculata	Frogs, Animals of South America
Da Coconut Nut	2020 songs
Paddington tube station (Bakerloo, Circle and District lines)	Rail transport stations in London fare zone 1, Bakerloo Line stations, Circle Line stations, District Line stations, Tube stations in the City of Westminster, Railway stations opened in 1868, 1868 establishments in the United Kingdom
Brave Girls	Girl groups, 2011 establishments, K-pop music groups
Viva Music Entertainment	1982 establishments in Asia, Record labels, Philippines
Choi Hyun-suk	Korean singers, 1999 births, Living people
Seyfert's Sextet	Galaxies
NGC 6027	Lenticular galaxies
CP Lee	Academics of the University of Salford, People from Manchester, 1953 births, 2020 deaths
SM Shafiuddin Ahmed	Living people, 1963 births
The Hunchback of Notre Dame (video game)	1996 video games, Windows games, Video games based on movies, Action video games, Game Boy games, The Hunchback of Notre Dame (Disney), Party video games
Sight of You	2012 songs, Tulisa songs, Hip hop soul songs, R&B songs
Baby Boom (movie)	1987 romance movies, 1987 comedy movies, 1980s romantic comedy movies, American romantic comedy movies, Movies set in Manhattan, Movies set in Vermont, Movies directed by Charles Shyer
2026	2020s, Years in the future
Turaco	Birds
Our God's Brother	1997 drama movies, 1990s biographical movies, Polish movies, Italian drama movies, German drama movies, Movies based on plays, Movies directed by Krzysztof Zanussi
Bucerotiformes	Birds by order
River (MNL48 EP)	MNL48, 2020 songs
Millencourt	Communes in Somme
Millencourt-en-Ponthieu	Communes in Somme
Mirvaux	Communes in Somme
The Time That Remains	2009 comedy movies, 2009 drama movies, 2000s black comedy movies, British comedy movies, British drama movies, Italian comedy movies, Italian drama movies, Belgian movies, French comedy movies, French drama movies, Palestinian movies, Israeli movies, Movies directed by Elia Suleiman
Gaza mon amour	2020 drama movies, Palestinian movies, French drama movies, German drama movies, Qatari movies, Portuguese movies
Moislains	Communes in Somme
Molliens-au-Bois	Communes in Somme
Molliens-Dreuil	Communes in Somme
Monchy-Lagache	Communes in Somme
Gaillard	Communes in Haute-Savoie
Annemasse	Communes in Haute-Savoie
Ambilly	Communes in Haute-Savoie
Bonne, Haute-Savoie	Communes in Haute-Savoie
Aisey-sur-Seine	Communes in Côte-d'Or
Elia Suleiman	1960 births, Living people, Eastern Orthodox Christians, Israeli movie actors, Israeli movie directors, Israeli movie producers, Israeli screenwriters, Israeli-Palestinian people, Movies directed by Elia Suleiman, People from Nazareth
Boana stellae	Frogs, Animals of South America
Nova Friburgo	Cities in Rio de Janeiro (state)
Need to Know	2021 songs, Doja Cat songs
Planet Her	2021 albums, Doja Cat albums, Hip hop albums, Trap albums, R&B albums
Quetzaltenango	Cities in Central America, Settlements in Guatemala
La Llorona (2019 movie)	2019 horror movies, 2019 drama movies, 2010s horror thriller movies, 2010s drama thriller movies, Guatemalan movies, French horror movies, French thriller movies, French drama movies, Movies directed by Jayro Bustamante
