List of regions of Canada	Canada-related lists, Regions of Canada
Dietmar Schönherr	1926 births, 2014 deaths, Austrian movie actors, Austrian movie directors, Austrian stage actors, Austrian television actors, Austrian voice actors, Austrian writers, Disease-related deaths in Spain, Pop singers, Radio personalities, Television presenters, Translators
AIK Bandy	1905 establishments in Europe, Bandy clubs in Sweden, 1900s establishments in Sweden
Hammarby IF BF	1905 establishments in Europe, Bandy clubs in Sweden, 1900s establishments in Sweden
Villa Lidköping BK	1934 establishments in Sweden, Bandy clubs in Sweden
Anders Jacobsson and Sören Olsson	Swedish children's writers
Willem Witteveen	1952 births, 2014 deaths, Aviation deaths, Dutch academics, Dutch esotericists, Dutch jurists, Labour Party (Netherlands) politicians, Malaysia Airlines Flight 17, Members of the Senate of the Netherlands, Murder victims, Politicians from Rotterdam, Sufis, Writers from Rotterdam
João Ubaldo Ribeiro	1941 births, 2014 deaths, Columnists, Deaths from pulmonary embolism, Brazilian novelists
African Charter on Human and Peoples' Rights	Human rights, International law, 20th century treaties, Politics of Africa, 1981, History of the United Nations
Deputy Leader of the Liberal Democrats (UK)	Leaders of the Liberal Democrats (UK), Liberal Democrats MPs (UK)
Otto Piene	1928 births, 2014 deaths, German artists
Korean Air Lines Flight 007	1983 in Asia, Aviation disasters in the 1980s, Cold War, Disasters in the Soviet Union, Presidency of Ronald Reagan
Kalix BF	Bandy clubs in Sweden, 1990 establishments in Sweden
Tuva-Lisa Johansson	Children's literature
Emanuel Hjort	Young adult novels
A Prairie Home Companion (movie)	2006 comedy movies, American comedy movies, Movies directed by Robert Altman
Christina Lake (British Columbia)	Geography of British Columbia, Lakes of Canada
Canada women's national soccer team	Canadian soccer teams, Women's national football teams
National Lacrosse League	National Lacrosse League
Toronto Rock	Sport in Toronto, National Lacrosse League, 1998 establishments in Canada
Liam Davison	1957 births, 2014 deaths, Australian novelists, Aviation deaths, Malaysia Airlines Flight 17, Murder victims, People from Melbourne, Writers from Victoria (Australia)
Henry Hartsfield	1933 births, 2014 deaths, American astronauts, Deaths from surgical complications, NASA, Scientists from Birmingham, Alabama, United States Air Force
Shigeru Ban	1957 births, Living people, Japanese architects, Pritzker Prize winners, People from Tokyo
Richard Meier	1934 births, Living people, American architects, American artists, Businesspeople from Newark, New Jersey, Pritzker Prize winners
Sequoyah	Native American people, Cherokee Nation, 18th century births, 1843 deaths
Calgary Roughnecks	Sport in Calgary, National Lacrosse League, 2001 establishments in Canada
Winnipeg Blue Bombers	Canadian football clubs, Sport in Manitoba, 1930 establishments, 1930s establishments in Canada
Montreal Alouettes	Canadian football, Sport in Montreal
Tom Rolf	1931 births, 2014 deaths, Academy Award winners, American movie editors, BAFTA Award winners, Deaths from surgical complications, People from Stockholm
Graeme McMahon	1940 births, 2014 deaths, Australian businesspeople, Australian rules footballers, Cancer deaths in Australia, Deaths from pancreatic cancer, Sportspeople from Melbourne
Leopoldo Verona	1931 births, 2014 deaths, Disease-related deaths in Argentina, Argentine movie actors, People from Buenos Aires, Argentine stage actors, Argentine television actors
Rogelio Polesello	1939 births, 2014 deaths, Deaths from myocardial infarction, Disease-related deaths in Argentina, Painters, People from Buenos Aires, Sculptors
Elinor Wylie	American novelists, American poets, Deaths from Bright's disease, Disease-related deaths in the United States, Writers from New Jersey, 1885 births, 1928 deaths
Op art	Art movements
Manfred Wekwerth	1929 births, 2014 deaths, Disease-related deaths in Germany, German autobiographers, German movie directors, People from Saxony-Anhalt, German theatre directors
Dog attack	Everyday life
Maria Cristina National High School	Education in the Philippines
Mickey's Diner	1939 establishments in the United States, Art Deco buildings, Buildings and structures in Minnesota, National Register of Historic Places, 20th-century establishments in Minnesota
Lionel Ferbos	1911 births, 2014 deaths, American jazz musicians, American centenarians, Musicians from New Orleans, Louisiana
Aldo Rossi	1931 births, 1997 deaths, Accidental deaths in Italy, Italian architects, People from Milan, Pritzker Prize winners, Road accident deaths
Ruth Gruber	1911 births, 2016 deaths, American journalists, American centenarians, American photographers, Civil servants, Writers from New York City
Azuqueca de Henares	Municipalities in Castile-La Mancha
Amelia Boynton Robinson	1911 births, 2015 deaths, American activists, American centenarians, Cardiovascular disease deaths in the United States, Deaths from stroke
John Calvert (magician)	1911 births, 2013 deaths, American magicians, American centenarians, Entertainers from Indiana
Malaysia Airlines	Airlines of Asia, Transport in Malaysia, 1946 establishments in Asia, 20th century establishments in Malaysia
Ebby Halliday	1911 births, 2015 deaths, American centenarians, Businesspeople from Texas
Kuala Lumpur International Airport	Airports in Asia, Transport in Malaysia
AirAsia	Airlines of Asia, Low-cost airlines, Transport in Malaysia, 1996 establishments in Asia, 20th century establishments in Malaysia
Garuda Indonesia	1947 establishments in Asia, Airlines of Asia, Transport in Indonesia
Juan Carlos Varela	1963 births, Living people, Presidents of Panama, People from Panama City
Soekarno–Hatta International Airport	Airports in Asia, Java, 1985 establishments in Asia, 1980s establishments in Indonesia, Buildings and structures in Indonesia, Transport in Indonesia
Tangerang	Cities in Indonesia, Banten
Beijing Capital International Airport	Airports in Asia, Buildings and structures in Beijing
Air China	Airlines of Asia, Transport in the People's Republic of China, Star Alliance, Companies based in Beijing, IATA members
Bueninvento	2000 albums, Julieta Venegas albums
Azerbaijan Airlines	Airlines of Asia, Airlines of Europe, Transport in Azerbaijan, 1992 establishments in Azerbaijan
Marlon Wayans	1972 births, Living people, Actors from New York City, African-American movie actors, African-American screenwriters, African-American television actors, African-American voice actors, Comedians from New York City, Movie producers from New York City, Movie directors from New York City, Screenwriters from New York City, Wayans family
Andries Putter	1935 births, 2014 deaths, Afrikaner people, Deaths from renal failure, Disease-related deaths in South Africa, South African military people, White South African people
Shuba Jay	1976 births, 2014 deaths, Aviation deaths, Malaysian businesspeople, Malaysia Airlines Flight 17, Malaysian actors, Movie actors, Murder victims, Stage actors, Television actors
Paul M. Fleiss	1933 births, 2014 deaths, American physicians, Deaths from respiratory failure, Disease-related deaths in the United States, Jewish American scientists, Scientists from Detroit, Michigan
Hans Funck	1953 births, 2014 deaths, Deaths from asthma, Disease-related deaths in Bavaria, German filmmakers, Movie editors, People from Munich
Yehuda Nir	1930 births, 2014 deaths, Holocaust survivors, Jewish American scientists, Naturalized citizens of the United States, Polish Jews, American psychiatrists
Pim de Kuijer	1981 births, 2014 deaths, Aviation deaths, Dutch columnists, Dutch lobbyists, Dutch writers, HIV/AIDS, Malaysia Airlines Flight 17, Medical researchers, Murder victims
Vilma Ferrán	1940 births, 2014 deaths, Argentine movie actors, Argentine television actors, Actors from Buenos Aires
Roberto Carnaghi	1938 births, Living people, Argentine actors, Argentine comedians, People from Buenos Aires
Skye McCole Bartusiak	1992 births, 2014 deaths, Deaths from epilepsy, Actors from Houston, Texas, American child actors, American movie actors, American television actors, Models from Houston, Texas, Movie directors from Texas, Movie producers from Texas
Aldo Vannucchi	1928 births, Living people, Brazilian educators, People from São Paulo
Andreas Biermann	1980 births, 2014 deaths, German footballers, Sportspeople from Berlin, Sportspeople who committed suicide, Suicides in Germany
Leave a Mark	1998 albums, John Michael Montgomery albums
Wavefunction collapse	Quantum mechanics
Gulf of Naples	Geography of Italy
Null vector	Linear algebra, Vectors
The Maritimes	Regions of Canada
Qikiqtaaluk Region	Nunavut
Ellesmere Island Volcanics	Volcanoes of Canada
Elizabeth, New Jersey	Cities in New Jersey, County seats in New Jersey, 19th-century establishments in New Jersey, 1855 establishments in the United States
Battle of Spotsylvania Court House	American Civil War battles, 1864 in the United States, May 1864 events
Stonewall Brigade	Confederate States of America
NGC 2207 and IC 2163	Spiral galaxies
Battle of Yellow Tavern	American Civil War battles, May 1864 events, 1864 in Virginia
Baron Waqa	1959 births, Living people, Nauru, Oceanic politicians, Presidents (government)
Cabinet of Canada	Government of Canada
List of political parties in Canada	Lists of political parties in Canada, Canada-related lists
List of federal political parties in Canada	Lists of political parties in Canada
Senate of Canada	Parliament of Canada, National upper houses
Stay (Rihanna song)	2013 songs, 2010s ballads, Pop ballads, Rhythm and blues ballads, Rihanna songs
Elektra Records	American record labels, 1950 establishments in the United States
Martin Heinrich	1971 births, Living people, American Lutherans, Politicians from Nevada, United States representatives from New Mexico, United States senators from New Mexico, US Democratic Party politicians
Tom Udall	1948 births, Living people, Alumni of the University of Cambridge, American Latter Day Saints, American lawyers, Politicians from Arizona, United States representatives from New Mexico, United States senators from New Mexico, US Democratic Party politicians
