Step Up All In	2010s romantic drama movies, American romantic drama movies, 2014 movies
Fitzroy River (Queensland)	Rivers of Queensland
Gilbert du Motier, Marquis de Lafayette	1757 births, 1834 deaths, French politicians, Noblemen from France
Portuguese Football Federation	Football in Portugal, 1914 establishments in Europe, Lisbon, Sports organizations, 20th century establishments in Portugal
Fitzroy River (Western Australia)	Rivers of Western Australia
IPad Air 2	IPad
Pathiyanadu Sree Bhadrakali Temple	Hindu temples, Kerala, Buildings and structures in India
CompactFlash	Storage devices
Misty Upham	1982 births, 2014 deaths, Actors from Montana, Actors from Washington, American movie actors, American stage actors, American television actors, Native American people, Unexplained deaths, People from Kalispell, Montana
Nika Kiladze	1988 births, 2014 deaths, Asian footballers, European footballers, Sportspeople from Georgia (country), Road accident deaths
Doggystyle	1993 albums, Snoop Dogg albums, G-funk albums
Tête de Moine	Swiss cheeses
Tanhum Cohen-Mintz	1939 births, 2014 deaths, Basketball players, Cancer deaths in Israel, Jewish Israeli sportspeople, Latvian Jews, Naturalized citizens of Israel, People from Riga, People from Tel Aviv
Alfstarz	Dansbands, Swedish musical groups
2014 Asian Games	2014 in Asia, 2014 in sports, Asian Games, Incheon, Sport in South Korea
Seppo Kuusela	1934 births, 2014 deaths, Basketball players, Coaches, Sportspeople from Helsinki
China at the 2014 Asian Games	Asian Games, 2014 in sports, Sport in China
Lyudmila Shishova	1940 births, 2004 deaths, Fencers, Medalists at the 1960 Summer Olympics, Medalists at the 1964 Summer Olympics, Soviet Olympic gold medalists, Soviet Olympic silver medalists
Kimani Njogu	1953 births, Living people, Kenyan people
Yvonne Strahovski	1982 births, Living people, Actors from Sydney, Australian movie actors, Australian television actors, Australian voice actors
Tim Hauser	1941 births, 2014 deaths, American jazz musicians, American pop singers, Cardiovascular disease deaths in the United States, Deaths from cardiac arrest, Deaths from pneumonia, People from Troy, New York, Infectious disease deaths in the United States, Singers from New Jersey, Singers from New York
African palm civet	Feliformia, Carnivores, Mammals of Africa
Max & Shred	2010s Canadian television series, 2014 television series debuts, 2010s American television series, 2010s establishments in Canada
Carina Jaarneks orkester	Dansbands, Swedish musical groups
Bradford Forster Square railway station	Bradford, Railway stations in England
Mario Power Tennis	Mario sports games, 2005 video games, Nintendo GameCube games, Wii games
Bradford Interchange	Bradford, Railway stations in England, 1971 establishments in the United Kingdom, 1970s establishments in England
Bammy	Breads, Jamaica
Monia Sjöström	1973 births, Living people, Swedish singers
Patrick Paul D’Souza	1928 births, 2014 deaths, Roman Catholics, Indian religious leaders
Sumi Haru	1939 births, 2014 deaths, American movie actors, American television actors, American stage actors, Actors from New Jersey
Mikhail Marynich	1940 births, 2014 deaths, Belarusian people, Ambassadors
Tom Shaw (bishop)	1945 births, 2014 deaths, Deaths from brain cancer, People from Battle Creek, Michigan
Topic sentence	Sentences
Calamari	Appetizers, Seafood
Fruit salad	Appetizers, Desserts, Fruits, Salads
Francesca Marie Smith	Nickelodeon, Disney, Viacom, American child actors, American voice actors, Living people
Ronald Reagan Speaks Out Against Socialized Medicine	Ronald Reagan, 1961, 1960s albums
Edgar Mitchell	1930 births, 2016 deaths, Deaths from kidney cancer, Cancer deaths in Florida, Apollo astronauts, Scientists from Texas, Parapsychologists
Statue of Liberty National Monument	National Register of Historic Places, National Monuments of the United States, 1924 establishments in the United States
Ontario Highway 402	Roads in Ontario
British Columbia Highway 97	British Columbia, Roads in Canada
Blender (band)	Dansbands, Musical groups established in 2002
Bird sound	Birds
Stephen Collins	1947 births, Living people, American movie actors, American television actors, American voice actors, American television directors, American screenwriters, Writers from Des Moines, Iowa, Musicians from Des Moines, Iowa, Actors from Des Moines, Iowa
Ray Wise	1947 births, Living people, American movie actors, American television actors, American voice actors, Actors from Akron, Ohio
Gero Bisanz	1935 births, 2014 deaths, German football managers, German footballers, Polish people
Edwards Barham	1937 births, 2014 deaths, Aviation deaths, Politicians from Louisiana, US Republican Party politicians
Joanne Borgella	1982 births, 2014 deaths, Deaths from endometrial cancer, Singer-songwriters from New York, Models from New York, Writers from New York
Paul Craft	1938 births, 2014 deaths, American singer-songwriters, Singers from Memphis, Tennessee, Singers from Arkansas, People from Little Rock, Arkansas
Replacement child	Psychology, Names
Bloom filter	Computer science
Watson Lake, Yukon	Settlements in Yukon, Towns in Canada
Ace Bailey	1903 births, 1992 deaths, Canadian ice hockey left wingers, Hockey Hall of Fame inductees, Ice hockey people from Ontario, Toronto Maple Leafs players, Toronto St. Pats players, Stanley Cup champions
Blunt Force Trauma (album)	2011 albums
Milan Hnilička	1973 births, American Hockey League players, Atlanta Thrashers players, Czech ice hockey goaltenders, Living people, Los Angeles Kings players, New York Rangers players, Olympic bronze medalists, Olympic gold medalists, ECHL players, International Hockey League (1945–2001) players
Culgoa River	Rivers of New South Wales
Latin poetry	Poetry, Ancient Rome
Snowy Mountains	Mountain ranges of Australia
Publishing agent	Publishing
Division of O'Connor	Electoral divisions of Australia, Western Australia, 1980 establishments in Australia
Hardback	Book terminology
Pac-Man and the Ghostly Adventures	Animated television series, English-language television programs
Dogg Food	Hip hop albums, 1995 albums
Byzantine architecture	Architectural styles, Byzantine Empire
List of Mario television series	Lists of television series, Mario video games
Thor Görans	2006 disestablishments in Sweden, Dansbands, Musical groups established in 1976, Swedish musical groups
Lynda Bellingham	1948 births, 2014 deaths, Actors from Montreal, Canadian movie actors, Canadian television actors, Cancer deaths in England, Deaths from colorectal cancer, English movie actors, English television actors
Gloria Casarez	1971 births, 2014 deaths, Cancer deaths in Pennsylvania, American activists, Civil servants, Politicians from Philadelphia, Pennsylvania
John Holt (singer)	1945 births, 2014 deaths, Jamaican singers, People from Kingston, Jamaica
Stephen Paulus	1949 births, 2014 deaths, American composers, People from New Jersey
Ox Baker	1934 births, 2014 deaths, Deaths from myocardial infarction, American professional wrestlers, American movie actors, Actors from Missouri
Étienne Mourrut	1939 births, 2014 deaths, French mayors, French politicians, People from Occitanie
Family Guy (season 1)	1999 American television series debuts, Family Guy, American television seasons, 1999 television seasons
Brian Spencer	1949 births, 1988 deaths, Buffalo Sabres players, Canadian ice hockey left wingers, Calgary Centennials players, Deaths by firearm in Florida, Estevan Bruins players, Ice hockey people from British Columbia, Murdered sportspeople, Murders by firearm in the United States, New York Islanders players, People acquitted of murder, Pittsburgh Penguins players, Regina Pats players, Swift Current Broncos players, Toronto Maple Leafs players, Unsolved murders in the United States, American Hockey League players, Binghamton Dusters players
Oscar de la Renta	1932 births, 2014 deaths, Cancer deaths in Connecticut, Dominican Republic people, American fashion designers
Sean Pertwee	1964 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, Actors from London
Efua Dorkenoo	1949 births, 2014 deaths, Deaths from cancer, Ghanaian people, British activists, BBC 100 Women
René Burri	1933 births, 2014 deaths, Disease-related deaths in Switzerland, People from Zürich, Photographers
The Black Keys	Pages created with the Article Wizard from 2014, Musicians from Akron, Ohio, American rock bands, 2001 establishments in the United States
Hedenäset	Settlements in Norrbotten County
Semi-dome	Architectural elements
Thomas Thomas (boxer)	1880 births, 1911 deaths, Boxers
DK King of Swing	2005 video games, Nintendo video games, Donkey Kong, Game Boy Advance games, Game Boy Advance-only games, Virtual Console games, Puzzle video games
Ilford railway station	Ilford, London Borough of Redbridge, Railway stations in London
Robert Tiernan	1929 births, 2014 deaths, American lawyers, People from Providence, Rhode Island, United States representatives from Rhode Island, US Republican Party politicians
Christophe de Margerie	1951 births, 2014 deaths, Adoptees, Aviation deaths, French businesspeople, People from Pays de la Loire
Seth Gaaikema	1939 births, 2014 deaths, Cardiovascular disease deaths in the Netherlands, Deaths from heart failure, Dutch Calvinists, Dutch entertainers, Dutch LGBT people, Dutch television personalities, Dutch writers, Gay men, LGBT Christians, LGBT comedians, LGBT playwrights, People from Groningen (province), Translators
Mohammad-Reza Mahdavi Kani	1931 births, 2014 deaths, Deaths from heart failure, Disease-related deaths in Iran, People from Tehran, Prime Ministers of Iran
Ellsworth Bunker	1894 births, 1984 deaths, Ambassadors of the United States, Businesspeople from New York City, Politicians from New York City
Chita Rivera	Tony Award winning actors, Drama Desk Award winners, Kennedy Center honorees, 1933 births, Living people, American movie actors, American television actors, American stage actors, American dancers, Actors from Washington, D.C., Singers from Washington, D.C.
Naucalpan de Juárez	Municipalities of Mexico (state)
Brothers of the Road	1981 albums
Doug Zmolek	1970 births, American ice hockey players, Chicago Blackhawks players, Dallas Stars players, Living people, Los Angeles Kings players, San Jose Sharks players, Sportspeople from Minnesota, International Hockey League (1945–2001) players, Ice hockey defencemen, People from Rochester, Minnesota
Blair Atcheynum	1969 births, American Hockey League players, Canadian ice hockey right wingers, Chicago Blackhawks players, Ice hockey people from Saskatchewan, First Nations people, Living people, Moose Jaw Warriors players, Nashville Predators players, Ottawa Senators players, Saskatoon Blades players, St. Louis Blues players, Swift Current Broncos players, ECHL players, International Hockey League (1945–2001) players
Allen Lanier	1946 births, 2013 deaths, American rock guitarists, Deaths from COPD, Musicians from New York
Aspergillus flavus	Moulds
Ljungaverk	Settlements in Vasternorrland County
Salus populi suprema lex esto	Missouri, Latin state mottos of the United States
List of bridges in Spain	Spain, Lists of bridges, Spain-related lists
List of lighthouses in Spain	Lists of buildings, Spain-related lists
Alan Hodgkin	1914 births, 1998 deaths, Biophysicists, Neuroscientists, Fellows of the Royal Society, Knights and Dames Commander of the Order of the British Empire, Order of Merit, Presidents of the Royal Society, Physiologists
Mario Super Sluggers	2008 video games, Mario sports games, Wii games, Wii-only games, Video games developed in Japan
Mario & Sonic at the Sochi 2014 Olympic Winter Games	2013 video games, Mario sports games, Wii U games, Sports video games, Party video games
2014 shootings at Parliament Hill, Ottawa	2014 in Canada, Murder in 2014, Murder in Canada, Murders by firearm, October 2014 events, Ottawa, Terrorist incidents in the 2010s
Garland, Texas	Cities in Texas, Settlements in Dallas County, Texas
