Dizzee Rascal	English rap musicians, Grime music artists, Living people, 1984 births
Gervase Markham	1978 births, 2018 deaths, Bloggers, British computer scientists, British engineers, British writers, Deaths from salivary gland cancer, English Protestants, People from Cumbria
Anne Vermeer	1916 births, 2018 deaths, Deaths from respiratory failure, Dutch centenarians, Dutch mayors, Former members of the House of Representatives of the Netherlands, Labour Party (Netherlands) politicians, Members of the Senate of the Netherlands, Politicians from Gelderland
Try Sutrisno	1935 births, Living people, Vice-Presidents of Indonesia
Vice President of Indonesia	Vice-Presidents of Indonesia
Mohammad Hatta	1902 births, 1980 deaths, Vice-Presidents of Indonesia, Prime ministers
Jusuf Kalla	1942 births, Living people, Vice-Presidents of Indonesia
Celeste Rodrigues	1923 births, 2018 deaths, Deaths from stroke, Brazilian singers
Umbayee	1952 births, 2018 deaths, Deaths from stomach cancer, Indian musicians, Composers, People from Kerala
Burleson, Texas	Cities in Texas, Settlements in Tarrant County, Texas
Cleburne, Texas	Cities in Texas, County seats in Texas
Dallas–Fort Worth metroplex	Dallas, Texas, Metropolitan areas of the United States
Louise Tobin	1918 births, Living people, American jazz singers, Singers from Texas
Aubrey, Texas	Cities in Texas
Tate Donovan	1963 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American video game actors, American television directors, Actors from New Jersey
Tenafly, New Jersey	Boroughs in New Jersey
Susan Egan	1970 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American video game actors, American dancers, Actors from Orange County, California, Singers from California, Comedians from California
Seal Beach, California	Cities in California, Settlements in Orange County, California
Coral bleaching	Ecology
Mike Chattey	1952 births, British politicians, Living people
Enrique Verástegui	1950 births, 2018 deaths, Deaths from myocardial infarction, Philosophers, Poets, Physicists, Mathematicians, People from Lima
Prime Minister of Peru	Prime Ministers of Peru
Lubomír Metnar	1967 births, Czech politicians, Police officers, Living people
President of Peru	Presidents of Peru
Alan García	1949 births, 2019 deaths, People from Lima, Presidents of Peru, Suicides by firearm
Ollanta Humala	1962 births, Living people, Presidents of Peru, People from Lima
Javier Valle Riestra	1932 births, Living people, Prime Ministers of Peru, Peruvian lawyers
President of El Salvador	Presidents of El Salvador
Alfredo Cristiani	Living people, 1947 births, Presidents of El Salvador
Antonio Saca	1965 births, Living people, Presidents of El Salvador
Fakir Musafar	1930 births, 2018 deaths, Deaths from lung cancer, Cancer deaths in California, People from Aberdeen, South Dakota, Artists from San Francisco
Herbert King (actor)	1963 births, 2018 deaths, Deaths from myocardial infarction, Colombian entertainers, Colombian movie actors, Colombian television actors
Winston Ntshona	Tony Award winning actors, 1941 births, 2018 deaths, South African actors, South African writers, Playwrights, Stage actors
Kenneth Copeland	1936 births, Living people, American Christians, American conservatives, Republicans (United States), Musicians from Texas, Writers from Texas, People from Lubbock, Texas
Alec Martinez	Los Angeles Kings players, Vegas Golden Knights, 1987 births, American ice hockey players, Living people, Sportspeople from Michigan, People from Rochester Hills, Michigan, American Hockey League players, ECHL players, United States Hockey League players, Ice hockey defencemen
List of Emmerdale characters (2017)	Television characters, Lists of television characters
Greene County, Virginia	19th-century establishments in Virginia, 1838 establishments in the United States, Virginia counties
Greene County, Mississippi	1810s establishments in Mississippi Territory, 1811 establishments in the United States, Mississippi counties
Etowah County, Alabama	Alabama counties, 1866 establishments in Alabama
Fayette County, Alabama	Alabama counties
Franklin County, Alabama	Alabama counties
Geneva County, Alabama	Alabama counties
Hale County, Alabama	Alabama counties
Henry County, Alabama	1819 establishments in Alabama, Alabama counties
Sir Dinadan	Arthurian legend, Fictional knights, Characters in written fiction
LOL (Basshunter album)	2006 albums, Dance albums, Basshunter albums
Ujjainiya	Rajputs
Lakshmi Puja	Hindu festivals, India, Festivals in Asia
Now You're Gone – The Album	2008 albums, Dance albums, Basshunter albums
Bass Generation	2009 albums, Dance albums, Basshunter albums
Calling Time	2013 albums, Dance albums, Basshunter albums
Vladimír Plaček	1965 births, 2018 deaths, Physicians, Czech politicians
Jackson County, Alabama	Alabama counties
Lamar County, Alabama	Alabama counties
Lauderdale County, Alabama	Alabama counties
Lawrence County, Alabama	1818 establishments in Alabama Territory, Alabama counties
Lee County, Alabama	Alabama counties
Limestone County, Alabama	Alabama counties
Marengo County, Alabama	Alabama counties
Macon County, Alabama	Alabama counties
Lowndes County, Alabama	Alabama counties
Hayneville, Alabama	Towns in Alabama, County seats in Alabama
Madison County, Alabama	Alabama counties, 1808 establishments in the United States, 1800s establishments in Mississippi Territory
Marion County, Alabama	1818 establishments in Alabama Territory, Alabama counties
Abdoulaye Idrissa Maïga	1958 births, Prime Ministers of Mali, Living people
Soumeylou Boubèye Maïga	1954 births, Prime Ministers of Mali, Current national leaders, Living people
Tales from the Vienna Woods	German literature
TicketGuardian 500	2000s establishments in Arizona, NASCAR tracks, Monster Energy NASCAR Cup Series races
Bundelkhand	Madhya Pradesh, Uttar Pradesh, Regions of India
The Road to Wigan Pier	1937 books, Wigan, Books by George Orwell
Gary Payton	1968 births, Living people, Boston Celtics players, Milwaukee Bucks players, Miami Heat players, Los Angeles Lakers players, Sportspeople from Oakland, California, Seattle SuperSonics players
Walt Frazier	1945 births, Living people, New York Knicks players, Cleveland Cavaliers players, Sportspeople from Illinois, Sportspeople from Atlanta, Georgia, National Basketball Association players with retired numbers
Marshall County, Alabama	Alabama counties
Monroe County, Alabama	Alabama counties
Adwa Al-Dakheel	Asian writers, Poets, Saudi Arabian businesspeople, People from Jeddah, Living people
Montgomery County, Alabama	1810s establishments in Alabama, 1816 establishments in the United States, Alabama counties
Homage to Catalonia	1930s books, 1938, Books by George Orwell
Morgan County, Alabama	1818 establishments in Alabama Territory, Alabama counties
Perry County, Alabama	1819 establishments in Alabama, Alabama counties
Pickens County, Alabama	Alabama counties
Carrollton, Alabama	Towns in Alabama, County seats in Alabama
Pike County, Alabama	1820s establishments in Alabama, 1821 establishments in the United States, Alabama counties
Pike County, Illinois	1821 establishments in Illinois, Illinois counties
Burmese Days	Books by George Orwell, 1934 books, Novels
Marianne Williamson	1952 births, Living people, 2020 United States presidential candidates, American educators, American political writers, Writers from Texas, Politicians from Houston, Texas, Writers from California, Politicians from California
Rick Genest	1985 births, 2018 deaths, Suicides by jumping, Suicides in Canada, Canadian movie actors, Canadian models, Actors from Quebec
Hannie van Leeuwen	1926 births, 2018 deaths, Anti-Revolutionary Party politicians, Christian Democratic Appeal politicians, Aldermen of the Netherlands, Dutch Calvinists, Dutch councillors, Dutch mayors, Dutch people of World War II, Dutch women politicians, Former members of the House of Representatives of the Netherlands, Members of the Senate of the Netherlands, People from Delft, Politicians from South Holland
A Clergyman's Daughter	1935 books, Novels, Books by George Orwell
Auto Club 400	1997 establishments in California, NASCAR tracks, Monster Energy NASCAR Cup Series races, 1997 in sports
1930 Dominican Republic hurricane	Hurricanes in Florida, Hurricanes in the Dominican Republic, 20th centuy in Haiti, 20th century in the Dominican Republic, 1930 in the United States, Hurricanes in North Carolina, 20th century in Florida, 1930s in North Carolina
Hurricane Bret	Hurricanes in Texas, 1999 in the United States, August events
STP 500	1940s establishments in Virginia, 1949 establishments in the United States, NASCAR tracks, Monster Energy NASCAR Cup Series races, 1949 in sports
Fox NASCAR	2001 American television series debuts, 2000s American television series, 2010s American television series, Sports television series, Fox television series, NASCAR
NASCAR on NBC	1999 American television series debuts, 2006 American television series endings, 2015 American television series debuts, 1960s American television series, 1970s American television series, 1980s American television series, 1990s American television series, 2000s American television series, 2010s American television series, Sports television series, NBC network shows, NASCAR
O'Reilly Auto Parts 500	1990s establishments in Texas, 1997 establishments in the United States, NASCAR tracks, Monster Energy NASCAR Cup Series races, 1997 in sports
Keep the Aspidistra Flying	1936 books, Fiction books
Coming Up for Air	British novels, 1939 books, Fiction books, English-language novels
Advance Auto Parts Clash	1970s establishments in Florida, 1979 establishments in the United States, NASCAR tracks, Monster Energy NASCAR Cup Series races, 1979 in sports
Can-Am Duel	1959 establishments in Florida, NASCAR tracks, Monster Energy NASCAR Cup Series races, 1959 in sports, February events
Jorasanko	Neighborhoods, Kolkata
Ocuilan de Arteaga	Settlements in Mexico (state), 1520s establishments in Mexico, 1522 establishments
Food City 500	1961 establishments in the United States, 1960s establishments in Tennessee, NASCAR tracks, Monster Energy NASCAR Cup Series races, 1961 in sports
Modibo Keïta	1915 births, 1977 deaths, Presidents of Mali, Prime Ministers of Mali
Moussa Traoré	1936 births, Presidents of Mali, African military people, Prisoners sentenced to death, 2020 deaths
Alpha Oumar Konaré	1946 births, Presidents of Mali, Activists, Living people, Chairpersons of the African Union Commission
Randolph County, Alabama	1832 establishments in Alabama, Alabama counties
Wedowee, Alabama	Towns in Alabama, County seats in Alabama
Russell County, Alabama	1832 establishments in Alabama, Alabama counties
St. Clair County, Alabama	1818 establishments in Alabama Territory, Alabama counties
Sumter County, Alabama	1832 establishments in Alabama, Alabama counties
Abigail Spencer	American television actors, American movie actors, Actors from Florida, 1981 births, Living people
Cuba, Alabama	Towns in Alabama
Intercourse, Alabama	Unincorporated communities in Alabama
Emelle, Alabama	Towns in Alabama
Epes, Alabama	Towns in Alabama
Gainesville, Alabama	1832 establishments in Alabama, Towns in Alabama
Geiger, Alabama	Towns in Alabama
