Astelia banksii	Asparagales
Zille Huma	Pakistani singers, Punjabi people, Year of birth missing (living people)
Sonya Jehan	Punjabi people, Pakistani movie actors, French actors, 1980 births, Living people
Aga Khan III	1877 births, 1957 deaths, British India, Knights Grand Commander of the Order of the Indian Empire, Knights Grand Commander of the Order of the Star of India, Knights Grand Cross of the Order of St Michael and St George, Knights Grand Cross of the Royal Victorian Order, Leaders of All India Muslim League, Muslim League, Muslims, People of British India, Privy Councillors (UK)
Iran-Pakistan barrier	Buildings and structures in Iran, Pakistan
William Sterndale Bennett	1816 births, 1875 deaths, English composers, Romantic composers
Grand Trunk Road	Transport in Pakistan, Roads in India
Space-time tradeoff	Computer science
Substitution-permutation network	Cryptography
Square (cipher)	Cryptography
Permutation box	Cryptography
Carnivorous plant	Flowering plants, Carnivorous plants
Joe Kinnear	Irish footballers, Irish football managers, Sportspeople from Dublin, 1946 births, Living people
Matt Busby	1909 births, 1994 deaths, Deaths from cancer, Scottish footballers, Scottish football managers
Brett Emerton	1979 births, Living people, Australian footballers, Sportspeople from Sydney
David Rocastle	English footballers, Sportspeople from London, 1967 births, 2001 deaths, Premier League players
Fazilka Tehsil	Punjab, India
Flag of Azerbaijan	Flags of Azerbaijan, Azerbaijani culture, National flags
Coat of arms of Azerbaijan	National coats of arms, National symbols of Azerbaijan
Roquefort-la-Bédoule	Communes in Bouches-du-Rhône
Roquevaire	Communes in Bouches-du-Rhône
Rousset, Bouches-du-Rhône	Communes in Bouches-du-Rhône
Le Rove	Communes in Bouches-du-Rhône
Saint-Andiol	Communes in Bouches-du-Rhône
Saint-Antonin-sur-Bayon	Communes in Bouches-du-Rhône
Saint-Cannat	Communes in Bouches-du-Rhône
Saint-Chamas	Communes in Bouches-du-Rhône
Saintes-Maries-de-la-Mer	Communes in Bouches-du-Rhône
Saint-Estève-Janson	Communes in Bouches-du-Rhône
Saint-Étienne-du-Grès	Communes in Bouches-du-Rhône
Saint-Marc-Jaumegarde	Communes in Bouches-du-Rhône
Saint-Martin-de-Crau	Communes in Bouches-du-Rhône
Saint-Mitre-les-Remparts	Communes in Bouches-du-Rhône
Saint-Paul-lès-Durance	Communes in Bouches-du-Rhône
Saint-Pierre-de-Mézoargues	Communes in Bouches-du-Rhône
Saint-Rémy-de-Provence	Communes in Bouches-du-Rhône
Saint-Savournin	Communes in Bouches-du-Rhône
Saint-Victoret	Communes in Bouches-du-Rhône
Salon-de-Provence	Communes in Bouches-du-Rhône
Sausset-les-Pins	Communes in Bouches-du-Rhône
Sénas	Communes in Bouches-du-Rhône
Septèmes-les-Vallons	Communes in Bouches-du-Rhône
Simiane-Collongue	Communes in Bouches-du-Rhône
Le Tholonet	Communes in Bouches-du-Rhône
Trets	Communes in Bouches-du-Rhône
Vauvenargues, Bouches-du-Rhône	Communes in Bouches-du-Rhône
Velaux	Communes in Bouches-du-Rhône
Venelles	Communes in Bouches-du-Rhône
Ventabren	Communes in Bouches-du-Rhône
Vernègues	Communes in Bouches-du-Rhône
Verquières	Communes in Bouches-du-Rhône
Vitrolles, Bouches-du-Rhône	Communes in Bouches-du-Rhône
Alphonse Daudet	1840 births, 1897 deaths, French playwrights, French poets, French novelists
Gustave Flaubert	1821 births, 1880 deaths, Cardiovascular disease deaths in France, Deaths from cerebral hemorrhage, French novelists, French playwrights, People from Rouen
Roquefort, Gers	Communes in Gers
Roquefort, Landes	Communes in Landes
Lookup table	Computer science
Roquefort, Lot-et-Garonne	Communes in Lot-et-Garonne
Roquefort-sur-Soulzon	Communes in Aveyron
Corn, Lot	Communes in Lot
Roquefort-de-Sault	Communes in Aude
Roquefort-des-Corbières	Communes in Aude
Roquefort-les-Cascades	Communes in Ariège
Roquefort-les-Pins	Communes in Alpes-Maritimes
Roquefort-sur-Garonne	Communes in Haute-Garonne
Avalanche effect	Cryptography
Rocquefort	Communes in Seine-Maritime
BBC Radio 1Xtra	BBC radio
Barrel	Containers, Units of volume
Claudio Ulpiano	Brazilian people, 1932 births, 1999 deaths, Philosophers
Jorge Mautner	1941 births, Living people, Brazilian Jews, Brazilian singers, Brazilian poets, Composers, Jewish musicians, Jewish writers, People from Rio de Janeiro
Meshuggah	Swedish heavy metal bands, Umeå, Musical groups established in 1987
Andy McKee	1979 births, Living people, American guitarists, American folk musicians, Musicians from Kansas, People from Topeka, Kansas
Beverly Hills Chihuahua	2008 movies, Disney movies, American family movies, Movies about animals, Movies directed by Raja Gosnell, Beverly Hills, California in fiction, American children's comedy movies
Destruction (band)	Thrash metal bands
Hans-Christian Ströbele	1939 births, Living people, German lawyers, German politicians of Alliance '90/The Greens, People from Halle, Saxony-Anhalt, Politicians from Saxony-Anhalt
Banksy	English artists, Year of birth unknown, Living people, English painters, Mural artists
Rodney Mullen	American skateboarders, Sportspeople from Florida, 1966 births, Living people
Tony Hawk	1968 births, Actors from San Diego, California, American movie actors, American philanthropists, American skateboarders, American television actors, Businesspeople from California, Living people, Sportspeople from San Diego, California, Skateboarders
Santa Maria, Bulacan	Settlements in the Philippines, 1647 establishments, Establishments in the Philippines, 17th century establishments in Asia
Winton M. Blount	United States Postmasters General, Politicians from Alabama, 1921 births, 2002 deaths
List of sex positions	Sexual acts, Lists
Richard Bache	1737 births, 1811 deaths, United States Postmasters General, People from Yorkshire
Mark Hughes	1963 births, Living people, Welsh footballers
Albert Gallatin	1761 births, 1849 deaths, United States Secretaries of the Treasury, People from Geneva
Henry Dearborn	1751 births, 1829 deaths, Politicians from New Hampshire, United States representatives from Massachusetts, United States Secretaries of War
Robert Smith (cabinet)	1757 births, 1842 deaths, United States Secretaries of State, United States Attorneys General, Politicians from Pennsylvania
Caesar A. Rodney	1772 births, 1824 deaths, Politicians from Wilmington, Delaware, United States Attorneys General, United States representatives from Delaware, United States senators from Delaware
Derrick Pierce	1974 births, Living people, Actors from Los Angeles, California, Actors from Massachusetts, American pornographic actors
Topher Grace	1978 births, Living people, American movie actors, American television actors, Actors from New York City
Mirepoix (cuisine)	Food ingredients
Béchamel sauce	Dishes named after people, Mother sauces
American Dad!	American Dad!, 2005 American television series debuts, 2000s American television series, 2010s American television series, Adult animated television series, Adult Swim, American animated television series, American sitcoms, Fox television series, English-language television programs
Mirepoix, Gers	Communes in Gers
Landon Donovan	1982 births, Living people, American footballers, Sportspeople from Los Angeles, California
Coriander	Apiaceae, Herbs, Spices
Brad Friedel	1971 births, Living people, American footballers, Sportspeople from Ohio, Association football goalkeepers, People from Lakewood, Ohio
Nílton Santos	1925 births, 2013 deaths, Deaths from respiratory failure, Footballers from Rio de Janeiro
DaMarcus Beasley	1982 births, Living people, American footballers, Sportspeople from Indiana, People from Fort Wayne, Indiana
Alecko Eskandarian	American footballers, Sportspeople from New Jersey, 1982 births, Living people
Smash Hits	Music magazines, Radio, Websites, British television channels
Liga I	Football leagues, Football in Romania, 1909 establishments in Europe, 20th century establishments in Romania
Battle of the Mediterranean	European battles of World War II, 1940 in Europe, 1941 in Europe, 1942 in Europe, 1943 in Europe, 1944 in Europe, 1945 in Europe
Cryptographic hash function	Cryptography
Data integrity	Computer science, Communication
Cryptosystem	Cryptography
Serpent (cipher)	Cryptography
Pretty Good Privacy	Cryptography, Internet security
Weak key	Cryptography
XSL attack	Cryptography
Sound the Alarm	2006 albums, Concept albums
Ennis	County towns in Ireland, County Clare
Trey Parker	1969 births, Living people, American animators, American movie directors, American screenwriters, Emmy Award winners, Actors from Colorado, Writers from Colorado, American movie actors, American television actors, American voice actors, Lyricists, Libertarians
Matt Stone	American animators, American movie actors, American screenwriters, Emmy Award winners, actors from Houston, Texas, writers from Texas, 1971 births, Living people, Libertarians
Treaty of friendship and alliance between the Government of Mongolia and Tibet	20th century in Mongolia, Tibet, 1910s treaties, 1913
Waterford	County towns in Ireland, Waterford
Dissipation	Thermodynamics, Physics
Galway	County towns in Ireland, County Galway
Porta Alchemica	Occult, Buildings and structures in Rome
Springfield, Massachusetts	County seats in Massachusetts, Springfield, Massachusetts
Global apartheid	Politics
Baccara	1981 disestablishments, Disco groups, Girl groups, Musical duos, Musical groups disestablished in 1981, Musical groups established in 1977, Pop music groups, Spanish musical groups, 1977 establishments in Europe, 1970s establishments in Spain, 1980s disestablishments in Europe
The Big Bang Theory	2007 American television series debuts, 2000s American sitcoms, 2000s romance television series, 2010s American sitcoms, 2010s romance television series, Autism in fiction, CBS network shows, College television series, Pasadena, California, Romantic comedy television series, Television series about families, Television series about friendship, Television series about marriage, Television series set in Los Angeles County, California, English-language television programs
Smilodon	Fossils, Machairodonts, Sabretooth cats
The Clash (Album)	1977 albums, The Clash albums, Punk albums
Give 'Em Enough Rope	1978 albums, The Clash albums, Punk albums
The Daily Show	1996 American television series debuts, 1990s American comedy television series, 1990s satirical television series, 2000s American comedy television series, 2000s satirical television series, 2010s American comedy television series, 2010s satirical television series, American satirical television series, Emmy Award winning programs, English-language television programs
Ritchie Neville	1979 births, Living people, English singers, People from Solihull
Five (band)	1997 establishments in the United Kingdom, 1990s British music groups, 2000s British music groups, 2010s British music groups, English boy bands, English pop music groups, Musical groups established in 1997, Musical groups from London
Secret Diary of a Call Girl	2007 British television series debuts, 2011 British television series endings, 2000s British drama television series, 2010s British drama television series, ITV television programmes, Television series set in London, Works about prostitution, English-language television programs
ITV2	British television channels
Belle de Jour (writer)	1975 births, Living people, American prostitutes, Bloggers, Jewish American writers, Jewish British writers, Jewish sex industry people, Naturalised citizens of the United Kingdom, Writers from Florida, American bloggers
Cloth mill Offermann	Buildings and structures in North Rhine-Westphalia, Companies of Germany, 18th century establishments in Germany
St. Anger	Metallica albums, 2003 albums
Killing Is My Business... and Business Is Good!	1984 albums, Debut albums, Heavy metal albums, Megadeth albums
Dalek	Doctor Who
Rust in Peace	Megadeth albums, 1990 albums
Fable II	2008 video games, Xbox 360 games, Role-playing video games
Aveyron	Departments in Occitanie
Bouches-du-Rhône	Departments in Provence-Alpes-Côte d'Azur
Vocal cords	Neck
Parallel computing	Computer science
WrestleMania IV	WrestleMania, Atlantic City, New Jersey, Sports in New Jersey, 1988 in professional wrestling, 1988 in the United States, 1980s in New Jersey, March events
Cantal	Departments in Auvergne-Rhône-Alpes
WrestleMania V	WrestleMania, Atlantic City, New Jersey, Sports in New Jersey, 1989 in professional wrestling, 1989 in the United States, 1980s in New Jersey, April events
Charente	Departments in Nouvelle-Aquitaine
Charente-Maritime	Departments in Nouvelle-Aquitaine
Optimization (computer science)	Computer science
Pilgrimage of Grace	16th century in England, 1536, Rebellions in Europe, 1530s in Europe
Embedded system	Computer science
WrestleMania VI	Sport in Toronto, WrestleMania, 1990 in professional wrestling, 1990s in Canada, History of Toronto, April events
Real-time computing	Computer science
AVN Award	Movie awards, Pornography, 1984 establishments
WrestleMania VII	WrestleMania, Sports in Los Angeles, 1991 in professional wrestling, 1991 in California, 1990s in Los Angeles, California, March events
WrestleMania VIII	WrestleMania, History of Indianapolis, Indiana, 1992 in professional wrestling, 1992 in the United States, April events, 20th century in Indiana
WrestleMania IX	WrestleMania, Las Vegas, Nevada, 1993 in the United States, 20th century in Nevada, 1993 in professional wrestling
Airbag	Automobiles, Safety
Darkly Dreaming Dexter	Crime fiction books, 2004 books
Dearly Devoted Dexter	Crime fiction books, 2005 books
Dexter in the Dark	Crime fiction books, 2007 books
Fugging, Austria	Cities and towns in Upper Austria
Susan Featherly	1963 births, Living people, American movie actors, Actors from New York, American television actors, People from Syracuse, New York
Ravenscraig	Towns in North Lanarkshire
Ron Wilson (ice hockey, born 1955)	1955 births, American ice hockey players, Canadian ice hockey defencemen, Ice hockey people from Ontario, Living people, Minnesota North Stars players, Toronto Maple Leafs players
Earth's inner core	Structure of the Earth
Peace Sells... but Who's Buying?	Megadeth albums, 1986 albums, Heavy metal albums
A Huge Ever Growing Pulsating Brain That Rules from the Centre of the Ultraworld	1989 songs
Hermann Carl Vogel	1841 births, 1907 deaths, German astronomers, People from Leipzig
Algol	Variable stars, Binary stars
So Far, So Good... So What!	Megadeth albums, 1988 albums
Lissamphibia	Amphibians
NRG Stadium	National Football League venues, Sports in Houston, Texas, Buildings and structures in Houston, Texas, Sports buildings in Texas
Bop It	Toys, Games
Shamanism	Religion
Jocky Scott	1948 births, Living people, Scottish football managers, Scottish footballers
Real-time operating system	Computer science
Rage (band)	German heavy metal bands
Egon Schiele	Austrian painters, Deaths from influenza, 1890 births, 1918 deaths
Reduced instruction set computer	Computer science
Complex instruction set computer	Computer science
Debugger	Computer science
BBC Radio 5 Live Sports Extra	BBC radio, Sports media
Firmware	Computer science
Tropical Storm Edouard (2008)	Atlantic tropical storms, Hurricanes in the United States, August events, 2008 Atlantic hurricane season, 2000s in Louisiana, 2008 in Texas
Immunity Aware Programming	Computer science, Radio
Discriminant	Mathematics
Single event upset	Electronic components
Chris Gbandi	1979 births, Living people, Liberian people, African footballers
Matthew Wolfenden (footballer)	English footballers, People from Oldham, Greater Manchester, 1987 births, Living people
Arthur Wharton	1865 births, 1930 deaths, Ghanaian footballers, Association football goalkeepers
Hristo Stoichkov	1966 births, Living people, Bulgarian footballers, Bulgarian football managers
Sandy Martens	1972 births, Living people, Belgian footballers
C. B. Fry	1872 births, 1956 deaths, English footballers, Sportspeople from London
Egil Olsen	1942 births, Living people, Norwegian footballers
Franck Queudrue	1978 births, Living people, French footballers, Sportspeople from Paris
Craig Bellamy	1979 births, Living people, 2012 Summer Olympics, British Olympians, Liverpool F.C. players, Manchester City F.C. players, Sportspeople from Cardiff, Welsh footballers, West Ham United F.C. players
Derlei	Brazilian footballers, 1975 births, Living people
Avril Lavigne	1984 births, Living people, Avril Lavigne, Canadian pop singers, Canadian rock guitarists, Canadian rock singers, Canadian singer-songwriters, Former good articles, Rock guitarists, Singers from Ontario
Hannibal Lecter	Characters in written fiction, Fictional characters introduced in 1981, Fictional European people, Fictional murderers, Fictional people with antisocial personality disorder, Movie characters
Asunción	National capitals in South America, Cities in Paraguay
Predestination	Theology, Christian theology, Hinduism
A Nightmare on Elm Street	1984 horror movies, 1980s ghost movies, 1980s serial killer movies, 1980s teen movies, A Nightmare on Elm Street movies, American ghost movies, American serial killer movies, American teen horror movies, English-language movies, Movies about suburbia, Slasher movies, Supernatural horror movies, American independent movies
Gladiolus	Iridaceae
Feathertail glider	Marsupials of Australia, Diprotodonts
Sugar glider	Marsupials of Australia, Diprotodonts
Bismarck Archipelago	Geography of Papua New Guinea
Legal precedent	Law
Ford Escort (Europe)	1960s automobiles, 1970s automobiles, 1980s automobiles, 1990s automobiles, Ford automobiles
Ford Fiesta	1970s automobiles, 1980s automobiles, 1990s automobiles, 2000s automobiles, Ford automobiles, 2010s automobiles
Ford Fusion (Europe)	2000s automobiles, Ford automobiles
Ford Galaxy	1990s automobiles, 2000s automobiles, Ford automobiles
Ford C-Max	2000s automobiles, 2010s automobiles, Ford automobiles
Ford S-Max	2000s automobiles, Ford automobiles
Ford Puma	1990s automobiles, 2000s automobiles, Ford automobiles
Kilkenny	County towns in Ireland, County Kilkenny, 1609 establishments, Establishments in the Republic of Ireland, 1600s establishments in Europe
Ford Cougar	1990s automobiles, 2000s automobiles, Ford automobiles
Ford Kuga	2000s automobiles, Ford automobiles
Ford Transit	Buses, Vans
Citroën XM	1980s automobiles, 1990s automobiles, Citroen automobiles
Citroën Xantia	1990s automobiles, 2000s automobiles, Citroen automobiles
Gaeltacht Quarter	Quarters of Belfast, Gaeltacht
Belfast Quarters	Quarters of Belfast
Citroën Xsara	1990s automobiles, 2000s automobiles, Citroen automobiles
Helsinki Olympic Stadium	Football stadiums in Europe, Football in Finland, Helsinki, 1952 Summer Olympics
Citroën Berlingo	Front wheel drive vehicles, Vans
DAX	Stock exchanges, Economy of Germany, Frankfurt
Westminster Under School	Schools in London, 1943 establishments in Europe, 1940s establishments in England
Furby	Toys
Cinderella (1950 movie)	1950 movies, 1950s romance movies, American family movies, American musical fantasy movies, American romance movies, Disney animated movies, English-language movies, Movies based on fairy tales, Movies composed by Oliver Wallace
God in Christianity	Christian theology
List of players with five or more goals in an NHL game	Lists of National Hockey League players, National Hockey League lists
Civil Police (Brazil)	Law enforcement agencies, Government of Brazil
Spring scale	Measuring tools
Churro	Desserts, Sweet breads, American food, Argentine food, Bolivian culture, Brazilian food, Chilean culture, Colombian food, Ecuador, Filipino culture, French food, Mexican food, New Mexico, Paraguay, Peruvian culture, Portuguese food, Spanish food, Uruguayan culture, Venezuelan food
The Lion King 1½	2004 movies, 2004 animated movies, American family movies, Disney animated movies, English-language movies, Sequel movies, The Lion King, Disney direct-to-video movies, Annie Award winners
Animatronics	Animation
Scar (The Lion King)	Animated characters, Disney characters, Kingdom Hearts characters, Fictional animals, Fictional characters introduced in 1994, Fictional murderers, The Lion King
Pepe le Pew	Looney Tunes characters, Animated characters, Fictional animals, Fictional characters introduced in the 1940s
List of Tom and Jerry episodes	Lists of animated television series episodes
Woolworths (Australia)	1924 establishments, 1920s establishments in Australia, Supermarkets of Australia
Privatization	Economics, Property
One Canada Square	1991 establishments in England, Buildings and structures completed in the 1990s, Buildings and structures in London, Skyscrapers in the United Kingdom
Chevrolet Monte Carlo	1970s automobiles, 1980s automobiles, 1990s automobiles, 2000s automobiles, Chevrolet automobiles
Plymouth Superbird	1970s automobiles
Dodge Charger Daytona	1960s automobiles
Opel Combo	1990s automobiles, 2000s automobiles, 2010s automobiles, Opel automobiles
Citroën 2CV	Front wheel drive vehicles, Sedans, 1950s automobiles, 1960s automobiles, 1970s automobiles, 1980s automobiles, 1990s automobiles, Citroen automobiles
Renault 4	Front wheel drive vehicles, 1960s automobiles, 1970s automobiles, 1980s automobiles, 1990s automobiles, Renault automobiles
Škoda Roomster	Škoda automobiles, 2000s automobiles
Volvo C30	2000s automobiles, 2010s automobiles, Volvo automobiles
Volkswagen Corrado	1980s automobiles, 1990s automobiles, Volkswagen automobiles, Front wheel drive vehicles
Volvo V70	1990s automobiles, 2000s automobiles, 2010s automobiles, Volvo automobiles
Volvo V50	2000s automobiles, 2010s automobiles, Volvo automobiles
Ford Mondeo	1990s automobiles, 2000s automobiles, 2010s automobiles, Ford automobiles
Volvo V40	1990s automobiles, 2000s automobiles, Volvo automobiles
Volvo S40	1990s automobiles, 2000s automobiles, 2010s automobiles, Volvo automobiles
El Hadji Diouf	1981 births, Living people, Senegalese footballers
Dennis Wise	1966 births, Living people, English footballers, English football managers, Sportspeople from London, Premier League players
Ashley Ward	English footballers, People from Lancashire, 1970 births, Living people, Premier League players
Ivica Kralj	1973 births, Living people, Montenegrin footballers, Association football goalkeepers
Bit-level parallelism	Computer science
Instruction level parallelism	Computer science
Data parallelism	Computer science
Task parallelism	Computer science
Interrupt latency	Computer science
Flavors of Entanglement	2008 albums, Alanis Morissette albums
Thread switching latency	Computer science
Process switching latency	Computer science
Penguin (comics)	Batman characters, DC Comics characters, Fictional characters introduced in 1941
Batman (1966 movie)	Movies based on TV series, Movies based on comic book characters, Batman movies, 1966 movies, English-language movies, Movies directed by Leslie H. Martinson
Context switch	Computer science
Diamond Jubilee	Parties, Time
The Jungle Book 2	2003 movies, 2003 animated movies, Disney animated movies, American family movies, American musical movies, Movies about animals, Jungle movies, Movies set in India, Sequel movies, Movies based on books
King Louie	Disney characters
Cindy McCain	1954 births, Living people, American Baptists, Businesspeople from Phoenix, Arizona, Politicians from Phoenix, Arizona, US Republican Party politicians
Thread (computer science)	Computer science
Tilde de Paula	1954 births, Living people, Swedish television presenters, Chilean television presenters
Sofia Wistam	1966 births, Living people, Swedish television presenters
Gry Forssell	1973 births, Living people, Swedish television presenters
Cynthia McKinney	1955 births, Living people, African American politicians, Greens politicians, Politicians from Atlanta, Georgia
Task (computers)	Computer science
Eddie Brock	Fictional characters introduced in 1988, Marvel Comics characters
Process (computing)	Computer science
Imam Samudra	1970 births, Criminals, Indonesian people
Huda bin Abdul Haq	1960 births, Criminals
Amrozi bin Nurhasyim	1962 births, 2008 deaths, Indonesian people, Muslim terrorists, People executed by firearm
Studs Terkel	American historians, Jewish American actors, American journalists, Actors from New York City, Actors from Chicago, Writers from New York City, Writers from Chicago, 1912 births, 2008 deaths, Pulitzer Prize winners, American movie actors, American television actors
Bob Barr	1948 births, Living people, American Methodists, Politicians from Iowa, 2008 United States presidential candidates, United States representatives from Georgia, US Libertarian Party politicians, US Republican Party politicians
Multi-user	Computer science, Computing, Video games
Flying squirrel	Squirrels
S1m0ne	2002 comedy-drama movies, 2002 science fiction movies, American comedy-drama movies, American science fiction movies, English-language movies
Sooty mangabey	Old World monkeys, Mammals of Africa
Joe Byrne	1856 births, 1880 deaths, Australian criminals, Ned Kelly, Bushrangers, People from Victoria (Australia), Booker Prize winners
College basketball	College basketball
Public university	Colleges and universities
University of Michigan-Flint	Colleges and universities in Michigan, University of Michigan, Flint, Michigan, 1956 establishments in the United States, 1950s establishments in Michigan
Shirley Hufstedler	United States Secretaries of Education, Politicians from Denver, Colorado, Deaths from cerebrovascular disease, 1925 births, 2016 deaths
University of Michigan–Dearborn	University of Michigan, 1959 establishments in the United States, 1950s establishments in Michigan
Margaret Spellings	United States Secretaries of Education, Politicians from Michigan, Politicians from Texas, US Republican Party politicians, 1957 births, Living people
Public Ivy	Colleges and universities in the United States
Nundle, New South Wales	Towns in New South Wales
National Library of Australia	Museums in Australia, National libraries, Government agencies of Australia, Buildings and structures in Canberra, 1960 establishments in Australia, Libraries in Australia
Breeza, New South Wales	Towns in New South Wales
Retail	Shops, Retail markets
Mauro Zárate	1987 births, Living people, Sportspeople from Buenos Aires, Argentine footballers
Gunnedah, New South Wales	Towns in New South Wales
Instruction pipelining	Computer science
Sami Hyypiä	1973 births, Living people, Finnish footballers
Now That's What I Call Music! 29 (U.S. series)	2009 albums, Compilation albums
Thrissur	Kerala
Michigan Territory	History of Michigan, 1805 establishments in the United States, 1837 disestablishments, 19th-century disestablishments in the United States, Former territories of the United States
Syro-Malabar Catholic Church	Eastern Catholicism
Jurassic Coast	Devon, Dorset, Geography of England, World Heritage Sites in the United Kingdom
Instruction (computer science)	Microprocessor design
Piacenza	Cities in Emilia-Romagna, Capital cities in Italy
Superscalar	Computer science
SA80	Firearms, British Army equipment
Geoff Bunn	1963 births, Living people, English artists, People from Birmingham
Fred Yates	1922 births, 2008 deaths, English painters, People from Lancashire
Sauerbraten	German food, Meat dishes
The Economist	Magazines of the United Kingdom
Our Lady of Guadalupe	Roman Catholicism, Christian symbols, Mexico City, Marian apparitions, 1531
Poison (band)	American hard rock bands, Glam metal bands, Musical groups from Pennsylvania, Enigma Records artists
Yao Ming	1980 births, Autobiographers, Basketball players, Chinese sportspeople, Houston Rockets players, Living people, People from Shanghai
Ray Emery	1982 births, 2018 deaths, Accidental deaths by drowning, American Hockey League players, Anaheim Ducks players, Canadian ice hockey goaltenders, Chicago Blackhawks players, Ice hockey people from Ontario, Ontario Hockey League players, Ottawa Senators players, People from Hamilton, Philadelphia Flyers players, Stanley Cup champions
Execution unit	Microprocessor design
Pre-1600 Atlantic hurricane seasons	Atlantic hurricane seasons
Valley Parade	Football stadiums in England, 1886 establishments in England
Levi Lincoln Sr.	1749 births, 1820 deaths, United States Attorneys General, Lieutenant Governors of Massachusetts, Governors of Massachusetts
James R. Schlesinger	1929 births, 2014 deaths, Deaths from pneumonia, Directors of the Central Intelligence Agency, Infectious disease deaths in the United States, Politicians from New York City, United States Secretaries of Defense, United States Secretaries of Energy
Simultaneous multithreading	Computer science
Out-of-order execution	Computer science
Speculative execution	Computer science
Branch prediction	Microprocessor design
Key exchange	Cryptography
Secure channel	Cryptography
Terminology	Terminology
Communes of the Vaucluse department	Communes in Vaucluse, Lists of communes of France
Althen-des-Paluds	Communes in Vaucluse
Ansouis	Communes in Vaucluse
Apt, Vaucluse	Communes in Vaucluse, Subprefectures in France
Aubignan	Communes in Vaucluse
Aurel, Vaucluse	Communes in Vaucluse
Auribeau	Communes in Vaucluse
Le Barroux	Communes in Vaucluse
La Bastide-des-Jourdans	Communes in Vaucluse
La Bastidonne	Communes in Vaucluse
Le Beaucet	Communes in Vaucluse
Beaumes-de-Venise	Communes in Vaucluse
Beaumettes	Communes in Vaucluse
Beaumont-de-Pertuis	Communes in Vaucluse
Beaumont-du-Ventoux	Communes in Vaucluse
Bédarrides	Communes in Vaucluse
Bédoin	Communes in Vaucluse
Blauvac	Communes in Vaucluse
Bollène	Communes in Vaucluse
Bonnieux	Communes in Vaucluse
Brantes	Communes in Vaucluse
Buisson	Communes in Vaucluse
Buoux	Communes in Vaucluse
Cabrières-d'Aigues	Communes in Vaucluse
Cabrières-d'Avignon	Communes in Vaucluse
Flag of Oman	Oman, National flags
Cadenet	Communes in Vaucluse
Caderousse	Communes in Vaucluse
Coat of arms of Oman	Oman, National coats of arms
Cairanne	Communes in Vaucluse
Camaret-sur-Aigues	Communes in Vaucluse
Caromb	Communes in Vaucluse
Carpentras	Communes in Vaucluse, Subprefectures in France
Caseneuve	Communes in Vaucluse
Castellet	Communes in Vaucluse
Caumont-sur-Durance	Communes in Vaucluse
Cavaillon	Communes in Vaucluse
Châteauneuf-de-Gadagne	Communes in Vaucluse
Châteauneuf-du-Pape	Communes in Vaucluse
Cheval-Blanc	Communes in Vaucluse
Courthézon	Communes in Vaucluse
Crestet	Communes in Vaucluse
Crillon-le-Brave	Communes in Vaucluse
Cucuron	Communes in Vaucluse
Entraigues-sur-la-Sorgue	Communes in Vaucluse
Entrechaux	Communes in Vaucluse
Faucon	Communes in Vaucluse
Flassan	Communes in Vaucluse
Fontaine-de-Vaucluse	Communes in Vaucluse
Gargas, Vaucluse	Communes in Vaucluse
Gignac, Vaucluse	Communes in Vaucluse
Gigondas	Communes in Vaucluse
Gordes	Communes in Vaucluse
Goult	Communes in Vaucluse
Grambois	Communes in Vaucluse
Grillon	Communes in Vaucluse
L'Isle-sur-la-Sorgue	Communes in Vaucluse
Jonquerettes	Communes in Vaucluse
Jonquières, Vaucluse	Communes in Vaucluse
Joucas	Communes in Vaucluse
Lacoste, Vaucluse	Communes in Vaucluse
Lafare	Communes in Vaucluse
Lagarde-d'Apt	Communes in Vaucluse
Lagarde-Paréol	Communes in Vaucluse
Lagnes	Communes in Vaucluse
Lamotte-du-Rhône	Communes in Vaucluse
Lapalud	Communes in Vaucluse
Lauris	Communes in Vaucluse
Lioux	Communes in Vaucluse
Loriol-du-Comtat	Communes in Vaucluse
Lourmarin	Communes in Vaucluse
Malaucène	Communes in Vaucluse
Malemort-du-Comtat	Communes in Vaucluse
Maubec, Vaucluse	Communes in Vaucluse
Mazan	Communes in Vaucluse
Ménerbes	Communes in Vaucluse
Mérindol	Communes in Vaucluse
Méthamis	Communes in Vaucluse
Mirabeau, Vaucluse	Communes in Vaucluse
Voice over Internet Protocol	Telephone, Internet protocols
Vaucluse	Departments in Provence-Alpes-Côte d'Azur
Diffie-Hellman key exchange	Cryptography
British royal family	British royalty, British monarchy, House of Windsor
MQV	Cryptography
Cher (department)	Departments in Centre-Val de Loire
Corrèze	Departments in Nouvelle-Aquitaine
Runtime	Computer science
Java virtual machine	Computer science
Station-to-Station protocol	Cryptography
Internet Key Exchange	Cryptography
Shared secret	Cryptography
Styphnolobium japonicum	Faboideae
Horsforth	Towns in West Yorkshire
Pre-shared key	Cryptography
Corse-du-Sud	Departments in Corsica
Haute-Corse	Departments in Corsica
Côte-d'Or	Departments in Bourgogne-Franche-Comté
Côtes-d'Armor	Departments in Brittany
Creuse	Departments in Nouvelle-Aquitaine
Dordogne	Departments in Nouvelle-Aquitaine
Doubs	Doubs
Drôme	Departments in Auvergne-Rhône-Alpes
IPsec	Internet protocols, Cryptography
Eure	Departments in Normandy
Eure-et-Loir	Departments in Centre-Val de Loire
Key-agreement protocol	Cryptography
Finistère	Departments in Brittany
1800–1809 Atlantic hurricane seasons	1800s in the United States, Atlantic hurricane seasons
