Naohiro Takahara	1979 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Júbilo Iwata players, Urawa Red Diamonds players, Shimizu S-Pulse players, Tokyo Verdy players, SC Sagamihara players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Socorro, Texas	Cities in Texas
Falkenfelsen	Geography of Baden-Württemberg
Giant huntsman spider	Sparassidae
Huntsman spider	Sparassidae
Brown huntsman spider	Sparassidae, Venomous animals
Dorsal	Anatomy, Terminology
Clypeus	Animal anatomy
Carapace	Animal anatomy
Sapindaceae	Sapindaceae
Abbotsford, Wisconsin	Cities in Wisconsin, Clark County, Wisconsin, Marathon County, Wisconsin, 1965 establishments in the United States, 1960s establishments in Wisconsin
Robbie Keane	1980 births, Living people, Irish footballers, Sportspeople from Dublin
Takayuki Morimoto	1988 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, J2 League players, Tokyo Verdy players, JEF United Chiba players, Kawasaki Frontale players, Avispa Fukuoka players, 2010 FIFA World Cup players, Footballers at the 2008 Summer Olympics
Pablo Aimar	1979 births, Living people, Argentine footballers
Toninho Cerezo	1955 births, Living people, Brazilian footballers, Brazilian football managers, People from Belo Horizonte
Iván de la Peña	1976 births, Living people, Spanish footballers
Jorge Valdano	1955 births, Living people, Argentine footballers, Argentine football managers
Kazushi Kimura	1958 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Yokohama F. Marinos players
Takeshi Okada	1956 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, JEF United Chiba players, Japan national football team managers
Yoshito Okubo	1982 births, Living people, Footballers from Fukuoka Prefecture, Japan international footballers, J1 League players, J2 League players, Cerezo Osaka players, Vissel Kobe players, Kawasaki Frontale players, FC Tokyo players, Júbilo Iwata players, Tokyo Verdy players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, 2003 FIFA Confederations Cup players, Footballers at the 2004 Summer Olympics
Diego Simeone	1970 births, Living people, Argentine footballers, Argentine football managers, Sportspeople from Buenos Aires
Tsuyoshi Kitazawa	1968 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Honda FC players, Tokyo Verdy players, 1995 King Fahd Cup players, 1992 AFC Asian Cup players, AFC Asian Cup-winning players
Takeshi Mizuuchi	1972 births, Living people, Footballers from Kanagawa Prefecture
Masahiro Fukuda	1966 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Urawa Red Diamonds players, 1995 King Fahd Cup players, 1992 AFC Asian Cup players, AFC Asian Cup-winning players
Alfredo Di Stéfano	1926 births, 2014 deaths, 1962 FIFA World Cup players, Argentine footballers, Spanish footballers, Argentine football managers, Spanish football managers, Cardiovascular disease deaths in Spain, Deaths from cardiac arrest, Sportspeople from Buenos Aires
Raymond Kopa	1931 births, 2017 deaths, French footballers
Luis Suárez Miramontes	1935 births, Living people, Spanish footballers, Spanish football managers, People from A Coruña
Omar Sívori	1935 births, 2005 deaths, Argentine footballers, Italian footballers
Josef Masopust	1931 births, 2015 deaths, 1958 FIFA World Cup players, 1962 FIFA World Cup players, Czech footballers, Czech football managers, Disease-related deaths in the Czech Republic
Denis Law	1940 births, Living people, Manchester City F.C. players, Manchester United F.C. players, Scottish footballers
Eusébio	1942 births, 2014 deaths, 1966 FIFA World Cup players, Deaths from heart failure, Mozambican people, Portuguese footballers
Flórián Albert	Hungarian footballers, 1941 births
Gianni Rivera	1943 births, Living people, Italian footballers, Sportspeople from Piedmont, People from Alessandria
Tatsuya Tanaka	1982 births, Living people, Footballers from Yamaguchi Prefecture, Japan international footballers, J1 League players, J2 League players, Urawa Red Diamonds players, Albirex Niigata players, Footballers at the 2004 Summer Olympics
Guillermo Stábile	1905 births, 1966 deaths, Argentine footballers, Argentine football managers, Sportspeople from Buenos Aires
Angelo Schiavio	1905 births, 1990 deaths, Italian footballers, Sportspeople from Emilia-Romagna, People from Bologna
Edmund Conen	1914 births, 1990 deaths, German footballers, Sportspeople from Rhineland-Palatinate
Leônidas da Silva	1913 births, 2004 deaths, Footballers from Rio de Janeiro
Ademir Marques de Menezes	1922 births, 1996 deaths, 1950 FIFA World Cup players, Brazilian footballers, People from Recife
Sándor Kocsis	1929 births, 1979 deaths, Hungarian footballers, Hungarian football managers
County Sligo	County Sligo
Connacht	Connacht
Caesar salad	Salads, Dishes named after people
Paul Robinson	1979 births, Living people, Association football goalkeepers, English footballers, People from North Yorkshire
Gareth Barry	1981 births, Living people, 2010 FIFA World Cup players, English footballers, Manchester City F.C. players, People from East Sussex, Sportspeople from Sussex, Premier League players
Neil's Harbour, Nova Scotia	Settlements in Nova Scotia
Glen Johnson	1984 births, Living people, English footballers, Chelsea F.C. players, Liverpool F.C. players, Sportspeople from London, Premier League players
Ingonish	Settlements in Nova Scotia
Scott Carson	1985 births, Living people, 2006 FIFA World Cup players, English association football goalkeepers, Sportspeople from Cumbria, Premier League players
Gabriel Agbonlahor	1986 births, Black British sportspeople, English footballers, Living people, Premier League players, Sportspeople from Birmingham
Ashley Young	1985 births, Living people, Association football defenders, Association football full-backs, Black British sportspeople, English footballers, Manchester United F.C. players, People from Stevenage, Sportspeople from Hertfordshire, Premier League players
WTVT	Fox Broadcasting Company, Tampa, Florida
Steve Prefontaine	1951 births, 1975 deaths, American male athletes, Road accident deaths in the United States, Sportspeople from Oregon
Urinal	Waste
Blacklist (computing)	Computing
Changing room	Everyday life
Abraxas grossulariata	Geometridae
Bookworm (insect)	Insects
Needville, Texas	Cities in Texas
Abbott, Texas	Cities in Texas, 1871 establishments in the United States, 1870s establishments in Texas
Blum, Texas	Towns in Texas
Bynum, Texas	Towns in Texas
Malone, Texas	Towns in Texas
Bear Creek, Texas	Villages in Texas
Bee Cave, Texas	Cities in Texas
Briarcliff, Texas	Villages in Texas
Pleak, Texas	Villages in Texas
Astrodome	Sports in Houston, Texas, Hurricane Katrina, Sports buildings in Texas, Houston Astros, 1965 establishments in the United States, 1960s establishments in Texas
Clear Creek, Wisconsin	Towns in Wisconsin, Eau Claire County, Wisconsin
County (United States)	Counties of the United States
Approval	Basic English 850 words
Save (ice hockey)	Ice hockey words
Shutout	Sports words
Goals against average	Ice hockey words
TIME protocol	Internet protocols, Application layer protocols
Tropical Depression Sixteen (2008)	Tropical depressions, 2008 Atlantic hurricane season, October 2008 events, 2008 in North America
High pressure area	Meteorology
Tropical cyclone formation alert	Tropical cyclones, Meteorology
90377 Sedna	Kuiper belt objects, Dwarf planets
Boa constrictor	Boidae
Just Fontaine	1933 births, Living people, 1958 FIFA World Cup players, French footballers, French football managers
Didier Deschamps	1968 births, Living people, French footballers
Hideki Tsukamoto	1973 births, Living people, Footballers from Nagasaki Prefecture
Siniša Mihajlović	1969 births, Living people, People with cancer, Serbian footballers, Serbian football managers
Ryo Okatani	1981 births, Living people, Footballers from Shiga Prefecture
Daisuke Matsui	1981 births, Living people, Footballers from Kyoto Prefecture, Japan international footballers, J1 League players, J2 League players, Kyoto Sanga FC players, Júbilo Iwata players, Yokohama FC players, 2010 FIFA World Cup players, 2003 FIFA Confederations Cup players, Footballers at the 2004 Summer Olympics
Kiyoshi Okuma	1964 births, Living people, Footballers from Saitama Prefecture
Oleg Blokhin	1952 births, Living people, Soviet sportspeople, Sportspeople from Kiev, Ukrainian footballers, Ukrainian football managers
Allan Simonsen	1952 births, Living people, Danish footballers, Danish football managers
Garrincha	1933 births, 1983 deaths, 1958 FIFA World Cup players, 1962 FIFA World Cup players, 1966 FIFA World Cup players, Brazilian footballers, Disease-related deaths in Brazil
Vavá	1934 births, 2002 deaths, Brazilian footballers, People from Recife
Leonel Sánchez	1936 births, Living people, Chilean footballers, People from Santiago
Dražan Jerković	1936 births, 2008 deaths, Croatian footballers, Croatian football managers
Valentin Kozmich Ivanov	1934 births, 2011 deaths, Russian footballers
Grzegorz Lato	1950 births, Living people, 1974 FIFA World Cup players, 1978 FIFA World Cup players, 1982 FIFA World Cup players, Polish footballers
Mario Kempes	1954 births, Living people, 1974 FIFA World Cup players, 1978 FIFA World Cup players, 1982 FIFA World Cup players, Argentine footballers, Argentine football managers
Full Moon Party	Parties
Paolo Rossi	1956 births, 2020 deaths, 1978 FIFA World Cup players, 1982 FIFA World Cup players, 1986 FIFA World Cup players, Italian footballers, Sportspeople from Tuscany, Deaths from cardiopulmonary arrest, Deaths from lung cancer
Network File System	Computer networking, Sun Microsystems, Internet protocols
Masakuni Yamamoto	1958 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Júbilo Iwata players
Dino Baggio	1971 births, Living people, Italian footballers
Hong Myung-bo	1969 births, Living people, South Korean footballers, South Korean football managers, People from Seoul
Giancarlo Antognoni	1954 births, Living people, Italian footballers
Seigo Narazaki	1976 births, Living people, Footballers from Nara Prefecture, Japan international footballers, J1 League players, J2 League players, Yokohama Flügels players, Nagoya Grampus players, 1998 FIFA World Cup players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, 2010 FIFA World Cup players, 2001 FIFA Confederations Cup players, 2003 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 1996 AFC Asian Cup players
Christian Vieri	1973 births, Living people, Italian footballers, People from Bologna
Careca	1960 births, Living people, Brazilian footballers
Demetrio Albertini	1971 births, Living people, Italian footballers
Philippe Troussier	1955 births, Living people, French footballers, French football managers, Japan national football team managers
Kunishige Kamamoto	1944 births, Living people, Footballers from Kyoto Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Cerezo Osaka players, Footballers at the 1964 Summer Olympics, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Frank Rijkaard	1962 births, Living people, Dutch football managers, Dutch footballers, Sportspeople from Amsterdam, Eredivisie managers
Diego Sinagra	1986 births, Living people, Italian footballers
Masami Ihara	1967 births, Living people, Footballers from Shiga Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Yokohama F. Marinos players, Júbilo Iwata players, Urawa Red Diamonds players, 1998 FIFA World Cup players, 1995 King Fahd Cup players, 1988 AFC Asian Cup players, 1992 AFC Asian Cup players, 1996 AFC Asian Cup players, AFC Asian Cup-winning players
Noh Jung-yoon	1971 births, Living people, South Korean footballers, People from Incheon
Guido Buchwald	1961 births, Living people, German footballers, German football managers, Sportspeople from Berlin
Edwin van der Sar	1970 births, Living people, Association football goalkeepers, Dutch footballers, Manchester United F.C. players, Sportspeople from South Holland
Hiroaki Morishima	1972 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, J1 League players, J2 League players, Japan Soccer League players, Cerezo Osaka players, 1998 FIFA World Cup players, 2002 FIFA World Cup players, 2001 FIFA Confederations Cup players, 1996 AFC Asian Cup players, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Shimizu S-Pulse	Japanese football clubs, Shizuoka Prefecture, 1991 establishments in Japan
Vegalta Sendai	Japanese football clubs, Sendai, Miyagi
Omiya Ardija	Japanese football clubs, Saitama Prefecture
Montedio Yamagata	Japanese football clubs, Yamagata Prefecture
Appendix (anatomy)	Humans, Evolutionary biology
McGregor, Iowa	Cities in Iowa
McIntire, Iowa	Cities in Iowa
Mechanicsville, Iowa	Cities in Iowa
Mediapolis, Iowa	Cities in Iowa
Melbourne, Iowa	Cities in Iowa
Melcher-Dallas, Iowa	Cities in Iowa
Melrose, Iowa	Cities in Iowa
Melvin, Iowa	Cities in Iowa
Menlo, Iowa	Cities in Iowa
Meriden, Iowa	Cities in Iowa
Merrill, Iowa	Cities in Iowa
Meservey, Iowa	Cities in Iowa
Middletown, Iowa	Cities in Iowa
Miles, Iowa	Cities in Iowa
Milford, Iowa	Cities in Iowa
Millersburg, Iowa	Cities in Iowa
Millerton, Iowa	Cities in Iowa
Millville, Iowa	Cities in Iowa
Milo, Iowa	Cities in Iowa
Milton, Iowa	Cities in Iowa
Minburn, Iowa	Cities in Iowa
Minden, Iowa	Cities in Iowa
Mingo, Iowa	Cities in Iowa
Missouri Valley, Iowa	Cities in Iowa
Mitchell, Iowa	Cities in Iowa
Mitchellville, Iowa	Cities in Iowa
Modale, Iowa	Cities in Iowa
Mondamin, Iowa	Cities in Iowa
Monmouth, Iowa	Cities in Iowa
Monona, Iowa	Cities in Iowa
Monroe, Iowa	Cities in Iowa
Monticello, Iowa	Cities in Iowa
Montour, Iowa	Cities in Iowa
Montrose, Iowa	Cities in Iowa
Moorhead, Iowa	Cities in Iowa
Moorland, Iowa	Cities in Iowa
Moravia, Iowa	Cities in Iowa
Morley, Iowa	Cities in Iowa
Morning Sun, Iowa	Cities in Iowa
Morrison, Iowa	Cities in Iowa
Moulton, Iowa	Cities in Iowa
Mount Auburn, Iowa	Cities in Iowa
Mount Ayr, Iowa	Cities in Iowa, County seats in Iowa
Mount Pleasant, Iowa	Cities in Iowa, County seats in Iowa
Mount Sterling, Iowa	Cities in Iowa
Mount Union, Iowa	Cities in Iowa
Mount Vernon, Iowa	Cities in Iowa
Moville, Iowa	Cities in Iowa
Murray, Iowa	Cities in Iowa
Mystic, Iowa	Cities in Iowa
Nashua, Iowa	Cities in Iowa
Nemaha, Iowa	Cities in Iowa
Neola, Iowa	Cities in Iowa
Nevada, Iowa	Cities in Iowa, County seats in Iowa
New Albin, Iowa	Cities in Iowa
New Hampton, Iowa	Cities in Iowa, County seats in Iowa
New Hartford, Iowa	Cities in Iowa
New Liberty, Iowa	Cities in Iowa
New London, Iowa	Cities in Iowa
New Market, Iowa	Cities in Iowa
New Providence, Iowa	Cities in Iowa
New Sharon, Iowa	Cities in Iowa
New Vienna, Iowa	Cities in Iowa
New Virginia, Iowa	Cities in Iowa
Newell, Iowa	Cities in Iowa
Newhall, Iowa	Cities in Iowa
Newton, Iowa	Cities in Iowa, County seats in Iowa
Nichols, Iowa	Cities in Iowa
Nodaway, Iowa	Cities in Iowa
Nora Springs, Iowa	Cities in Iowa
North Buena Vista, Iowa	Cities in Iowa
North English, Iowa	Cities in Iowa
North Liberty, Iowa	Cities in Iowa
Candiru	Catfish, Freshwater fish
North Washington, Iowa	Cities in Iowa
Northboro, Iowa	Cities in Iowa
Northwood, Iowa	Cities in Iowa, County seats in Iowa
Norwalk, Iowa	Cities in Iowa
Norway, Iowa	Cities in Iowa
Numa, Iowa	Cities in Iowa
Oakland, Iowa	Cities in Iowa
Oakland Acres, Iowa	Cities in Iowa
Oakville, Iowa	Cities in Iowa
Ocheyedan, Iowa	Cities in Iowa
Odebolt, Iowa	Cities in Iowa
Oelwein, Iowa	Cities in Iowa
Ogden, Iowa	Cities in Iowa
Okoboji, Iowa	Cities in Iowa
Olds, Iowa	Cities in Iowa
Olin, Iowa	Cities in Iowa
Ollie, Iowa	Cities in Iowa
Onawa, Iowa	Cities in Iowa, County seats in Iowa
Onslow, Iowa	Cities in Iowa
Orange City, Iowa	Cities in Iowa, County seats in Iowa
Orchard, Iowa	Cities in Iowa
Orient, Iowa	Cities in Iowa
Orleans, Iowa	Cities in Iowa
Osage, Iowa	Cities in Iowa, County seats in Iowa
Osceola, Iowa	Cities in Iowa, County seats in Iowa
Oskaloosa, Iowa	Cities in Iowa, County seats in Iowa
Ossian, Iowa	Cities in Iowa
Osterdock, Iowa	Cities in Iowa
Otho, Iowa	Cities in Iowa
Oto, Iowa	Cities in Iowa
Ottosen, Iowa	Cities in Iowa
Ottumwa, Iowa	Cities in Iowa, County seats in Iowa
Owasa, Iowa	Cities in Iowa
Oxford, Iowa	Cities in Iowa
Oxford Junction, Iowa	Cities in Iowa
Oyens, Iowa	Cities in Iowa
Pacific Junction, Iowa	Cities in Iowa
Packwood, Iowa	Cities in Iowa
Palmer, Iowa	Cities in Iowa
Palo, Iowa	Cities in Iowa
Panama, Iowa	Cities in Iowa
Panora, Iowa	Cities in Iowa
Panorama Park, Iowa	Cities in Iowa
Parkersburg, Iowa	Cities in Iowa
Parnell, Iowa	Cities in Iowa
Paton, Iowa	Cities in Iowa
Patterson, Iowa	Cities in Iowa
