ImJayStation	1990 births, Living people
Moussa Dadis Camara	1964 births, Presidents of Guinea, Living people
Lansana Conté	1934 births, 2008 deaths, Presidents of Guinea
Ahmed Sékou Touré	1922 births, 1984 deaths, Presidents of Guinea, Prime Ministers of Guinea, Dictators
2021 Guinean coup d'état	2021 in Africa, Coups d'état, Guinea, September 2021 events
Christy Dignam	1960 births, Living people, People with cancer, Irish rock musicians, Irish singer-songwriters, Musicians from Dublin, Singers from Dublin, Writers from Dublin
Panorama Tower	Buildings and structures in Miami, Florida
One Bayfront Plaza	Buildings and structures in Miami, Florida, Proposed skyscrapers in the United States
Consanguinamory	Relationships, Human sexuality, Incest
Movie Star Inc.	Companies based in New York City, Clothing companies
Movie Stars	1990s American sitcoms, 2000s American sitcoms, English-language television programs, The WB original programming
Lai Khutsangbi	Meitei folklore, Meitei literature, Meitei mythology
João Sayad	1945 births, 2021 deaths, Brazilian economists, Academics, People from São Paulo, Deaths from blood cancer
Billy Apple	1935 births, 2021 deaths, New Zealand artists, People from Auckland
Assembly of Vojvodina	Serbia
Sándor Egeresi	1964 births, 2021 deaths, Serbian politicians, Hungarian politicians, Legislative speakers
The Sea of Grass	1947 movies, 1940s western movies, 1940s drama movies, American western movies, American drama movies, MGM movies, Movies based on books, Movies directed by Elia Kazan
Zanele kaMagwaza-Msibi	Mayors, South African politicians, 2021 deaths, 1962 births, Deaths from the COVID-19 pandemic in South Africa
Iván Vitányi	1925 births, 2021 deaths, Hungarian politicians, Hungarian writers, Philosophers, Essayists, Hungarian scientists, Sociologists
György Faludy	1910 births, 2006 deaths, Bisexual Jews, Hungarian Jews, Hungarian writers, LGBT writers, People from Budapest, Hungarian poets, LGBT poets
Imre Mécs	1933 births, Living people, Hungarian politicians, People from Budapest
Kayin State	Pages using infobox settlement with possible demonym list, Coordinates on Wikidata, Articles containing Burmese-language text, States of Myanmar
Klára Dobrev	1972 births, Living people, Hungarian politicians, Members of the European Parliament
Lee Jae-myung	1964 births, Living people, South Korean politicians, Mayors
Salaam Bombay!	1988 crime movies, 1988 drama movies, Indian movies, British crime drama movies, French crime movies, French drama movies, Canadian drama movies, Movies directed by Mira Nair
Domodedovo (town)	Towns in Russia
Skoda Lupo	1990s automobiles, 2000s automobiles, Volkswagen automobiles
Škoda Lupo	1990s automobiles, 2000s automobiles, Volkswagen automobiles
Beware of Pity	1946 movies, 1940s romance movies, 1940s drama movies, British romantic drama movies, Movies based on books, Movies directed by Maurice Elvey
Rom Houben	1963 births, Living people, Belgian people
Adonis Stevenson	Living people, 1977 births, Haitian people, Canadian boxers, Criminals, Sportspeople from Montreal
Nurul Huda Abdullah	1972 births, Living people, Malaysian sportspeople, Swimmers
Phyllomedusa trinitatis	Frogs, Animals of South America
James Hemings	1765 births, 1801 deaths, History, People from Virginia, Slaves
Maury Laws	1911 births, 2002 deaths, American movie score composers, Musicians from North Carolina, Musicians from Wisconsin, People from Appleton, Wisconsin, American songwriters
Tony Selby	1938 births, 2021 deaths, English movie actors, English television actors, English stage actors, Actors from London
Jan Hecker	1967 births, 2021 deaths, Ambassadors of Germany, German judges, German lawyers, People from Kiel, German academics
Trove	2009 establishments in Australia, Databases,  Wikipedia identifier articles
Bal Ganesh	2007 animated movies, Indian movies
If—	Poems
Greenwashing	Environmental issues, Green politics
Hindu deities	Hindu mythology
Flyby (spaceflight)	Astronomy, Pages with unreviewed translations
List of ongoing armed conflicts	Conflicts, History-related lists
Kira Girard	American television personalities, Living people
Nella Linhas Aéreas	Airlines of South America
South Kingstown, Rhode Island	Towns in Rhode Island, County seats in Rhode Island
Burke, Texas	Cities in Texas
Diboll, Texas	Cities in Texas
Hudson, Texas	Cities in Texas
Huntington, Texas	Cities in Texas
Zavalla, Texas	Cities in Texas
Animal Diversity Web	Biological databases, Wikipedia identifier articles
ARKive	Biological databases, Wikipedia identifier articles
Barcode of Life Data Systems	Biological databases, Wikipedia identifier articles
Xenosaga Freaks	2004 video games, Puzzle video games, Adventure games, PlayStation 2 games, PlayStation 2-only games, Video games developed in Japan, Japan exclusive video games, Compilation video games
Fossilworks	Biological databases, Wikipedia identifier articles
Interim Register of Marine and Nonmarine Genera	Biological databases, Wikipedia identifier articles
Matej Marin	1980 births, 2021 deaths, Slovenian sportspeople, Cyclists
Dan Swecker	1947 births, 2021 deaths, Deaths from the COVID-19 pandemic in the United States, Deaths from pneumonia, State legislators of the United States, Politicians from Montana, Politicians from Washington, US Republican Party politicians, People from Bozeman, Montana
Léonard Groguhet	1939 births, 2021 deaths, Ivorian people, African actors, Comedians
Jörg Schlaich	1934 births, 2021 deaths, German engineers, People from Baden-Württemberg
Olympiastadion (Munich)	Buildings and structures in Munich, Football stadiums in Germany, Sport in Munich
Mercedes-Benz Arena (Stuttgart)	Football stadiums in Germany, Buildings and structures in Baden-Württemberg, Stuttgart
Albert Giger	1946 births, 2021 deaths, Swiss Olympic medalists, Olympic bronze medalists, Skiers
Penne-d'Agenais	Communes in Lot-et-Garonne
Marcel Garrouste	1921 births, 2021 deaths, French mayors, French centenarians
Claude Azéma	1943 births, 2021 deaths, French Roman Catholics, Roman Catholic bishops
Vailhauquès	Communes in Hérault
In the Line of Fire	1993 action movies, 1993 thriller movies, 1990s action thriller movies, American action thriller movies, Movies set in Washington, D.C., Movies set in Los Angeles, California, Movies set in Chicago, Illinois, Columbia Pictures movies, Movies directed by Wolfgang Petersen, English-language movies
Carlos Vila Nova	1959 births, Living people, African politicians
Ernie Watts	1945 births, Living people, American jazz musicians, American R&B musicians, American saxophonists, Musicians from Virginia, People from Norfolk, Virginia
Jack Rule Jr.	1938 births, Living people, American golfers, Sportspeople from Iowa, People from Waterloo, Iowa
William Taubman	1941 births, Living people, American political scientists, Pulitzer Prize winners, Writers from New York City
Gilbert Strang	1934 births, Living people, American mathematicians, American academics, Writers from Chicago
Dave Giusti	1939 births, Living people, Houston Astros players, St. Louis Cardinals players, Pittsburgh Pirates players, Oakland Athletics players, Chicago Cubs players, Sportspeople from New York
Seneca Falls (CDP), New York	Census-designated places in New York (state)
Seneca Falls, New York	Towns in New York
Nicole Brossard	1943 births, Living people, French poets, French novelists, Writers from Montreal, Feminist writers
Randy Brecker	1945 births, Living people, Grammy Award winners, American jazz musicians, American funk musicians, American R&B musicians, American rock musicians, Musicians from Pennsylvania
Cheltenham Township, Montgomery County, Pennsylvania	Townships in Pennsylvania
Elkins Park, Pennsylvania	Census-designated places in Pennsylvania, Unincorporated communities in Pennsylvania
Joe Pepitone	1940 births, Living people, New York Yankees players, Houston Astros players, Chicago Cubs players, Atlanta Braves players, Sportspeople from Brooklyn
Acute coronary syndrome	Syndromes
Chest pain	Medical emergencies
Coronary arteries	Blood vessels
Keshav Desiraju	1955 births, 2021 deaths, Deaths from coronary artery disease, Indian activists, Indian politicians, People from Bombay
E. William Henry	1929 births, Living people, Chairmen of the Federal Communications Commission, US Democratic Party politicians
Charles D. Ferris	Living people, 1933 births, American lawyers, Chairmen of the Federal Communications Commission, Politicians from Boston, Massachusetts, US Democratic Party politicians
Michael Copps	1940 births, Living people, Chairmen of the Federal Communications Commission, Politicians from Milwaukee, Wisconsin, US Democratic Party politicians
List of chairmen of the Federal Communications Commission	Chairmen of the Federal Communications Commission
Street Fighter IV	2008 video games, Arcade games, Android (operating system) games, Capcom games, Fighting games, PlayStation 3 games, Street Fighter video games, Video game sequels, Video games developed in Japan, Windows games, Xbox 360 games
Frank Plumpton Ramsey	1903 births, 1930 deaths, British mathematicians, English writers, English philosophers, English mathematicians, Essayists, Analytic philosophers, British economists, English atheists, People from Cambridge
After Love (1948 movie)	1948 movies, 1940s drama movies, French drama movies, Movies based on plays, Movies directed by Maurice Tourneur
Hanuba Hanubi Paan Thaaba	Meitei folklore, Meitei literature, Meitei mythology
File inclusion vulnerability	Internet security
Trémons	Communes in Lot-et-Garonne
Eugene N. Borza	1935 births, 2021 deaths, American historians, American academics, Writers from Cleveland, Ohio, Writers from Pennsylvania
Enrique González Pedrero	1930 births, 2021 deaths, Mexican politicians, Mexican writers, Political writers, Ambassadors of Mexico
Villahermosa	Capital cities in Mexico, Tabasco (state)
Pflugerville, Texas	Cities in Texas
Only God Forgives	2013 action movies, 2013 crime movies, 2013 drama movies, Danish movies, French action movies, French crime movies, French drama movies, American action movies, American crime drama movies, Swedish movies, Belgian movies, Thai movies, Movies directed by Nicolas Winding Refn
Phyllomedusa bahiana	Frogs, Animals of South America
Asiatic Society of Bangladesh	1952 establishments in Asia
Zahra Rahnavard	1945 births, Living people, Iranian Muslims, Iranian politicians
Edgar de Wahl	1867 births, 1948 deaths, Interlingue, Linguists, Mathematicians
Interlingue-Union	Interlingue
Ameer Zaman	1956 births, 2021 deaths, Pakistani politicians
Sam Cunningham	1950 births, 2021 deaths, American football fullbacks, New England Patriots players, Sportspeople from California, People from Santa Barbara, California
Jahangir Butt	1943 births, 2021 deaths, Pakistani people, Olympic gold medalists, Olympic silver medalists, Ice hockey players
Black Oak Arkansas	Musicians from Arkansas, American rock bands, 1963 establishments
Severian Yakymyshyn	1930 births, 2021 deaths, Bishops, People from Alberta, People from Vancouver
Adam Baumann	1948 births, 2021 deaths, Polish movie actors, Polish television actors, Polish stage actors
Grudziądz	Cities in Poland
Nino Castelnuovo	1936 births, 2021 deaths, Italian movie actors, Italian television actors, Italian stage actors, Italian voice actors, Disease-related deaths in Rome
Doug Ose	1955 births, Living people, United States representatives from California, Businesspeople from California, Politicians from Sacramento, California, US Republican Party politicians
Carmine Infantino	1925 births, 2013 deaths, American comics artists, American editors, Artists from New York City
Rescue Union School District	El Dorado County, California
Paul Belmondo	1963 births, Living people, Formula One drivers, French sportspeople, People from Hauts-de-France
Pascale Petit (actress)	1938 births, Living people, French movie actors, French television actors, French stage actors, Actors from Paris
Fabio Testi	1941 births, Living people, Italian movie actors, Italian stage actors, Stuntmen
Peschiera del Garda	Settlements in Veneto
Tony Maudsley	1968 births, Living people, English television actors, English movie actors, Actors from Liverpool
Paula Wilcox	1949 births, Living people, English television actors, English stage actors, Actors from Manchester
Nash, Texas	Cities in Texas
Red Lick, Texas	Cities in Texas
Redwater, Texas	Cities in Texas
Phyllomedusa chaparroi	Frogs, Animals of South America
United Nations Parliamentary Assembly	United Nations
Carole Bouquet	1957 births, Living people, French movie actors, French television actors, French stage actors, French models
Sebastian Roché	1964 births, Living people, French movie actors, French television actors, French stage actors, French voice actors, Actors from Paris
Céline Sallette	1980 births, Living people, French movie actors, French television actors, French stage actors, French voice actors, People from Bordeaux
Olivier Martinez	1966 births, Living people, French movie actors, French television actors, French stage actors, French voice actors, Actors from Paris
Asia Kate Dillon	1984 births, Living people, American movie actors, American television actors, American voice actors, LGBT actors, LGBT people from New York City, Actors from New York City, People from Ithaca, New York, Pansexual people, People with non-binary gender identities
Amber Ruffin	1979 births, Living people, American television presenters, American television writers, American playwrights, American movie actors, American television actors, Comedians from Nebraska, Writers from Omaha, Nebraska, Actors from Omaha, Nebraska
Peacock (streaming service)	NBC
Raymond Hood	1881 births, 1934 deaths, American architects, People from Pawtucket, Rhode Island
Khamen Chatpa	Meitei culture, Meitei clothing, Meitei religion
American Radiator Building	Buildings and structures in New York City
J. André Fouilhoux	1879 births, 1945 deaths, Accidental deaths from falls in the United States, French architects, American architects, Naturalized citizens of the United States, People from Paris
Daily News Building	Skyscrapers in New York City, Buildings and structures in Manhattan
Arkhangelsk	Capital cities in Russia
Ufology	UFOs, Pseudoscience
Kajenglei	Meitei culture, Meitei clothing, Meitei religion
Hasan Akhund	Living people, 1940s births, 1950s births, Taliban, Prime Ministers of Afghanistan
Paolo Salvati	1939 births, 2014 deaths, Italian painters, Rome
Symbolic anthropology	Culture, Anthropology
Tolyatti	Cities in Russia
Antonio Roulet	Living people, Swiss musicians, British musicians
V(D)J recombination	Immunology, Blood cells
Phyllomedusa distincta	Frogs, Animals of South America
Mute R. Kelly	Sexual abuse, Feminism, Controversies, Companies based in Atlanta, Georgia, 2017 establishments in the United States
Black-winged stilt	Birds
Pheichom	Meitei culture, Meitei clothing
2016 Witney by-election	Elections in the United Kingdom, 2016 in the United Kingdom, Oxfordshire
Muhammad ibn al-Uthaymeen	1925 births, 2001 deaths, Saudi Arabian people, Imams

