Executive order (United States)	United States law
Mizrahi Jews	Jewish ethnic groups, Ethnic groups in the Middle East, Asian Jews
Chermignon	Former municipalities of Valais
Bilawal Shah Noorani	Saints, Asian Sufis, Muslims
Wesel citadel	Buildings and structures in North Rhine-Westphalia, Forts, Wesel (district)
Tobias Kempe	1989 births, Living people, German footballers, People from Wesel, Sportspeople from North Rhine-Westphalia
Hla Myint	1920 births, 2017 deaths, Economists, Burmese people
Keke Rosberg	1948 births, Living people, Finnish racecar drivers, Formula One drivers
Denny Hulme	1936 births, 1992 deaths, Cardiovascular disease deaths in New South Wales, Deaths from myocardial infarction, Formula One drivers, New Zealand sportspeople, Officers of the Order of the British Empire
Mohamed Mijarul Quayes	1960 births, 2017 deaths, Bangladeshi people, Deaths from multiple organ failure, Asian diplomats, Disease-related deaths in Brazil
Preto Hendrik	Angolan people, 1994 births, Living people
Surface chemistry	Physical chemistry
Purim	Jewish festivals and holidays
Gif-sur-Yvette	Communes in Essonne
Tennis court	Tennis venues, Tennis
Vézère	Rivers of France, Nouvelle-Aquitaine
AlphaBay	Internet
Robert James Waller	1939 births, 2017 deaths, Deaths from multiple myeloma, American photographers, American educators, Musicians from Iowa, Writers from Iowa
Ángel Parra	1943 births, 2017 deaths, Deaths from lung cancer, Chilean singers, Chilean writers, Songwriters, People from Valparaíso
Calypso music	Music genres
Robin Bengtsson	1990 births, Living people, Eurovision Song Contest entrants, Swedish singers
Gido Kokars	1921 births, 2017 deaths, Latvian people, Twin people, Latvian educators, Conductors
András Kovács	1925 births, 2017 deaths, Hungarian movie directors, Hungarian screenwriters
Richard Wagamese	1955 births, 2017 deaths, Canadian novelists, Canadian journalists, Canadian poets, Writers from British Columbia
Aníbal Ruiz	1942 births, 2017 deaths, Deaths from myocardial infarction, Uruguayan footballers, Uruguayan football managers
Tommy John	1943 births, American baseball players, Cleveland Indians players, New York Yankees players, Chicago White Sox players, Los Angeles Dodgers players, Oakland Athletics players
Tony Haygarth	1945 births, 2017 deaths, Deaths from Alzheimer's disease, English movie actors, English television actors, English voice actors, Actors from Liverpool
John Forgeham	1941 births, 2017 deaths, Accidental deaths from falls, English movie actors, English television actors, Actors from Worcestershire
Chippis	Municipalities of Valais
Grimentz	Villages in Valais, Former municipalities of Valais
Grône	Municipalities of Valais
Icogne	Municipalities of Valais
Music School Kosta Manojlovic in Zemun	Music schools, Buildings and structures in Serbia
Sirinai Mandar	1985 books, Short story collections
Artificial leather	Materials
Kitty Courbois	1937 births, 2017 deaths, Deaths from cerebral hemorrhage, Dutch movie actors, Dutch television actors, People from Nijmegen
Murray Ball	1939 births, 2017 deaths, Cartoonists, Officers of the New Zealand Order of Merit, Deaths from dementia, People from North Island
Shifa Gardi	Kurdish people, Journalists, 1986 births, 2017 deaths
BandNews FM	Brazilian culture, Radio, 2005 establishments in South America, 2000s establishments in Brazil
Expelliarmus	Harry Potter
Steve Nicol	1961 births, Living people, Association football defenders, Association football full-backs, Liverpool F.C. players, Scottish football managers, Scottish footballers
Rádio Trânsito	Radio stations
Chilcote	Villages in Leicestershire
BandNews TV	Television channels
Direct reduced iron	Iron
After Blenheim	18th-century British poems
Kleve	Towns in North Rhine-Westphalia
United Torah Judaism	1992 establishments in Israel, Judaism in Israel, Political parties in Israel
Sports bra	Sports clothing, Swimwear
RMS Empress of Ireland	1914, May events, Ships of Canada
École nationale supérieure de formation de l’enseignement agricole	Technical colleges and universities in Toulouse, 1963 establishments in Europe, 1960s establishments in France
Chained to the Rhythm	Katy Perry songs, 2017 songs
Horst Ehmke	1927 births, 2017 deaths, German academics, German lawyers, Government ministers of Germany, People from former German territories, People from Gdańsk, Politicians of the Social Democratic Party of Germany
Probyn Inniss	1936 births, 2017 deaths, Saint Kitts and Nevis people, Governors
Adib Boroumand	1924 births, 2017 deaths, Iranian politicians, Iranian poets, Lawyers
Amy Krouse Rosenthal	1965 births, 2017 deaths, Deaths from ovarian cancer, Cancer deaths in Chicago, American children's writers, American novelists, Writers from Chicago, Movie directors from Chicago
Kasugafuji Akihiro	1966 births, 2017 deaths, Deaths from heart failure, Japanese sumo wrestlers
Anna Tramontano	1957 births, 2017 deaths, Italian scientists, Biologists, Italian educators, People from Naples
Ed Whitlock	1931 births, 2017 deaths, Deaths from prostate cancer, English sportspeople, Canadian sportspeople, Sportspeople from London
Titanium (song)	2011 songs, David Guetta songs
Travis Scott	1991 births, Living people
Yisrael Beiteinu	1999 establishments, 1990s establishments in Israel, Political parties in Israel, Zionist parties, Conservative parties
Eisenkammer Pirna	Iron
El Mutún	Iron
PlayStation Eye	PlayStation, Video game technology
Meretz	1992 establishments in Israel, Green political parties, Political parties in Israel, Social democratic parties, Zionist parties
Civil Marriage Act (Canada)	Legislation, Canada
Golden God	2016 albums, Debut albums, Hip hop albums, R&B albums
Richard, 6th Prince of Sayn-Wittgenstein-Berleburg	1934 births, 2017 deaths, Deaths from myocardial infarction, German people, Princes and princesses
Kika de la Garza	1927 births, 2017 deaths, Deaths from renal failure, Disease-related deaths in Texas, United States representatives from Texas, US Democratic Party politicians
Prunus virginiana	Plums, Trees
Symsyn	Programming languages
Jack H. Harris	1918 births, 2017 deaths, Deaths from pneumonia, American movie producers, Businesspeople from Philadelphia, Pennsylvania
Peter M. Gruber	1941 births, 2017 deaths, Academics, Austrian scientists, Mathematicians, People from Klagenfurt
Saint-Bertrand-de-Comminges	Communes in Haute-Garonne
Lens, Switzerland	Municipalities of Valais
Wrexham	Towns in Wales
Ferrosilicon	Iron
Zionist Union	2014 establishments in Israel, 2010s disestablishments in Asia, Former political parties in Israel, Zionist parties
Ralf Krewinkel	1974 births, Living people, Aldermen of the Netherlands, Dutch councillors, Dutch mayors, Labour Party (Netherlands) politicians, Politicians from Limburg (Netherlands)
Bimmen	Villages in North Rhine-Westphalia
Alice Teodorescu	Living people, 1984 births, Swedish people, Jurists
Dolly Style	Swedish pop music groups
Kristina Winberg	1965 births, Living people, Members of the European Parliament, Swedish politicians
Iris Mittenaere	1993 births, Living people
Joint List	2015 establishments in Israel, Political parties in Israel
Al-Qa'imah al-Mushtarakah	2015 establishments in Israel, Political parties in Israel
Josh Dun	Grammy Award winners, 1988 births, Living people, American rock drummers, American pop musicians, Musicians from Columbus, Ohio
Monotonic function	Algebra
Destroyer	Warships
Sok An	1950 births, 2017 deaths, Cambodian people, Politicians
Enrique Morea	1924 births, 2017 deaths, Deaths from natural causes, Argentine tennis players, Sportspeople from Buenos Aires
Richard H. Solomon	1937 births, 2017 deaths, Deaths from brain cancer, Ambassadors of the United States, Politicians from Philadelphia, Pennsylvania
Henri Cueco	1929 births, 2017 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Paris, French painters, Anti-Communists, French radio personalities, Libertarians, Activists, French essayists, French novelists, Writers from Paris
John Van de Kamp	1936 births, 2017 deaths, Disease-related deaths in California, Attorneys general, American lawyers, Politicians from California, People from Pasadena, California, US Democratic Party politicians
Rodrigo Valdéz	1946 births, 2017 deaths, Deaths from myocardial infarction, Colombian sportspeople, Boxers
Jim McAnearney	1935 births, 2017 deaths, Scottish footballers, Scottish football managers, Coaches, People from Dundee
Royal Robbins	1935 births, 2017 deaths, Disease-related deaths in California, Businesspeople from California, Businesspeople from West Virginia, Writers from West Virginia, Sportspeople from West Virginia, Sportspeople from California, Writers from California
The Intouchables	2011 comedy movies, French drama movies, Buddy movies, Movies set in Paris
Marcelino dos Santos	1929 births, 2020 deaths, Mozambican people, Poets, African writers, African politicians
Doina Cornea	1929 births, 2018 deaths, Romanian people, Human rights activists
Alfred Moisiu	1929 births, Living people, Presidents of Albania
Selim Hoss	1929 births, Living people, Presidents of Lebanon, Prime Ministers of Lebanon, Writers
Lee Hyun-jae	1929 births, Living people, Prime Ministers of South Korea
Milan Panić	1929 births, Living people, Prime ministers, Yugoslavian people, Naturalized citizens of the United States, American philanthropists, Humanitarians, Businesspeople from California
Efraín Goldenberg	1929 births, Living people, Jewish politicians, People from Lima, Prime Ministers of Peru, South American Jews
Omar Sy	1978 births, Living people, French movie actors, French television actors, French voice actors, French comedians, Muslims
Le Vigan, Gard	Subprefectures in France, Communes in Gard
Alès	Subprefectures in France, Communes in Gard
Geoffrey Wainwright	1937 births, 2017 deaths, British archaeologists, British scientists, British educators
Torgny Lindgren	1938 births, 2017 deaths, Deaths from stomach cancer, Cancer deaths in Sweden, Swedish poets, Swedish novelists
Wojciech Młynarski	1941 births, 2017 deaths, Cancer deaths in Poland, Polish poets, Polish singers, Songwriters, People from Warsaw
List of World Heritage Sites in Eastern Europe	World Heritage Sites in Europe, Lists of World Heritage sites, Europe-related lists
Dave Stallworth	1941 births, 2017 deaths, Deaths from myocardial infarction, New York Knicks players, Washington Wizards players, Sportspeople from Dallas, Texas, Sportspeople from Wichita, Kansas
Gardon d'Alès	Rivers of France, Occitanie
National parks of Ukraine	Lists of national parks, Ukraine, National parks in Europe, Europe-related lists
