Remo Sernagiotto	1955 births, 2020 deaths, Former MEPs, MEPs for Italy, Deaths from myocardial infarction
Lactic acid bacteria	Bacteria, Digestive system, Genetics
Property Is No Longer a Theft	1973 comedy movies, Italian comedy movies, French comedy movies, Movies directed by Elio Petri
Rattan	Wood, Arecaceae
Stucco	Building materials
Group 10 element	Transition metals, Periodic table
Cristian Gottfried Ehrenberg	1795 births, 1876 deaths, Anatomists, German botanists, German biologists, Foreign Members of the Royal Society, German Protestants
Group 7 element	Periodic table, Transition metals
Muslihan DS	1946 births, 2020 deaths, Deaths from the COVID-19 pandemic in Indonesia, Indonesian politicians
Primetime Emmy Award for Outstanding Lead Actress in a Drama Series	Primetime Emmy Awards
Peter Alliss	1931 births, 2020 deaths, English sports commentators, English television presenters, Golfers, Golf broadcasters, Writers from Berlin, Sportspeople from Berlin
List of presidents of France	Presidents of France
French Second Republic	Former countries in Europe, Former republics, 19th century establishments in France, 1848 establishments in Europe, 1850s disestablishments in Europe, Disestablishments in France, 1852, 1840s in Europe, 1850s in France, States and territories established in the 19th century, States and territories disestablished in the 19th century
Government of National Defense	Politics of France
French Third Republic	Politics of France, Former countries in Europe, Former republics, 1870s in Europe, 1880s in Europe, 1890s in Europe, 1900s in Europe, 1910s in France, 1920s in France, 1930s in France, 19th century establishments in France, 1870 establishments in Europe, 20th century disestablishments in France, 1940s disestablishments in Europe, 1940 disestablishments, States and territories established in the 19th century, States and territories disestablished in the 20th century
Provisional Government of the French Republic	1940s establishments in France, 1944 establishments in Europe, 20th century disestablishments in France, 1946 disestablishments in Europe, Politics of France
French Fourth Republic	Politics of France, Former countries in Europe, Former republics, 1940s in France, 1950s in Europe, 1940s establishments in France, 1946 establishments in Europe, 20th century disestablishments in France, 1950s disestablishments in Europe, 1958 disestablishments, States and territories established in the 1940s, States and territories disestablished in the 20th century
French Fifth Republic	Politics of France
French Directory	France
French Consulate	France
Jacques-Charles Dupont de l'Eure	1767 births, 1855 deaths, Presidents of France
French Executive Commission (1848)	France
Louis-Eugène Cavaignac	1802 births, 1857 deaths, Presidents of France, Prime Ministers of France, Politicians from Paris
Louis-Jules Trochu	1815 births, 1896 deaths, Presidents of France, Prime Ministers of France
Patrice de MacMahon	1808 births, 1893 deaths, Presidents of France
Jules Grévy	1807 births, 1891 deaths, Presidents of France
Félix Faure	1841 births, 1899 deaths, Presidents of France
Émile Loubet	1838 births, 1929 deaths, Prime Ministers of France, Presidents of France
Armand Fallières	1841 births, 1931 deaths, Prime Ministers of France, Presidents of France
Paul Deschanel	1855 births, 1922 deaths, Presidents of France
Alexandre Millerand	1859 births, 1943 deaths, Presidents of France, Prime Ministers of France
Gaston Doumergue	1863 births, 1937 deaths, Prime Ministers of France, Presidents of France
Paul Doumer	1857 births, 1932 deaths, Assassinated people, Murders by firearm, Presidents of France
Ruth Williams Khama	Botswana politicians, First Ladies
Albert Lebrun	1871 births, 1950 deaths, Presidents of the Senate (France), Presidents of France, Deaths from pneumonia
Félix Gouin	1884 births, 1977 deaths, Presidents of France, Presidents of the National Assembly (France)
Georges Bidault	1899 births, 1983 deaths, Presidents of France, Prime Ministers of France
Vincent Auriol	1884 births, 1966 deaths, Presidents of France, Presidents of the National Assembly (France)
Léon Blum	1872 births, 1950 deaths, Prime Ministers of France
René Coty	1882 births, 1962 deaths, Presidents of France
Pierre Werner	1913 births, 2002 deaths, Prime Ministers of Luxembourg
Viktor Klima	1947 births, Living people, Chancellors of Austria, Austrian businesspeople, Presidents of the European Council
Paavo Lipponen	1941 births, Living people, Presidents of the European Council, Prime Ministers of Finland, Speakers of the Parliament of Finland
Mirek Topolánek	1956 births, Living people, Presidents of the Czech Republic, Czech businesspeople
Prime Minister of the Czech Republic	Prime Ministers of the Czech Republic
List of prime ministers of the Czech Republic	Prime Ministers of the Czech Republic
Order of the Elephant	Danish culture, Orders, decorations, and medals
Order of Isabella the Catholic	19th century establishments in Spain, 1815 establishments in Europe, Orders, decorations, and medals
Military Order of Saint James of the Sword	Orders, decorations, and medals, Portuguese culture
Raymond Barre	1924 births, 2007 deaths, Prime Ministers of France, French Ministers of Finance
List of current presidents of the regional councils of France and the Corsican Assembly	French politicians
Ministry of the Economy and Finance (France)	French Ministers of Finance
Jacques Chaban-Delmas	1915 births, 2000 deaths, Politicians from Paris, Prime Ministers of France
Pierre Messmer	1916 births, 2007 deaths, Prime Ministers of France
Jean-Pierre Fourcade	1929 births, Living people, French Ministers of Finance
National Centre of Independents and Peasants	1940s establishments in France, 1949 establishments in Europe, Political parties in France
Independent Republicans	1960s establishments in France, 1962 establishments in Europe, Valéry Giscard d'Estaing, Political parties in France
Republican Party (France)	1970s establishments in France, 1977 establishments in Europe, 20th century disestablishments in France, 1997 disestablishments in Europe, Political parties in France, Valéry Giscard d'Estaing
Union for French Democracy	1970s establishments in France, 1978 establishments in Europe, 2000s disestablishments in France, 2007 disestablishments in Europe, Valéry Giscard d'Estaing, Political parties in France
Democratic Convention (France)	Political parties in France
Liberal Democracy (France)	Political parties in France
Croix de Guerre 1939–1945	Military honors, Military of France
École nationale d'administration	1945 establishments in France, Schools in France, Strasbourg
Henri Giscard d'Estaing	1956 births, Living people, French businesspeople, Valéry Giscard d'Estaing, People from Paris
Louis Giscard d'Estaing	1958 births, Living people, Politicians from Paris, Valéry Giscard d'Estaing
1974 French presidential election	20th century in France, 1974 in Europe, Presidential elections in France, Valéry Giscard d'Estaing
Trente Glorieuses	1940s in France, 1950s in Europe, 1960s in France, 1970s in Europe, Economic history
Constitutional Council (France)	France
Convention on the Future of Europe	Valéry Giscard d'Estaing, European Union
Treaty establishing a Constitution for Europe	European Union
1981 French presidential election	1981 in Europe, 20th century in France, Presidential elections in France, Valéry Giscard d'Estaing
Olivier Giscard d'Estaing	1927 births, French mayors, 2021 deaths, Valéry Giscard d'Estaing
Alexandre Parodi	French politicians, 1901 births, 1979 deaths
1st Army (France)	Army, Military of France
Lycée Janson-de-Sailly	Schools in France, Buildings and structures in Paris
Lycée Louis-le-Grand	16th century establishments in France, 1560s establishments in Europe, 1563 establishments, Colleges and universities in France, Buildings and structures in Paris
Inspection générale des finances (France)	Politics of France
Edgar Faure	1908 births, 1988 deaths, Prime Ministers of France, Presidents of the National Assembly (France)
1969 French presidential election	1969, 1960s in France, Presidential elections in France
1969 French constitutional referendum	1969, 1960s in France
Élysée Palace	Palaces, Buildings and structures in Paris, Presidents of France
European Monetary System	European Union
Helsinki Accords	1975, Gerald Ford
Opération Lamantin	Valéry Giscard d'Estaing, 1970s in Africa, 1977, 1978, Military of France, Mauritania, Wars
Jean-Bédel Bokassa	1921 births, 1996 deaths, Dictators, African politicians
Operation Caban	1979, Valéry Giscard d'Estaing, Military of France
David Dacko	1930 births, 2003 deaths, Deaths from myocardial infarction, Presidents of the Central Africa Republic, Prime Ministers of the Central African Republic
Diamonds Affair	Valéry Giscard d'Estaing, 1973, 20th century in France, Political scandals
Francisco Suárez	Articles with unsourced statements
Hôpital Européen Georges-Pompidou	Hospitals in France, Buildings and structures in Paris
European Liberal Democrat and Reform Party Group	1976 establishments in Europe, 2004 disestablishments in Europe, Liberal parties, European Union
Atomium - European Institute for Science, Media and Democracy	Establishments in Belgium, 2009 establishments in Europe, Non-profit organizations of Europe, Brussels, Valéry Giscard d'Estaing
Council of European Municipalities and Regions	20th century establishments in Belgium, 1951 establishments in Europe, Organizations based in Europe, Brussels
AEI World Forum	Gerald Ford, Valéry Giscard d'Estaing, Events in the United States
Trilateral Commission	Europe
1988 French presidential election	20th century in France, 1988 elections, Presidential elections in France
1995 French presidential election	1990s in France, 1995, Presidential elections in France
SAARC Literary Award	Asian culture, Literary awards
Gaullism	Political parties in France
Ordre national du Mérite	Orders, decorations, and medals of France
Order of the Southern Cross	Orders, decorations, and medals, Brazil
Nansen Refugee Award	1954 establishments, Awards
Order of Charles III	Orders, decorations, and medals, Spain
Sofema	Companies of France
Bronisław Malinowski	British anthropologists, British academics, Ethnography
Tropical Storm Bertha (2020)	Tropical cyclones in North America
Agamy	Relationships
Casus belli	Latin phrases, War
The Champ	1931 movies, 1930s drama movies, American drama movies, Movies directed by King Vidor
Flag of South Africa (1928–1994)	Flags, South Africa, 1928 establishments, 1994 disestablishments, Apartheid, Controversies
