Mametz, Somme	Former communes in Somme
Hautvillers-Ouville	Communes in Somme
Havernas	Communes in Somme
Faygate	Villages in West Sussex
Hébécourt, Somme	Communes in Somme
Longueville, Lot-et-Garonne	Communes in Lot-et-Garonne
Swift Xi	Establishments in Japan by decade, 2000s establishments in Japan, Technology companies of Japan, 2000s establishments in Asia
Ebermannsdorf	Amberg-Sulzbach
Edelsfeld	Amberg-Sulzbach
Laiphrakpam	Meitei surnames
Archery World Cup	Archery
Lairenjam	Meitei surnames
Lairenlakpam	Meitei surnames
Shin Okamoto	1949 births, 2009 deaths, Japanese musicians
Lairikyengbam	Meitei surnames
Laishangbam	Meitei surnames
Laishram	Meitei surnames
Koichi Miyazaki	1942 births, 2014 deaths, Musicians from Tokyo, Japanese guitarists
Laithangbam	Meitei surnames
Mikio Morita	1944 births, Living people, Musicians from Chiba Prefecture, Bass guitarists, Japanese guitarists
Laitonjam	Meitei surnames
Lambalmayum	Meitei surnames
Langpoklakpam	Meitei surnames
Leimajam	Meitei surnames
Leimapokpam	Meitei surnames
Leiphrakpam	Meitei surnames
Leishangbam	Meitei surnames
Leishangthem	Meitei surnames
Leitam	Meitei surnames
Leitanthem	Meitei surnames
Lisham	Meitei surnames
Yasuji Sato	1946 births, 2021 deaths, Japanese pianists
Loitongbam	Meitei surnames
Loktongbam	Meitei surnames
Longjam	Meitei surnames
Lourembam	Meitei surnames
Lousigam	Meitei surnames
Takeshi Hamano	1949 births, Living people, Japanese musicians
Lukram	Meitei surnames
Maharabam	Meitei surnames
Maibam	Meitei surnames
Maibram	Meitei surnames
Maikam	Meitei surnames
Maimom	Meitei surnames
Mainam	Meitei surnames
Mairembam	Meitei surnames
Maitham	Meitei surnames
Mandingbam	Meitei surnames
Mayangbam	Meitei surnames
Mayanglambam	Meitei surnames
Mayengbam	Meitei surnames
Meinam	Meitei surnames
Meitram	Meitei surnames
Moirangmayum	Meitei surnames
Moirangthem	Meitei surnames
Mudum	Meitei surnames
Murtum	Meitei surnames
Mutum	Meitei surnames
Hédauville	Communes in Somme
Chernivtsi	Cities in Ukraine
Ivano-Frankivsk	Cities in Ukraine
Kiss Me More	Doja Cat songs, Disco songs, SZA songs, 2021 songs
Jan Kubelík	1880 births, 1940 deaths, Czech composers, 20th century composers, Violinists, Musicians from Prague
Creola, Louisiana	Villages in Louisiana
Dry Prong, Louisiana	Villages in Louisiana
Georgetown, Louisiana	Villages in Louisiana
Cotton Valley, Louisiana	Towns in Louisiana
Cullen, Louisiana	Towns in Louisiana
Sibley, Louisiana	Towns in Louisiana
Dispur	Capital cities in India, Assam
Agartala	Capital cities in India, Tripura
Ensdorf, Bavaria	Amberg-Sulzbach
Etzelwang	Amberg-Sulzbach
Neukirchen bei Sulzbach-Rosenberg	Amberg-Sulzbach
Guillon-Terre-Plaine	2019 establishments in France, Communes in Yonne
Portugal national under-21 football team	National under-21 football teams, Football in Portugal
Glère	Communes in Doubs
Montancy	Communes in Doubs
Saint-Hippolyte, Doubs	Communes in Doubs
Montandon	Communes in Doubs
T-ICU	Companies of Japan, 2016 establishments in Japan
In America (movie)	2002 drama movies, Irish movies, British drama movies, American drama movies, 20th Century Fox movies, Movies directed by Jim Sheridan
Nahakpam	Meitei surnames
Nameirakpam	Meitei surnames
Nandeibam	Meitei surnames
Naorem	Meitei surnames
Naoroibam	Meitei surnames
Grid Network (company)	Indonesia, Companies
Nepram	Meitei surnames
Ngairangbam	Meitei surnames
Ngangbam	Meitei surnames
Ngangom	Meitei surnames
Ngasekpam	Meitei surnames
Ngasepam	Meitei surnames
Ningombam	Meitei surnames
Ningthoujam	Meitei surnames
Ningthoukhongjam	Meitei surnames
Nongmaithem	Meitei surnames
Nongmeikapam	Meitei surnames
Nongthombam	Meitei surnames
Okram	Meitei surnames
Khwairakpam	Meitei surnames
Pangambam	Meitei surnames
Pangshatabam	Meitei surnames
Paonam	Meitei surnames
Pebam	Meitei surnames
Phamdom	Meitei surnames
Phanjoubam	Meitei surnames
Pharembam	Meitei surnames
Pheiroijam	Meitei surnames
Phijam	Meitei surnames
Auto Modelista	2002 video games, Capcom games, Nintendo GameCube games, PlayStation 2 games, Racing video games, Video games developed in Japan, Xbox games
Phirem	Meitei surnames
Phurem	Meitei surnames
Phuritsabam	Meitei surnames
Pichimayum	Meitei surnames
Potshangbam	Meitei surnames
Pukhrambam	Meitei surnames
Miesbach	Miesbach (district)
Alinani Precious Metals Limited	2017 establishments
Tegernsee	Spa towns in Germany, Miesbach (district)
Bayrischzell	Miesbach (district)
Måneskin	Eurovision Song Contest winners, Italian musical groups
Fischbachau	Miesbach (district)
Zitti e buoni	2021 songs
Roman Protasevich	1995 births, Living people, Belarusian writers, Journalists, Political activists, Political prisoners according to Viasna Human Rights Centre
Ryanair Flight 4978	2021 in Europe, Athens, Aviation, History of Belarus, History of Greece, History of Lithuania, International relations, May 2021 events, Minsk, Vilnius
Minsk National Airport	Airports in Europe, Belarus
Jorge Larrañaga	1956 births, 2021 deaths, Deaths from myocardial infarction, Uruguayan politicians, People from Montevideo
Cristóbal Halffter	1930 births, 2021 deaths, Spanish composers, Conductors, Writers from Madrid
Villafranca del Bierzo	Municipalities in Castile and León
Gmund am Tegernsee	Miesbach (district)
Ron Hill	1938 births, 2021 deaths, British Olympians, British athletes, Sportspeople from Lancashire
Jill Hennessy	1968 births, Living people, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, Canadian singers, Actors from Alberta, People from Edmonton
Hausham	Miesbach (district)
Schliersee	Miesbach (district)
Dirty Harry (movie series)	Action movies, Series of movies, Warner Bros. movies
Harry Callahan (character)	Fictional American people
Sadokpam	Meitei surnames
Sagolsem	Meitei surnames
Salam (surname)	Meitei surnames
Samjetsabam	Meitei surnames
Samom	Meitei surnames
Sanasam	Meitei surnames
Sandam	Meitei surnames
Sandham	Meitei surnames
Sapam	Meitei surnames
Sarangthem	Meitei surnames
Sarungbam	Meitei surnames
Senjam	Meitei surnames
Seram	Meitei surnames
Shaikhom	Meitei surnames
Oleksii Prokhorenko	Living people, 1985 births, Ukrainian businesspeople
Shairem	Meitei surnames
Sinam	Meitei surnames
Soibam	Meitei surnames
Soraisam	Meitei surnames
Soram	Meitei surnames
Sorokhaibam	Meitei surnames
Soubam	Meitei surnames
Sougaijam	Meitei surnames
Sougrakpam	Meitei surnames
Soyam	Meitei surnames
Sukham	Meitei surnames
Nuns on the Run	1990 crime movies, 1990 comedy movies, 1990s criminal comedy movies, British criminal comedy movies, 20th Century Fox movies, Movies directed by Jonathan Lynn
A Heart in Winter	1992 romance movies, 1992 drama movies, 1990s romantic drama movies, French romance movies, French drama movies, Movies directed by Claude Sautet
Kherson	Cities in Ukraine
Lutsk	Cities in Ukraine
Novoselytsia	Cities in Ukraine
The Boxer (1997 movie)	1997 drama movies, 1990s sports movies, Irish movies, British drama movies, American sports drama movies, Universal Pictures movies, Movies directed by Jim Sheridan
Atorvastatin	Statins
Statin	Statins
Dendropsophus padreluna	Frogs, Animals of South America
Rosuvastatin	Statins
Pão de queijo	Breads, Brazilian food
Holzkirchen, Upper Bavaria	Miesbach (district)
Irschenberg	Miesbach (district)
Kobe Institute of Computing	Colleges and universities in Japan, 2005 establishments in Japan
Kreuth	Spa towns in Germany, Miesbach (district)
Otterfing	Miesbach (district)
Rottach-Egern	Miesbach (district)
Valley, Bavaria	Miesbach (district)
Waakirchen	Miesbach (district)
Warngau	Miesbach (district)
Weyarn	Miesbach (district)
Hongi	Traditions
Takenjam	Meitei surnames
Takhellambam	Meitei surnames
Takhelmayum	Meitei surnames
Taorem	Meitei surnames
Thangjam	Meitei surnames
Thaoroijam	Meitei surnames
Thingnam	Meitei surnames
Thingom	Meitei surnames
Thingujam	Meitei surnames
Thiyam	Meitei surnames
Thoidingjam	Meitei surnames
Thokchom	Meitei surnames
Thongam	Meitei surnames
Thongbam	Meitei surnames
Thongkhongmayum	Meitei surnames
Thongram	Meitei surnames
Thoudam	Meitei surnames
Siezbüttel	Former municipalities in Schleswig-Holstein, Steinburg (district)
Thounaojam	Meitei surnames
Jesca Wilfredy	1997 births, Living people, Tanzanian people
Cento Pittori via Margutta	Events in Europe, Art
Thunaojam	Meitei surnames
Toijam	Meitei surnames
Tonambam	Meitei surnames
Mixed (United Kingdom ethnicity category)	Ethnic groups in the United Kingdom
Tongbram	Meitei surnames
Torongbam	Meitei surnames
Toujam	Meitei surnames
Ukmabam	Meitei surnames
Urikhinbam	Meitei surnames
Uriksibam	Meitei surnames
Usham	Meitei surnames
Wahengbam	Meitei surnames
Waikhom	Meitei surnames
Wairokpam	Meitei surnames
Alberto Moioli	Art
Wangjam	Meitei surnames
Wangkheimayum	Meitei surnames
Wangkhem	Meitei surnames
Wangmayum	Meitei surnames
Warekpam	Meitei surnames
Watham	Meitei surnames
Dutch people in the United Kingdom	Ethnic groups in the United Kingdom
Yaikhom	Meitei surnames
Max Mosley	1940 births, 2021 deaths, British lawyers, British racecar drivers, Businesspeople from London, Sportspeople from London, Cancer deaths in London
Yambem	Meitei surnames
Yendembam	Meitei surnames
Carondelet Palace	Presidents of Ecuador, Quito
Yendrembam	Meitei surnames
Yengkhom	Meitei surnames
Yenshenbam	Meitei surnames
Yensembam	Meitei surnames
Yumkhaibam	Meitei surnames
Yumkham	Meitei surnames
Yumlembam	Meitei surnames
Yumnam	Meitei surnames
Yumrembam	Meitei surnames
Yurembam	Meitei surnames
Yurenjam	Meitei surnames
Aftab Shivdasani	actors from Mumbai
Rick Gomez	1972 births, Living people, Actors from New Jersey, American voice actors
Online piracy	Copyright infringement
Heilly	Communes in Somme
Hem-Hardinval	Communes in Somme
Hem-Monacu	Communes in Somme
LGBT rights in Peru	Peru, LGBT, Human rights, LGBT rights by country
Herbécourt	Communes in Somme
Peer-to-peer file sharing	Internet, File sharing
Tequeño	Venezuelan food, Breads, Snack foods
Dyslipidemia	Health
Asian Boxing Championships	Asian championships
Herleville	Communes in Somme
Herly, Somme	Communes in Somme
Hesbécourt	Communes in Somme
Hescamps	Communes in Somme
Yôichi Maeda (film director)	1934 births, 1998 deaths, People from Hyōgo Prefecture, Japanese movie directors
Grainau	Garmisch-Partenkirchen (district)
Bad Bayersoien	Spa towns in Germany, Garmisch-Partenkirchen (district)
Cachitos	Venezuelan food, Breads, Sandwiches
Gummo	1997 drama movies, 1990s teen drama movies, 1990s LGBT movies, American teen drama movies, American LGBT movies, Obscenity controversies
Murnau am Staffelsee	Garmisch-Partenkirchen (district)
Farchant	Garmisch-Partenkirchen (district)
Krün	Garmisch-Partenkirchen (district)
Mittenwald	Garmisch-Partenkirchen (district)
Pinto bean	Beans
Heudicourt, Somme	Communes in Somme
Heuzecourt	Communes in Somme
Hiermont	Communes in Somme
Haider Ali Khan	1993 births, Living people, Australian people
Bruce Lanoil	1960 births, American actors, American voice actors, Puppeteers
Hornoy-le-Bourg	Communes in Somme
Hyencourt-le-Grand	Former communes in Somme
Pertain	Former communes in Somme
Hypercourt	2017 establishments in France, Communes in Somme
Humbercourt	Communes in Somme
Akiko Nakamura	1945 births, Living people, Japanese singers, Japanese actors
Full employment	Economics
Sô Kuramoto	Japanese writers, 1934 births
Tomio Fukuoka	1936 births, Japanese educators, Living people
2019 CONCACAF Gold Cup	Association football templates, 2019 in association football
Gilbert Etienne	French economists, 1928 births, 2014 deaths
Gimlet Media	2014 establishments in New York (state), Companies of the United States
Competera	Artificial intelligence, 2014 establishments in Europe
Adam Mosseri	Living people, 1983 births
List of Atari 2600 prototype games	Atari 2600 games
Dunblane	Towns in Scotland, Stirling
Jack Brooksbank	1986 births, Businesspeople from London, Living people, House of Windsor, English businesspeople
Fire on the Amazon	1993 drama movies, 1990s adventure movies, American adventure movies, American drama movies, Peruvian movies, Movies directed by Luis Llosa
Dendropsophus nekronastes	Frogs, Animals of South America
Brisket	Cuts of beef
Nizamuddin Asir Adrawi	1926 births, 2021 deaths
Gregory Peter XX Ghabroyan	1934 births, 2021 deaths, Syrian people, People from Beirut, Catholics
Frenzo Harami	Living people, Grime music artists, 1990s births, British rap musicians, Pakistani entertainers, Pakistani music, Punjabi language, English rap musicians
Scrufizzer	People from Ealing, Living people, English rap musicians, Black British people, Year of birth missing (living people)
Cooli Carlito	1996 births, Living people, British rap musicians, Singer-songwriters from London, Musicians from London
List of Meitei surnames	Meitei surnames
Lorraine Bowen	1961 births, English singer-songwriters, English comedians, Musicians from Gloucestershire, Living people
Family Guy (season 2)	Family Guy, 1999 television seasons, 2000 television seasons
Picanha	Cuts of beef, Brazilian food
Kasra Nouri	Iranian journalists, Human rights activists, People from Tehran, 1990 births, Living people
Cathy Dennis	Grammy Award winners, English singer-songwriters, English pop singers, 1969 births, Living people
Les Fleurs du mal	French literature
Katie Griffin	1973 births, Living people, Canadian voice actors, Canadian comedians
Andrea Baker	Living people, American actors
The Elephant Whisperer (book)	2009 books, Elephants, South Africa
Legislative Assembly of Samoa	Samoa
2021 Samoan constitutional crisis	May 2021 events, Samoa, June 2021 events
Stresa–Mottarone cable car crash	2021 disasters, 2021 in Europe, 2020s disasters in Europe, 2020s in Italy, Disasters in Italy, May 2021 events, Piedmont, Transport disasters in Europe
Malian Armed Forces	Mali
Moctar Ouane	1955 births, Living people, Prime Ministers of Mali
Samuel E. Wright	1946 births, 2021 deaths, Deaths from prostate cancer, American movie actors, American television actors, American stage actors, American voice actors, Actors from South Carolina, Singers from South Carolina
Camden, South Carolina	Cities in South Carolina, County seats in South Carolina
Walden, New York	Villages in New York
Montgomery, New York	Towns in New York
Montgomery (village), New York	Villages in New York
Maybrook, New York	Villages in New York
List of The Backyardigans episodes	Lists of animated television series episodes, Lists of Nickelodeon television series episodes
Mohsen Lorestani	Living people, 1984 births, Iranian singers
Ebru Gündeş	Turkish singers
Ayşegül Coşkun	Turkish actors, Turkish singers, 1985 births, Living people
Vahid Khazaei	1985 births, Living people
Everybody in Our Family	2012 thriller movies, 2012 drama movies, Romanian movies, Dutch drama movies, Movies directed by Radu Jude
Bad Luck Banging or Loony Porn	2021 movies, 2020s comedy movies, 2020s drama movies, Romanian movies, Croatian movies, Czech movies, Luxembourgian movies, Movies directed by Radu Jude
Voices from Chernobyl (movie)	2016 movies, Documentary movies, Luxembourgian movies, Austrian movies, Belarusian movies, Ukrainian movies, Movies based on books, Movies directed by Pol Cruchten
Erica Watson	1973 births, 2021 deaths, American actors, Deaths from the COVID-19 pandemic
Eurovision Young Musicians	Music competitions, 1982 establishments in Europe
Shakshouka	Egg dishes
Koechlin's tree frog	Frogs, Animals of South America
Berrymans Lace Mawer (BLM)	Companies of the United Kingdom
Damiano David	Italian singers
Kateryna Pavlenko	1988 births, Living people
Saeed Ganji	Mixed martial artists
Dunabogdány	Villages in Hungary
Chuckle Time	Comedy television series, English-language television programs, 2010s television series, 2010s comedy television series, 2010s British television series, 2010s British comedy television series, 2018 television series debuts, 2018 television series endings
Eurovision Song Contest 2022	Eurovision Song Contest
Pamela Hayden	1953 births, Living people, American actors
Kenneth C. Griffin	1968 births, Living people, Businesspeople from Florida, Businesspeople from Chicago, People from Daytona Beach, Florida
Premiera	1976 comedy movies, Romanian movies, Movies directed by Mihai Constantinescu
A Case of Murder	2004 movies, 2000s thriller movies, South African movies, Movies set in South Africa
Silent Wedding	2008 comedy-drama movies, Romanian movies, Luxembourgian movies, French comedy movies, French drama movies, Movies directed by Horațiu Mălăele
Naruto (season 1)	Naruto
Toonz Animation India	Animation studios in Asia, 1990s establishments in India, 1999 establishments in Asia
Blockbuster LLC	Companies of the United States
Loyumba Shinyen	Meitei culture, History of Manipur, Constitutions
2021 San Jose shooting	2021 mass shootings in the United States, 2021 murders in the United States, 21st century in California, History of San Jose, California, Mass murder in California, Mass murder in 2021, Mass shootings in California, Murder-suicides in California, Suicide in the 2020s
List of awards and nominations received by Chungha	Lists of awards received by South Korean musician
Refinancing	Accounting
A Wedding (2016 movie)	2016 drama movies, Belgian movies, French drama movies, Pakistani movies, Luxembourgian movies, Movies directed by Stephan Streker
Dendropsophus arndti	Frogs, Animals of South America
Ougri	Meitei culture, Meitei literature, Meitei religion
Garlic bread	Breads, Garlic dishes
Ougri festival	Manipur, Festivals
Hanger steak	Cuts of beef
Oswald Mosley	1896 births, 1980 deaths, British politicians
Jaime Lerner	1937 births, 2021 deaths, Brazilian architects, Brazilian politicians, Deaths from kidney disease
Carla Fracci	1936 births, 2021 deaths, Cancer deaths in Italy, Italian stage actors, Ballerinas, Dancers, Actors from Milan, Italian movie actors
Oatmeal cookie	Cookies
Ring Tone Text Transfer Language	Computer file formats, Musical notation
2009 FIFA Puskás Award	FIFA, 2009 in sports
Sorrento, Louisiana	Towns in Louisiana
Jackson, Louisiana	Towns in Louisiana
Jonesville, Louisiana	Towns in Louisiana
Patterson, Louisiana	Cities in Louisiana
Harahan, Louisiana	Cities in Louisiana
Westwego, Louisiana	Cities in Louisiana
St. Gabriel, Louisiana	Cities in Louisiana
Kaplan, Louisiana	Cities in Louisiana
Wind River (movie)	2017 movies, 2010s mystery movies, 2010s western movies, 2010s thriller movies, American mystery movies, American western movies, American thriller movies, Movies set in Wyoming
Wind River Indian Reservation	Wyoming, Native American
I Do Not Care If We Go Down in History as Barbarians	2018 movies, 2010s war movies, 2010s black comedy movies, Romanian movies, Czech movies, German movies, French comedy movies, Bulgarian movies, World War II movies, Movies directed by Radu Jude
The Doom	1976 drama movies, Romanian movies, Movies directed by Sergiu Nicolaescu
Revolution (1985 movie)	1985 drama movies, 1980s war movies, 1980s adventure movies, British war movies, British adventure movies, British drama movies, Norwegian movies, Warner Bros. movies
Lev Mei	1822 births, 1862 deaths, People from Moscow, Russian poets
United States Fish and Wildlife Service	United States Department of the Interior, United States government agencies, Fishing
COVID-19 pandemic in Bahrain	COVID-19 pandemic by country, History of Bahrain
COVID-19 pandemic in Florida	COVID-19 pandemic in the United States, 21st century in Florida
COVID-19 pandemic in Mississippi	COVID-19 pandemic in the United States, History of Mississippi
COVID-19 pandemic in New York (state)	COVID-19 pandemic in the United States, 21st century in New York
Michael the Brave (movie)	1971 drama movies, Romanian movies, French drama movies, Italian drama movies, Movies directed by Sergiu Nicolaescu
Who Shot Mr. Burns?	The Simpsons (season 6) episodes, The Simpsons (season 7) episodes, 1995 television episodes
Chernobyl Nuclear Power Plant	Nuclear power plants in Europe, Ukraine
Kees de Jager	1921 births, 2021 deaths, Accidental deaths from falls, Astrophysicists, Dutch astronomers, Dutch centenarians, People from North Holland, Skeptics
Foster Friess	1940 births, 2021 deaths, American philanthropists, American political activists, American conservatives, American billionaires, Politicians from Wisconsin, Businesspeople from Wisconsin, Politicians from Wyoming, Businesspeople from Wyoming, US Republican Party politicians, Deaths from myelodysplastic syndrome
Rice Lake, Wisconsin	Cities in Wisconsin
Barron, Wisconsin	Cities in Wisconsin, County seats in Wisconsin
Jackson Hole	Valleys of the United States, Geography of Wyoming
Gros Ventre Range	Mountain ranges of the United States, Geography of Wyoming
Amala	2018 albums, Debut albums, Doja Cat albums, Hip hop albums, Dancehall albums, R&B albums
Hot Pink (album)	2019 albums, Doja Cat albums, Hip hop albums, Pop albums, Funk albums, R&B albums
Two-spotted tree frog	Frogs, Animals of South America
Iran Badminton International	Badminton
Ninja Warrior UK	2015 television series debuts, 2019 television series endings
Haluk Bilginer	1954 births, Turkish movie actors, Turkish television actors, Turkish stage actors, People from İzmir
Herman Chernoff	1923 births, Living people, American mathematicians, American physicists, American academics, Scientists from New York City, Writers from New York City
Jerome Hellman	1928 births, 2021 deaths, Movie producers from New York City
Reza Motorcyclist	1970 drama movies, 1970s crime drama movies, Iranian movies, Movies directed by Masoud Kimiai
Wood Pigeon (1970 movie)	1970 drama movies, Iranian movies, Movies directed by Ali Hatami
Black nationalism	History of the United States
Keiretsu	Japan, Business
Elham Jdi	1997 births, Living people, Iranian actors
Circles in a Forest	1989 drama movies, 1980s adventure movies, Movies based on books, South African movies, Movies set in South Africa, Movies directed by Regardt van den Bergh
Siavash (TV Series 2021)	Series of movies
Chocolate with Nuts	SpongeBob SquarePants episodes, 2002 television episodes
Shibuya Crossing	Tokyo
Gao Jiamin	1966 births, Living people, Chinese sportspeople
Yesterday (2004 movie)	2004 drama movies, South African movies, Movies set in South Africa, Movies directed by Darrell Roodt
Time crystal	Quantum mechanics, Time
Croatian kuna	Currency of Europe, Croatia
2020 FIFA Club Confederation Cup play-off (AFC)	2020 in sports, FIFA
One False Move	1992 crime movies, 1992 thriller movies, 1990s crime thriller movies, American crime thriller movies, Movies directed by Carl Franklin
Charles Fredrick Wiesenthal	1726 births, 1789 deaths, German inventors
A Rose for Everyone	1967 comedy movies, Italian comedy movies, Movies directed by Franco Rossi
Honolulu (movie)	1939 movies, 1930s musical movies, 1930s comedy movies, American musical comedy movies, Movies directed by Edward Buzzell
The Angel Levine	1970 drama movies, American drama movies, Movies directed by Ján Kadár
On the Path	2010 drama movies, Bosnia and Herzegovina movies, Austrian movies, German drama movies, Croatian movies, Movies directed by Jasmila Žbanić
East Palo Alto, California	Cities in California, Cities in the San Francisco Bay Area, Settlements in San Mateo County, California
South San Francisco, California	Cities in California, Cities in the San Francisco Bay Area, Settlements in San Mateo County, California
Coutances	Communes in Manche, Subprefectures in France
Boissy-Saint-Léger	Communes in Val-de-Marne
Bonneuil-sur-Marne	Communes in Val-de-Marne
Bry-sur-Marne	Communes in Val-de-Marne
Charenton-le-Pont	Communes in Val-de-Marne
SLK	English hip hop groups, Grime music groups, Musical groups from London
Chennevières-sur-Marne	Communes in Val-de-Marne
Chevilly-Larue	Communes in Val-de-Marne
Fontenay-sous-Bois	Communes in Val-de-Marne
Fresnes, Val-de-Marne	Communes in Val-de-Marne
Gentilly, Val-de-Marne	Communes in Val-de-Marne
Joinville-le-Pont	Communes in Val-de-Marne
Limeil-Brévannes	Communes in Val-de-Marne
Mandres-les-Roses	Communes in Val-de-Marne
Kropyvnytskyi	Cities in Ukraine
Nikopol, Ukraine	Cities in Ukraine
Bohuslav	Cities in Ukraine
Marolles-en-Brie, Val-de-Marne	Communes in Val-de-Marne
Marolles-en-Brie, Seine-et-Marne	Communes in Seine-et-Marne
Inval-Boiron	Communes in Somme
Irles	Communes in Somme
Jumel	Communes in Somme
Laboissière-en-Santerre	Communes in Somme
Lachapelle, Somme	Communes in Somme
Lafresguimont-Saint-Martin	Communes in Somme
Lahoussoye	Communes in Somme
Laleu, Somme	Communes in Somme
Sotteville-lès-Rouen	Communes in Seine-Maritime
Lamotte-Brebière	Communes in Somme
Lamotte-Warfusée	Communes in Somme
Lanches-Saint-Hilaire	Communes in Somme
Piennes-Onvillers	Communes in Somme
Educational research	Education, Research methods
A Reasonable Man	1999 crime movies, 1999 drama movies, 1990s crime drama movies, South African movies, French crime movies, French drama movies, Movies set in South Africa, Movies directed by Gavin Hood
Niki Yang	1985 births, Living people, Korean writers
Telefe	Television stations, 1990s establishments in South America
Nokia N810	Nokia mobile phones, Mobile phones released in 2000s
Honor Thy Father (movie)	2015 movies, 2010s crime thriller movies, Filipino movies, Movies directed by Erik Matti
Dendropsophus cachimbo	Frogs, Animals of South America
Kyrgyzstani som	Kyrgyzstan, Currency of Asia
Gagamboy	2004 comedy movies, 2004 science fiction movies, 2000s action movies, 2000s fantasy movies, Filipino movies, Movies directed by Erik Matti
Alpine Racer 3	2002 video games, Arcade games, Namco games, PlayStation 2 games, Racing video games, Sony Interactive Entertainment games, Video game sequels, Video games developed in Japan, Zeebo games
Telefe Internacional	1990s establishments in South America, Television channels
Uzbekistani so'm	Uzbekistan, Currency of Asia
Air Crash Investigation Special Report	Television programs
Vagabond (1950 movie)	1950 drama movies, Iranian movies, Movies directed by Mehdi Reisfirooz
Arcana Heart (series)	Video game series
Man About Town (1939 movie)	1939 movies, 1930s musical movies, 1930s comedy movies, American musical comedy movies, Paramount movies, Movies directed by Mark Sandrich
Snatch (movie)	2000 crime movies, 2000 comedy movies, 2000s criminal comedy movies, British criminal comedy movies, American criminal comedy movies, Columbia Pictures movies, Movies directed by Guy Ritchie
Shock Treatment (1973 movie)	1973 drama movies, French drama movies, Italian drama movies, Movies directed by Alain Jessua
The Baader Meinhof Complex	2000s biographical movies, 2008 drama movies, 2000s drama thriller movies, German drama movies, French drama movies, French thriller movies, Czech movies, Movies based on books, Movies directed by Uli Edel
Moûtiers	Communes in Savoie
Montvalezan	Communes in Savoie
Archamps	Communes in Haute-Savoie
Abondance, Haute-Savoie	Communes in Haute-Savoie
The Pillow Book (movie)	1996 drama movies, 1990s erotic movies, 1990s LGBT movies, Dutch drama movies, British LGBT movies, British drama movies, French drama movies, Luxembourgian movies, Austrian movies, Movies based on books, Movies directed by Peter Greenaway
Tim Tipene	Publications
Hajji Washington	1983 comedy-drama movies, Iranian movies, Movies directed by Ali Hatami
Mark Eaton	1957 births, 2021 deaths, Utah Jazz players, Sportspeople from California, People from Inglewood, California, Road accident deaths in the United States
The Perfect Circle	1997 drama movies, 1990s war movies, Bosnia and Herzegovina movies, French drama movies
Marcell Jankovics	1941 births, 2021 deaths, Hungarian movie directors, Hungarian writers, Animators, Artists, People from Budapest
Cornelius Sim	1951 births, 2021 deaths, Bruneian people, Cardinals of the Roman Catholic Church, Deaths from cancer, Deaths from cardiac arrest
Serbian Canadians	Ethnic groups in Canada
Croatian Canadian	Ethnic groups in Canada
Slovak Canadian	Ethnic groups in Canada
Venezuelan Canadian	Ethnic groups in Canada
List of Top of the Pops presenters	Television presenters
Estonian Canadian	Ethnic groups in Canada
Languevoisin-Quiquery	Communes in Somme
Laviéville	Communes in Somme
Lawarde-Mauger-l'Hortoy	Communes in Somme
Luís Leal	1987 births, Portuguese footballers, African footballers, São Tomé and Príncipe people, Association football forwards, Living people
Lesbœufs	Communes in Somme
Misery, Somme	Former communes in Somme
Marchélepot	Former communes in Somme
Marchélepot-Misery	2019 establishments in France, Communes in Somme
Jerky	Snack foods, Meat
Mathiasson's tree frog	Frogs, Animals of South America
The Weather Network	1988 establishments in Canada, Television channels, Canadian television, Ontario
Datalake	Computing
Una Mae Carlisle	1915 births, 1956 deaths, American singer-songwriters, African-American singers, Deaths from pneumonia, Singers from Ohio, People from Zanesville, Ohio
Gwen Shamblin Lara	1955 births, 2021 deaths, Christian writers, Aviation deaths in the United States, Writers from Memphis, Tennessee
Akrotiri (prehistoric city)	Ancient Greek cities, Archaeological sites in Europe, History of Greece
Arturo de Jesús Correa Toro	1941 births, 2021 deaths, Colombian people, Roman Catholic bishops, Deaths from the COVID-19 pandemic in Colombia
Pasto, Colombia	Cities in Colombia
Fish as food	Seafood
Liancourt-Fosse	Communes in Somme
Limeux, Somme	Communes in Somme
Long, Somme	Communes in Somme
Longavesnes	Communes in Somme
Longpré-les-Corps-Saints	Communes in Somme
Longueau	Communes in Somme
Longueval	Communes in Somme
Aubréville	Communes in Meuse
Bezonvaux	Communes in Meuse
Ratatoskr	Norse mythology
Microkini	Swimwear
Longuevillette	Communes in Somme
Louvencourt	Communes in Somme
Les Hauts de Forterre	2017 establishments in France, Communes in Yonne
Mailly-Maillet	Communes in Somme
Mailly-Raineval	Communes in Somme
The Go-Go's	1978 establishments in California, Musical groups established in 1978, American rock bands, American girl groups, Musical groups from Los Angeles, California, 1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups
UK Dance Singles and Albums Charts	British record charts, Electronic dance music
Channel U	Television channels
The Brothers Grimm (movie)	2005 comedy movies, 2000s adventure movies, 2000s fantasy movies, Czech movies, British adventure movies, British comedy movies, British fantasy movies, American adventure movies, American comedy movies, American fantasy movies, Movies directed by Terry Gilliam
SCP Foundation	Internet
List of heads of state of Eritrea	Eritrea
Robert L. Gibson	1946 births, Living people, American astronauts, American aviators, Engineers from New York, Scientists from New York
