Wall plug	Hardware (mechanical)
Högsby Municipality	Municipalities of Sweden
Hultsfred Municipality	Municipalities of Sweden
Älmhult Municipality	Municipalities of Sweden
Alvesta Municipality	Municipalities of Sweden
Tingsryd Municipality	Municipalities of Sweden
Ljungby Municipality	Municipalities of Sweden
Lessebo Municipality	Municipalities of Sweden
Markaryd Municipality	Municipalities of Sweden
Strömstad Municipality	Municipalities of Sweden
Tanum Municipality	Municipalities of Sweden
Pays de Caux	Normandy, Geography of France
Pays de Bray	Normandy, Geography of France, Hauts-de-France
Israel National Trail	Geography of Israel, Trails
Cakka Nuraga	Indonesian singers, Child singers, 1998 births, Living people, Pop musicians, Rock musicians
Bocage	Geography of France, Landforms
International Academy of Architecture	Sofia, Non-profit organizations
World Architecture Festival	Festivals in Asia, Architecture, 2008 establishments, Events in Singapore
World Urbanism Day	Urban planning, Events
Kittur Chennamma	Indian people, Kings and queens, 1778 births, 1829 deaths, Resistance to the British Empire
Surface-mount technology	Electronics
Herzliya Interdisciplinary Center	Colleges and universities in Israel, 1994 establishments in Asia, 1990s establishments in Israel
University of Buenos Aires	Colleges and universities in South America, Buenos Aires
Through-hole technology	Electronics
Munkedal Municipality	Municipalities of Sweden
Lysekil Municipality	Municipalities of Sweden
Bengtsfors Municipality	Municipalities of Sweden
Örkelljunga Municipality	Municipalities of Sweden
Dals-Ed Municipality	Municipalities of Sweden
Färgelanda Municipality	Municipalities of Sweden
Sotenäs Municipality	Municipalities of Sweden
Lilla Edet Municipality	Municipalities of Sweden
Uddevalla Municipality	Municipalities of Sweden
Partille Municipality	Municipalities of Sweden
Ale Municipality	Municipalities of Sweden
Lerum Municipality	Municipalities of Sweden
Alingsås Municipality	Municipalities of Sweden
Filter (electronics)	Electronic circuits
Bjuv Municipality	Municipalities of Sweden
Ängelholm Municipality	Municipalities of Sweden
Eslöv Municipality	Municipalities of Sweden
Staffanstorp Municipality	Municipalities of Sweden
Trelleborg Municipality	Municipalities of Sweden
Bromölla Municipality	Municipalities of Sweden
Lund Municipality	Municipalities of Sweden
Lomma Municipality	Municipalities of Sweden
Osby Municipality	Municipalities of Sweden
Tomelilla Municipality	Municipalities of Sweden
Svedala Municipality	Municipalities of Sweden
Klippan Municipality	Municipalities of Sweden
Åstorp Municipality	Municipalities of Sweden
Kävlinge Municipality	Municipalities of Sweden
Östra Göinge Municipality	Municipalities of Sweden
Vellinge Municipality	Municipalities of Sweden
Båstad Municipality	Municipalities of Sweden
Burlöv Municipality	Municipalities of Sweden
Simrishamn Municipality	Municipalities of Sweden
Skurup Municipality	Municipalities of Sweden
Perstorp Municipality	Municipalities of Sweden
Highway 1 (Israel)	Roads in Israel, West Bank
Hässleholm Municipality	Municipalities of Sweden
Svalöv Municipality	Municipalities of Sweden
Höganäs Municipality	Municipalities of Sweden
Hörby Municipality	Municipalities of Sweden
Höör Municipality	Municipalities of Sweden
Sjöbo Municipality	Municipalities of Sweden
Highway 2 (Israel)	Roads in Israel
Tranemo Municipality	Municipalities of Sweden
Tibro Municipality	Municipalities of Sweden
Herrljunga Municipality	Municipalities of Sweden
Mark Municipality	Municipalities of Sweden
Svenljunga Municipality	Municipalities of Sweden
Grästorp Municipality	Municipalities of Sweden
Vårgårda Municipality	Municipalities of Sweden
Götene Municipality	Municipalities of Sweden
Töreboda Municipality	Municipalities of Sweden
Highway 20 (Israel)	Roads in Israel, Tel Aviv
Härryda Municipality	Municipalities of Sweden
Begin Road	Roads in Israel, Jerusalem, 1998 establishments in Asia, 1990s establishments in Israel
International Union of Architects	France, International organizations, Architecture
Benedicta Boccoli	1966 births, Living people, Actors from Milan, Italian movie actors, Italian stage actors
Tage Erlander	1901 births, 1985 deaths, Government ministers of Sweden, Prime Ministers of Sweden
Per Albin Hansson	1885 births, 1946 deaths, Government ministers of Sweden, Prime Ministers of Sweden
Rona Anderson	1926 births, 2013 deaths, Actors from Edinburgh, Actors from Ottawa, Deaths from natural causes, Scottish movie actors, Scottish stage actors, Scottish television actors, Scottish voice actors
Henryk Baranowski	1943 births, 2013 deaths, Polish movie actors, Polish television actors, Polish stage actors, Voice actors
Vickers Viscount	Civil aircraft, Transport in the United Kingdom
Bell P-59 Airacomet	Bell aircraft, World War II American aircraft, United States Air Force aircraft
Lockheed P-80 Shooting Star	United States Air Force aircraft, Lockheed & Lockheed-Martin aircraft
Dhaka High Court	Courts (law), Bangladesh, 1947 establishments in Asia, 20th century establishments in Bangladesh
Training aircraft	Aircraft
Caroline Aigle	1974 births, 2007 deaths, Deaths from melanoma, French aviators, French Air Force, Alumni of the École Polytechnique
Huun-Huur-Tu	1992 establishments in Asia, Russian musical groups
Guillermo Álvarez Guedes	1928 births, 2013 deaths, Business people, Comedians from Florida, Cuban actors, Disease-related deaths in the United States, American movie actors, Actors from Miami, Florida, Writers from Miami, Florida
Kim Novak	1933 births, Living people, Actors from Chicago, American movie actors, American stage actors, American television actors, American voice actors, Breast cancer survivors
Jobs (movie)	2013 movies, Steve Jobs, American biographical movies, American drama movies, English-language movies, American independent movies
Central bank	Banks, Government, Finance
Lateral line	Fish, Sensory system
Spherical coordinate system	Coordinate systems
Dan Schneider	1966 births, Living people, Writers from Memphis, Tennessee, American screenwriters, American television producers
Safety boot	Footwear
National anthem of South Africa	South Africa, National anthems
Rainer Maria Rilke	1875 births, 1926 deaths, Austrian poets, Cancer deaths in Switzerland, Deaths from leukemia, Writers from Prague
Natsume Sōseki	1867 births, 1916 deaths, Japanese novelists, Writers from Tokyo
Cable tester	Measuring tools
Impedance matching	Electronics
Robert I, Duke of Normandy	1035 deaths, House of Normandy, Dukes and duchesses, Unexplained deaths, Year of birth unknown
Asa Butterfield	1997 births, Living people, Actors from London, English child actors, English movie actors, English television actors, People from Islington
Highway 4 (Israel)	Roads in Israel
Trans-Samaria Highway	Roads in Israel, West Bank
Trans-Israel Highway	Roads in Israel
List of French departments by population	Departments of France, France-related lists
Avro Shackleton	Royal Air Force aircraft
Ponthieu	Subdivisions of France, History of France, Provinces
Antonov An-22	Soviet & Russian aircraft, Civil aircraft, Soviet military aircraft
Hawker Tempest	Royal Air Force aircraft, World War II British aircraft, Hawker aircraft
Arrival of a Train at La Ciotat	1896, Short movies, French movies
John Graves (author)	1920 births, 2013 deaths, Deaths from natural causes, Writers from Fort Worth, Texas
Dassault Étendard IV	French military aircraft, Dassault Aviation
Squadron	Military terminology, Military aviation, Army, Navy, Air force
McDonnell Douglas F-15E Strike Eagle	United States Air Force aircraft
Douglas A-4 Skyhawk	United States Navy aircraft, United States Marine Corps aircraft, Vietnam War aircraft, Israel Defense Forces, Douglas aircraft
Douglas A-3 Skywarrior	United States Navy aircraft, Douglas aircraft, Vietnam War aircraft
Douglas B-66 Destroyer	United States Air Force aircraft, Douglas aircraft, Vietnam War aircraft
Dassault Super-Étendard	Dassault Aviation, French military aircraft
Abbeville	Communes in Somme, Subprefectures in France
AM-39 Exocet	Missiles, Military of France
Véhicule Blindé Léger	Military of France, Military transport
Subway Surfers	2012 video games, 3D platform games, Mobile games
Geographical Names Board of New South Wales	Geography of New South Wales
Candy Crush Saga	2012 video games
Rare	Video game companies, Companies of the United Kingdom
Emperor Takakura	Emperors of Japan, 1161 births, 1181 deaths
Lagan	Rivers of Sweden
Nissan (river)	Rivers of Sweden
Viskan	Rivers of Sweden
Ätran	Rivers of Sweden
Vaggeryd	Settlements in Jonkoping County
Malung	Settlements in Dalarna County
Gislaved	Settlements in Jonkoping County
Bad Piggies	Puzzle video games, Fictional pigs
Moscow Ring Road	Roads in Russia
Trans-Siberian Highway	Roads in Russia
Saint Petersburg Ring Road	Roads in Russia
Galvanic isolation	Electronics
Opto-isolator	Electronic components
Värnamo	Settlements in Jonkoping County
Insulator (electricity)	Electricity, Electronics
Sung Jae-ki	1967 births, 2013 deaths, Anti-Communists, Autobiographers, South Korean businesspeople, Civil rights activists, Human rights activists, South Korean politicians, Suicides by drowning, Suicides by jumping
Yakovlev Yak-38	Soviet military aircraft
Dipole speaker	Audio technology
Sommarkrysset	Music media, Djurgården, Television programs
Askola	Municipalities of Uusimaa
Bingolotto	Swedish television, Television game shows
Nordman	Swedish musical groups
Charles the Simple	870s births, 920s deaths, Kings and Queens of France, Carolingian dynasty
Jill Johnson	1973 births, Living people, Swedish singers, Country musicians
Cheung Chau	Geography of Hong Kong, Islands of China
Freda'	Swedish pop music groups, Musical groups established in 1983
Cantonese Wikipedia	Wikipedias, Websites established in 2006
Yakovlev Yak-3	Soviet military aircraft, World War II aircraft
Robert Curthose	1050s births, 1134 deaths, House of Normandy
Push-pull aircraft	Aircraft
October (album)	U2 albums, 1981 albums, Island Records albums, Rock albums, Punk albums
Pornainen	Municipalities of Uusimaa
Alavus	Cities in Finland
Virrat	Cities in Finland
Southeast Division (NBA)	National Basketball Association divisions
Piaggio P.180 Avanti	Civil aircraft, Italian aircraft
Battle of Shiloh	American Civil War battles, 19th century in Tennessee, 1862 in the United States, April events, Ulysses S. Grant
Panavia Tornado	British military aircraft, German military aircraft, Italian military aircraft
Electronic warfare	Military
Nippon Sei Ko Kai	Anglicanism
Hearse	Automobiles, Death customs
Shfela	Regions of Israel
Brunel University	Universities in London
Sharon plain	Regions of Israel, Plains
Hassan Ademov	1953 births, Living people, Bulgarian politicians
Alice Haldeman	1853 births, 1915 deaths, Deaths from pneumonia, American philanthropists, Businesspeople from Illinois
Charles Brenton Huggins	1901 births, 1997 deaths, Deaths from natural causes, Canadian scientists, Naturalized citizens of the United States, American physicians, Medical researchers, Scientists from Chicago, People from Nova Scotia, Nobel Prize in Physiology or Medicine winners, Canadian Nobel Prize winners, American Nobel Prize winners
Hugh Dempster	1900 births, 1987 deaths, Deaths from pneumonia, British movie actors, British stage actors, British television actors, British voice actors, Actors from London
James B. Bradwell	1828 births, 1907 deaths, Deaths from pneumonia, American lawyers, American judges, United States representatives from Illinois, People from Utica, New York
Thomas Reed (architect)	1817 births, 1878 deaths, Architects, Danish businesspeople
